AIRTABLE_SITE_NAME,AIRTABLE_SITE_SOURCE_ID,DRIVE_SITE_NAME,DRIVE_SITE_SOURCE_ID,MATCH_TYPE,MATCH_SCORE,AIRTABLE_LOCALISATION,DRIVE_LOCALISATION,AIRTABLE_LONGITUDE,AIRTABLE_LATITUDE,DRIVE_LONGITUDE,DRIVE_LATITUDE
Mata Menge Site,82611945-d6bf-458f-bf30-35866bfbf2a2,Mata Menge,drive-mata-menge,exact_norm,1.00,"Nusa Tenggara Timur NTT | Mengeruda, Soa, Ngada Regency, East Nusa Tenggara | Flores",Flores | East Nusa Tenggara,121.09563,-8.69266,121.095,-8.693
Gua Pamelakang Tedong,031b937e-3222-4ebd-8d79-ab8f0702804f,Leang Pamelakkang Tedong,drive-020df4c4abef,fuzzy_name,0.98,"South Sulawesi | Bowong Cindea, Bungoro, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Lasitae",South Sulawesi,119.521667,-4.798333,,
Leang Barugayya,01bbc32a-7ac9-459f-b770-6207a81d2dba,Gua Barugaya,drive-9718770e4824,fuzzy_name,0.97,"South Sulawesi | Mangeloreng, Bantimurung, Maros Regency, South Sulawesi",Maluku Islands,119.656667,-4.995,,
Gua Bulu Sumi,400fea12-f1f3-4f48-b009-75d052c0f1f0,Gua Bulusumi,drive-d8d6afa785a4,fuzzy_name,0.97,"South Sulawesi | Alesipitto, Ma'rang, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep",Maluku Islands,119.602778,-4.7025,,
Gua Bulu Sumi,93c5f973-0f54-46ec-8288-38267110ae89,Gua Bulusumi,drive-d8d6afa785a4,fuzzy_name,0.97,"South Sulawesi | Maros-Pangkep,Sumpangbita",Maluku Islands,119.5825,-4.916111,,
Leang Petta Kere,8324b7ad-628c-47b2-9562-e53a9b1efe61,Gua Pettae Kere,drive-d35e84ded29c,fuzzy_name,0.97,"South Sulawesi | Leang-Leang, Bantimurung, Maros Regency, South Sulawesi | Maros-Pangkep",Maluku Islands,119.676167,-4.978667,,
Gua Sumpangbita,ef451a2f-7bbf-4b44-80eb-533236c9e9d8,Gua Sumpang Bita,drive-a9536cbca916,fuzzy_name,0.97,"South Sulawesi | Maros-Pangkep,Sumpangbita",South Sulawesi,119.5825,-4.916111,,
Gua Batang Lamara,3998177c-888b-4052-b469-7b75e08e76e9,Leang Batanglamara,drive-a81f254f8f9c,fuzzy_name,0.97,"South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria",Sulawesi,119.595556,-4.848889,,
Leang Lambattorang,130edb35-e3e2-4e67-88c3-9ee85c189173,Leang Lambatorang,drive-7ef0f05ec890,fuzzy_name,0.97,"South Sulawesi | Leang-Leang, Bantimurung, Maros Regency, South Sulawesi | Maros-Pangkep",Sulawesi,119.667778,-4.97,,
Gua Jempang,619cf9ba-54b0-4b12-a3b7-d742705544c7,Goa Jepang,drive-b0796f213038,fuzzy_name,0.96,"South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep",Java,119.593056,-4.835833,,
Leang Jarie,fd463f4b-8999-4307-b505-049e6251ca94,Leang DjariE,drive-cf3c9ab9b863,fuzzy_name,0.96,"South Sulawesi | Samangki, Simbang, Maros Regency, South Sulawesi | Maros-Pangkep",Bali,119.692778,-5.031111,,
Gua Lesang,cfb3f519-c68f-454a-acb9-140dca658895,Leang Leang,drive-02a9a76775e0,fuzzy_name,0.96,"South Sulawesi | Jl. Leangkassi, Minasa Tene, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep,Sakapa",Sulawesi,119.5825,-4.830556,,
Gua Sakapao,b662159a-ac7e-4e17-9d1c-9e972b53a4dd,Leang Sakapa,drive-f13820d249dd,fuzzy_name,0.96,"South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sakapa",South Sulawesi,119.602222,-4.834167,119.669433,-4.959667
Leang Jing,c28d203e-e05c-409e-9ef7-02bfb6f894a3,Leang Jin,drive-53ef52404da7,fuzzy_name,0.95,"South Sulawesi | 2J5X+MMR, Mangeloreng, Bantimurung, Maros Regency, South Sulawesi 90561 | Maros-Pangkep",Sulawesi,119.649528,-4.990889,,
Leang Pajae,0d3dfe59-45e5-45fe-87b3-e0d5f58cccab,Leang Paja,drive-4f1331aa8227,fuzzy_name,0.95,"South Sulawesi | Kalabbirang, Bantimurung, Maros Regency, South Sulawesi | Maros-Pangkep",Sulawesi,119.673333,-4.986667,,
Leang Petta Kere,8324b7ad-628c-47b2-9562-e53a9b1efe61,Leang Pette Kere,drive-003e1684fcf4,fuzzy_name,0.94,"South Sulawesi | Leang-Leang, Bantimurung, Maros Regency, South Sulawesi | Maros-Pangkep",Sulawesi,119.676167,-4.978667,,
Gua Maccina,0b6dfef5-4965-48b6-97a3-e7777cc4d8d8,Gua Macinai,drive-f10c2955d363,fuzzy_name,0.92,"South Sulawesi | Bontoa, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Garunggung",Maluku Islands,119.613333,-4.803333,,
Leang Karrasa,7e4ce0c8-5906-4b1c-ae69-85cb90354f61,Leang Karassa,drive-3006c386b315,fuzzy_name,0.92,"South Sulawesi | Samangki, Simbang, Maros Regency, South Sulawesi | Maros-Pangkep",Sulawesi,119.707222,-5.045,119.669050,-4.960867
