SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES
3ef250d8-03b0-4939-ab78-d41857430fe5;Golo Cave;;;4326;129.3874452;-0.0071239;;No;Foot survey;Not specified;-2578050;-10000;Realestate;Funerary;Undocumented;Undocumented;Burial;No;The Spice Islands in Prehistory Archaeology in the Northern Moluccas, Indonesia;Description: Golo lies about 60 m inland from the head of the beach, in a low coral cliff. Its present-day earth floor lies between 8 and 9 m above high tide level. Like Um Kapat Papo, Golo Cave is essentially a creation of underwater solution processes that must have occurred when the reef was still below sea level. It has a high and uneven ceiling approximately 3-4 m high. In extent, it measures about 12 m from drip-line to back wall, and occupies a similar width. In the rear of the cave there is a dark passage that runs about 50 m into the rock. Adjacent to this is a kind of limestone gallery, formed by a long horizontal alcove fronted by a series of free-standing stalactite columns. (Peter Bellwood) | Keywords: gebe | Alternative_Name: Gua Golo;
e6038c86-c9cc-4551-97db-dfe504afd28d;Pedawa 1;Bali | Pedawa, Buleleng regency, Bali;;4326;115.01016;-8.2413;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: This sarcophagus is only part of the container. The body had a transverse rupture on the short side of the sarcophagus. The sides were also broken. The entire body of the sarcophagus was covered in moss and the inside had soil deposits. Sarkofagus ini hanya berupa bagian wadah saja. Padabadannya mengalami pecah melintang di sisi pendeksarkofagus. Bagian sisi-sisinya juga mengalami pecah.Seluruh fisik sarkofagus ditumbuhi lumut dan bagiandalamnya terdapat deposit tanah akibat. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
c5089353-8b2f-46b7-bbaa-38fea0c01d32;Pedawa 2;Bali | Pedawa, Buleleng regency, Bali;;4326;115.01928;-8.24195;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini hanya berupa bagian wadah saja. Bagian sisi-sisinya juga mengalami pecah. Seluruh fisik sarkofagus ditumbuhi lumut dan bagian dalamnya terdapat deposit tanah akibat | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
ea233673-3102-41c1-a107-f64dc9fa16dd;Pedawa 3;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi Sarkofagus ini hanya berupa bagian wadah saja. Sarkofagus sudah direkonstruksi kembali oleh pemilik. Saat ini diletakkan diatas platform yang terbuat dari semen. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
2a16f0e1-8081-47bb-93d4-e8df25893b43;Pedawa 4;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini hanya berupa bagian wadah saja. Indikasi Sarkofagus berada dalam kondisi cukup utuh, namun terdapat pecah pada bagian badan akibat akar tumbuhan dan permukaannya ditumbuhi lumut. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
18ab496a-1bf5-44ad-b041-87f2608a9d75;Pedawa 5;Bali | Pedawa, Buleleng regency, Bali;;4326;115.04989;-8.23575;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi Sarkofagus ini dalam kondisi pecah belah. Besar pecahan beragam antara 15 cm hingga 50 cm. Masih terlihat indikasi bentuk berupa bagian tonjolan dan dasar sarkofagus. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
b3cc5856-1d0f-464f-bb64-9cffedd9ae31;Pedawa 6;Bali | Pedawa, Buleleng regency, Bali;;4326;115.02381;-8.23139;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini dalam kondisi pecah belah. Besar pecahan beragam antara 26 cm hingga 35 cm. Masih terlihat indikasi bentuk berupa bagian tonjolan dan dasar sarkofagus. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
c8da4397-0c61-431e-8598-2e43be9a2a0f;Pedawa 7;Bali | Pedawa, Buleleng regency, Bali;;4326;115.02661;-8.24451;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Sarkofagus ini dalam kondisi pecah belah. Besar pecahan beragam antara 16 cm hingga 30 cm. Masih terlihat indikasi bentuk berupa bagian tonjolan dan dasar sarkofagus. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
60705f3b-1afc-4835-baca-0211fe3aa27b;Pedawa 8;Bali | Pedawa, Buleleng regency, Bali;;4326;115.0271;-8.24405;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi sarkofagus ini hanya ditunjukkan oleh satu pecahan batu yang menyerupai bagian dasar. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
248b6e4c-e6af-40c4-a993-068a3763b996;Pedawa 9;Bali | Pedawa, Buleleng regency, Bali;;4326;115.016;-8.24345;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: 10.13140/RG.2.2.20761.60004;Description: Indikasi sarkofagus ini hanya ditunjukkan oleh satu pecahan batu yang menyerupai bagian dasar. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: desa Pedawa;
0fec69c2-d149-4fbe-a83e-fc66a4f62872;Manuaba;Bali | H72P+6R5, Jl. Raya Desa Kenderan, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561;;;;;;Yes;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;http://dx.doi.org/10.13140/RG.2.2.20761.60004;Description: There are remains of 2 sarcophagi located in the Uma Lawas subak which is the oldest subak in the village of Manuaba. This site is thought to have originated from the Great Stone Age (Megalithichum). Its existence is still shrouded in mystery due to a lack of supporting data. Because of its location in the middle of rice fields, the Nyungsung (Purified) Farmer Community at Batulusu Temple, Subak Uma Lawas Kaja. Tipe C merupakan sarkofagus berukuran besar, dengan panjang antara200-268 cm. Ciri lainnya berupa ada dua tonjolan di bidang samping/panjang wadah. Sarkofagus tipe ini berukuran besar, sehingga mayat dapat dikuburkandengan terbujur dan kemungkinan diisi lebih dari satu mayat. Tipe ini disebutjuga sebagai tipe Manuaba, karena sebagian besar ditemukan di daerah Manuaba (Kabupaten Gianyar) | Keywords: sarcophagus bali | Alternative_Name: Pura Batulusu;
b5897a2b-3e8f-4f1b-b401-20863fa88418;Sampiang;Bali | F87J+4MW, Jl. Kalantaka, Sampiang, Kec. Gianyar, Kabupaten Gianyar, Bali 80511;;4326;115.331691320297;-8.53710122349279;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;DOI: http://dx.doi.org/10.24832/fa.v12i2.401;Description: 3 stone sarcophagi identified. | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Geriya Hyangapi;
3aa08528-1e41-4998-b35a-ab7ef7e4a716;Cekeng;Bali | H9H4+92Q Sulahan, Bangli Regency, Bali;;4326;115.355111;-8.421528;;No;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;https://karya.brin.go.id/id/eprint/16249;Description: In the Pura Puseh there is one sarcophagus with a figure sculpted. Locals call the sarcophagus ' Pelican Boat' presumably as reference to population migration. Another sarcophagus on private property of Wayan Lamud | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Pura Puseh Cekeng;
2093f989-697b-4868-bccd-88c3d9b96f31;Padangsigi;Bali | Jl. Pejeng Kaja - Tampak Siring No.32, Sanding, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552;;;;;;Yes;Not documented;Not specified;-4000;1500;Realestate;Unknown;;;;No;https://doi.org/10.24832/nw.v14i2.426;Description: Sarkofagus yang disimpan di rumah penduduk, salah satunya adalah sarkofagus Padangsigi, terletak di Banjar Padangsigi, Desa Sanding, Kecamatan Tampak Siring, Kabupaten Gianyar. Sarkofagus ini ditempatkan bersama bangunan suci lainnya pada balai perlindungan | Keywords: sarcophagus Bali sarkofagus | Alternative_Name: Sanding;
98674d10-91bf-4024-a794-6df14340978c;Sukoyu;South Sulawesi | Nuha East Luwu Regency South Sulawesi Indonesia;;4326;121.298861;-2.429444;;No;Not documented;Not specified;-2500;500;Production;;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: Sukoyu, square 1, unit 8, OXIS Excavation, Bullbeck, The Origin of Complex Society in South Sulawesi (OXIS) Project | Keywords: charcoal matano sukoyu EMT | Sub-cultural Period: Palaeometallic | Alternative_Name: Lake Matano;
453123d7-324c-4a3d-8a3b-9945ff99c60a;Pontanoa Bangka;South Sulawesi | Nuha, East Luwu Regency, South Sulawesi, Indonesia;;4326;121.306472;-2.433528;;No;Not documented;Not specified;-2500;500;Production;;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: 13th century+ burials, early iron smelting site | Keywords: charcoal sulawesi EMP | Sub-cultural Period: Palaeometallic;
