IDArkeoGIS;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;IdArk;IdPactols;IdAat
1898;Analyses;Preparation;;;;;;
2020;Analyses;Preparation;Thin section;;;https://ark.frantiq.fr/ark:/26678/pcrt6g793r0j6q;266565;
2021;Analyses;Preparation;Thin section;Site sample;;;;
2022;Analyses;Preparation;Thin section;Reference sample;;;;
2023;Analyses;Preparation;Polished section;;;;;
2024;Analyses;Preparation;Polished section;Site sample;;;;
2025;Analyses;Preparation;Polished section;Reference sample;;;;
2026;Analyses;Sampling;;;;https://ark.frantiq.fr/ark:/26678/pcrtdfsZ3abSZh;35684;
2027;Analyses;Sampling;Laser ablation;;;;;
2028;Analyses;Sampling;Laser ablation;Site sample;;;;
2029;Analyses;Sampling;Laser ablation;Reference sample;;;;
;Analyses;Remote sensing;;;;https://ark.frantiq.fr/ark:/26678/pcrtubzTHKxnAM;17434;
;Analyses;Remote sensing;LIDAR;;;https://ark.frantiq.fr/ark:/26678/pcrtWIlj2RNume;29834;
2030;Analyses;Observation;;;;;;
2031;Analyses;Observation;SEM;;;https://ark.frantiq.fr/ark:/26678/pcrtIvN6VPwMxK;22150;http://vocab.getty.edu/page/aat/300224957
2032;Analyses;Observation;SEM;Site sample;;;;
2033;Analyses;Observation;SEM;Reference sample;;;;
2034;Analyses;Observation;Confocal microscope;;;;;
2035;Analyses;Observation;Confocal microscope;Site sample;;;;
2036;Analyses;Observation;Confocal microscope;Reference sample;;;;
2037;Analyses;Observation;Optical microscope;;;;;
2038;Analyses;Observation;Optical microscope;Site sample;;;;
2039;Analyses;Observation;Optical microscope;Reference sample;;;;
2040;Analyses;Dating;;;;https://ark.frantiq.fr/ark:/26678/pcrtpSis9hZLUb;14335;http://vocab.getty.edu/page/aat/300054714
2041;Analyses;Dating;Radiocarbon;;;http://ark.frantiq.fr/ark:/26678/pcrtThu8wInkhJ;16554;http://vocab.getty.edu/page/aat/300054717
2042;Analyses;Dating;Radiocarbon;Site sample;;;;
2043;Analyses;Dating;Radiocarbon;Reference sample;;;;
