IDArkeoGIS;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;IdArk;IdPactols;IdAat
1898;Analyses;Préparation;;;;;;
2020;Analyses;Préparation;Lame mince;;;https://ark.frantiq.fr/ark:/26678/pcrt6g793r0j6q;266565;
2021;Analyses;Préparation;Lame mince;Échantillon site;;;;
2022;Analyses;Préparation;Lame mince;Échantillon référence;;;;
2023;Analyses;Préparation;Section polie;;;;;
2024;Analyses;Préparation;Section polie;Échantillon site;;;;
2025;Analyses;Préparation;Section polie;Échantillon référence;;;;
2026;Analyses;Échantillonnage;;;;https://ark.frantiq.fr/ark:/26678/pcrtdfsZ3abSZh;35684;
2027;Analyses;Échantillonnage;Ablation laser;;;;;
2028;Analyses;Échantillonnage;Ablation laser;Échantillon site;;;;
2029;Analyses;Échantillonnage;Ablation laser;Échantillon référence;;;;
;Analyses;Télédétection;;;;https://ark.frantiq.fr/ark:/26678/pcrtubzTHKxnAM;17434;
;Analyses;Télédétection;LIDAR;;;https://ark.frantiq.fr/ark:/26678/pcrtWIlj2RNume;29834;
2030;Analyses;Observation;;;;;;
2031;Analyses;Observation;MEB;;;https://ark.frantiq.fr/ark:/26678/pcrtIvN6VPwMxK;22150;http://vocab.getty.edu/page/aat/300224957
2032;Analyses;Observation;MEB;Échantillon site;;;;
2033;Analyses;Observation;MEB;Échantillon référence;;;;
2034;Analyses;Observation;Microscope confocal;;;;;
2035;Analyses;Observation;Microscope confocal;Échantillon site;;;;
2036;Analyses;Observation;Microscope confocal;Échantillon référence;;;;
2037;Analyses;Observation;Microscope optique;;;;;
2038;Analyses;Observation;Microscope optique;Échantillon site;;;;
2039;Analyses;Observation;Microscope optique;Échantillon référence;;;;
2040;Analyses;Datation;;;;https://ark.frantiq.fr/ark:/26678/pcrtpSis9hZLUb;14335;http://vocab.getty.edu/page/aat/300054714
2041;Analyses;Datation;14C;;;http://ark.frantiq.fr/ark:/26678/pcrtThu8wInkhJ;16554;http://vocab.getty.edu/page/aat/300054717
2042;Analyses;Datation;14C;Échantillon site;;;;
2043;Analyses;Datation;14C;Échantillon référence;;;;
2044;Analyses;Datation;Dendrochronologie;;;http://ark.frantiq.fr/ark:/26678/pcrtYgu4jWtWru;14339;http://vocab.getty.edu/page/aat/300054715
2045;Analyses;Datation;Dendrochronologie;Échantillon site;;;;
2046;Analyses;Datation;Dendrochronologie;Échantillon référence;;;;
2047;Analyses;Datation;Isotopique;;;https://ark.frantiq.fr/ark:/26678/pcrtTnlurfPgFb;21877;http://vocab.getty.edu/page/aat/300379640
2048;Analyses;Datation;Isotopique;Échantillon site;;;;
2049;Analyses;Datation;Isotopique;Échantillon référence;;;;
2050;Analyses;Datation;Optoluminescence;;;https://ark.frantiq.fr/ark:/26678/pcrtoz5WZxu4iz;27572;http://vocab.getty.edu/page/aat/300266050
2051;Analyses;Datation;Optoluminescence;Échantillon site;;;;
2052;Analyses;Datation;Optoluminescence;Échantillon référence;;;;
