IDArkeoGIS;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;IdArk;IdPactols;IdAat
1898;Analisis;Persiapan;;;;;;
2020;Analisis;Persiapan;Irisan tipis;;;https://ark.frantiq.fr/ark:/26678/pcrt6g793r0j6q;266565;
2021;Analisis;Persiapan;Irisan tipis;Sampel situs;;;;
2022;Analisis;Persiapan;Irisan tipis;Sampel referensi;;;;
2023;Analisis;Persiapan;Irisan poles;;;;;
2024;Analisis;Persiapan;Irisan poles;Sampel situs;;;;
2025;Analisis;Persiapan;Irisan poles;Sampel referensi;;;;
2026;Analisis;Pengambilan sampel;;;;https://ark.frantiq.fr/ark:/26678/pcrtdfsZ3abSZh;35684;
2027;Analisis;Pengambilan sampel;Ablasi laser;;;;;
2028;Analisis;Pengambilan sampel;Ablasi laser;Sampel situs;;;;
2029;Analisis;Pengambilan sampel;Ablasi laser;Sampel referensi;;;;
;Analisis;Penginderaan jauh;;;;https://ark.frantiq.fr/ark:/26678/pcrtubzTHKxnAM;17434;
;Analisis;Penginderaan jauh;LIDAR;;;https://ark.frantiq.fr/ark:/26678/pcrtWIlj2RNume;29834;
2030;Analisis;Observasi;;;;;;
2031;Analisis;Observasi;SEM;;;https://ark.frantiq.fr/ark:/26678/pcrtIvN6VPwMxK;22150;http://vocab.getty.edu/page/aat/300224957
2032;Analisis;Observasi;SEM;Sampel situs;;;;
2033;Analisis;Observasi;SEM;Sampel referensi;;;;
2034;Analisis;Observasi;Mikroskop konfokal;;;;;
2035;Analisis;Observasi;Mikroskop konfokal;Sampel situs;;;;
2036;Analisis;Observasi;Mikroskop konfokal;Sampel referensi;;;;
2037;Analisis;Observasi;Mikroskop optik;;;;;
2038;Analisis;Observasi;Mikroskop optik;Sampel situs;;;;
2039;Analisis;Observasi;Mikroskop optik;Sampel referensi;;;;
