SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-19425655a763;Liang Bua;/iiif/manifests/sites/drive-19425655a763.json;3;Brumm_MoviusLine_Paleolithic.pdf | First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf | OnoPawlik2024_ThePrehistoryofHumanMigration_IntechOpen_105160.pdf
drive-ae4e74bc5697;Leang Burung;/iiif/manifests/sites/drive-ae4e74bc5697.json;2;archaeologysulawesi.pdf | Archaeology in Oceania - 2022 - Perston - Stone‐flaking technology at Leang Bulu Bettue  South Sulawesi  Indonesia.pdf
drive-a771faf3aea7;Gua Harimau;/iiif/manifests/sites/drive-a771faf3aea7.json;3;HomininDiversity_WestIndonesia.pdf | The-Excavation-of-Gua-Harimau-s-Western-Gallery--A-Contribution-_2023_L-Anth.pdf | First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf
drive-073f28cd7530;Leang Sarru;/iiif/manifests/sites/drive-073f28cd7530.json;3;Emergence and Diversity of Modern Human Behavior in Paleolithic Asia (Yousuke Kaifu, Masami Izuho, Ted Goebel etc.) (z-lib.org).pdf | LeangSarru_Pleistocene.pdf | Fuentesetal.Technological.pdf
drive-75055ad250a1;Gua Pawon;;0;HomininDiversity_WestIndonesia.pdf | Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-5acc5ee05e10;Gua Braholo;/iiif/manifests/sites/drive-5acc5ee05e10.json;3;HomininDiversity_WestIndonesia.pdf | DiasporaMelanesiaNusantara.pdf | The Routledge handbook of bioarchaeology in Southeast Asia and the Pacific Islands (Buckley, HallieOxenham, Marc) (z-lib.org).pdf
drive-6b0234972053;Liang Abu;/iiif/manifests/sites/drive-6b0234972053.json;3;LiangAbu_KimanisRockshelters_Borneo.pdf | LaingAbu_Kalimantan_500ADPottery.pdf
drive-37f70f4ecdfe;Gua Pra;/iiif/manifests/sites/drive-37f70f4ecdfe.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-755026e520f2;Leang Bulu Bettue;/iiif/manifests/sites/drive-755026e520f2.json;3;Archaeology in Oceania - 2022 - Perston - Stone‐flaking technology at Leang Bulu Bettue  South Sulawesi  Indonesia.pdf | PleistoceneHSapSulawesi.pdf | homoSap_SSul.pdf
drive-c5786b519b14;Liang Lemdubu;/iiif/manifests/sites/drive-c5786b519b14.json;3;The Routledge handbook of bioarchaeology in Southeast Asia and the Pacific Islands (Buckley, HallieOxenham, Marc) (z-lib.org).pdf | Emergence and Diversity of Modern Human Behavior in Paleolithic Asia (Yousuke Kaifu, Masami Izuho, Ted Goebel etc.) (z-lib.org).pdf | SpriggsetalThreeSeasonsAruIslandsch0419.pdf
drive-e615a2a04268;Leang Buidane;/iiif/manifests/sites/drive-e615a2a04268.json;3;spiceislands.pdf | BronzeArt_Bali.pdf | First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf
drive-753fc66a7f74;Laili Cave;/iiif/manifests/sites/drive-753fc66a7f74.json;3;Oldest_human_occupation_of_Wallacea_at_Laili_Cave_.pdf | localityInfoPDFLaili_Cave.pdf | Atambua_WestTimor_Paleoenvironment.pdf
drive-ff822645648d;Gua Kidang;;0;HomininDiversity_WestIndonesia.pdf | RembangKarstCaves.pdf | 125988184.pdf
drive-eb6647c752de;Liang Jon;/iiif/manifests/sites/drive-eb6647c752de.json;3;Beads Kalimantan.pdf | Borneo_Menyingkap_gua_prasejarah.pdf
drive-13fdd8f0fc49;Gua Siti Nafisah;/iiif/manifests/sites/drive-13fdd8f0fc49.json;3;spiceislands.pdf | GuaSitiNafisah_Halmahera.pdf | GuaSitiHalmahera.pdf
drive-448961f61296;Liang Toge;/iiif/manifests/sites/drive-448961f61296.json;3;WajakSkulls.pdf | Heereken_StoneAgeofIndonesia.pdf
drive-41456ec323dc;Gua Tewet;/iiif/manifests/sites/drive-41456ec323dc.json;3;Borneo_Menyingkap_gua_prasejarah.pdf | BorneoRockArt.pdf
drive-5c497d96037b;Goa Topogaro;/iiif/manifests/sites/drive-5c497d96037b.json;3;OnoPawlik2024_ThePrehistoryofHumanMigration_IntechOpen_105160.pdf | GoaTopogaro_pleistocene_Sulawesi_AMHdispersalroutes.pdf | 89412-2.pdf
drive-f7905e079aef;Leang Batti;/iiif/manifests/sites/drive-f7905e079aef.json;3;LeangBattiCave_Holocene_Sulawesi.pdf | admin,+3_EN_585-Article+Text-2993+SN(1).pdf | Butta Toa.pdf
drive-f238626373f6;Gua Mo;/iiif/manifests/sites/drive-f238626373f6.json;3;archaeologysulawesi.pdf | GuaMo'oHonoRcokshelter_SSul.pdf | HoloceneOccupSulawesi.pdf
drive-6c828d5c3f7d;Gua Mo’o;/iiif/manifests/sites/drive-6c828d5c3f7d.json;3;archaeologysulawesi.pdf | GuaMo'oHonoRcokshelter_SSul.pdf | HoloceneOccupSulawesi.pdf
drive-6ede0bfd68eb;Gua Lawa;/iiif/manifests/sites/drive-6ede0bfd68eb.json;3;Heereken_StoneAgeofIndonesia.pdf | First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf | PrehistoricJavaSumatra.pdf
drive-41129973e215;Gua Babi;/iiif/manifests/sites/drive-41129973e215.json;3;Indonesian_LithicProduction.pdf | crandell,+Journal+editor,+Forestier+etal+1+-+ver+1.10+-READY.pdf | productionslithiquesarchipelindonésien.pdf
drive-0c1a308a329c;Leang Tedongnge;/iiif/manifests/sites/drive-0c1a308a329c.json;3;Uncovering the chemistry of color change in rock art in Leang Tedongnge.pdf
drive-a09fdd3c9651;Gua Prasejarah;/iiif/manifests/sites/drive-a09fdd3c9651.json;3;PELESTARIAN_GUA-GUA_PRASEJARAH_DI_KAWASAN_KARST_SA.pdf
drive-15be34dee062;Gua Masri;/iiif/manifests/sites/drive-15be34dee062.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-4878a532a9e9;Leang T;/iiif/manifests/sites/drive-4878a532a9e9.json;1;spiceislands.pdf | archaeologysulawesi.pdf | DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf
drive-02f4388d8d65;Gua Talimbue;/iiif/manifests/sites/drive-02f4388d8d65.json;2;patterned_and_plain_baked_clay_from_prepottery_contexts_in_southeast_sulawesi_indonesia.pdf | archaeologysulawesi.pdf | sciadv.ady9493_sm.pdf
drive-7bb7af52852b;Gua Ham;/iiif/manifests/sites/drive-7bb7af52852b.json;3;Borneo_Menyingkap_gua_prasejarah.pdf | BorneoRockArt.pdf
drive-74e6c8c56acd;Mololo Cave;/iiif/manifests/sites/drive-74e6c8c56acd.json;3;An Archaeology of Waigeo (English).pdf | tlij7Y-ch17.pdf | Xhauflairetal2023.pdf
