SITE_SOURCE_ID,SITE_NAME,LATITUDE,LONGITUDE
drive-bomboro,Bomboro,-4.960867,119.669050
drive-00bd1de3cb8a,Gua Ber,3.030000,2.800000
drive-1553952cbed2,Gua Berak,3.030000,2.800000
drive-94773a246912,Gua Leo,3.030000,2.800000
drive-e20181d2440f,Gua Masri I,3.030000,2.800000
drive-56170111538d,Gua Mentis,3.030000,2.800000
drive-2423b64033a3,Gua Rusa,3.030000,2.800000
drive-071842b52d51,Gua Se,3.030000,2.800000
drive-3d1366b5d89b,Gua Te,3.030000,2.800000
drive-06f1463ff303,Gua Tintang,3.030000,2.800000
drive-35d4d04a284c,Gua Ujan,3.030000,2.800000
drive-88a98ac2b076,Loyang Mendale Cave,4.610,96.860
drive-luyk-0001,Loyang Ujung Karang Cave,4.600,96.850
drive-cca935a14577,Gua Teng,3.030000,2.800000
drive-macan-gk-0001,Gua Macan,-8.09,110.72
drive-ngrijangan-0001,Gua Ngrijangan,-8.1045,110.7062
drive-selabe-gk-0001,Gua Selabe,-6.80,107.45
drive-6085bd4db277,Gua Ilas Kenceng,3.030000,2.800000
drive-48492f9fb478,Gua Kambing,3.030000,2.800000
drive-6804df6e72c6,Gua Kebobo,3.030000,2.800000
drive-90beec1bb20d,Gua Pindi,3.030000,2.800000
drive-803b0b6c04b2,Kimanis Cave,1.468306,117.287861
drive-6b0234972053,Liang Abu,1.468306,117.287861
drive-fba5d15c37bc,Liang Abu’s,1.468306,117.287861
drive-19425655a763,Liang Bua,-8.531,120.444
drive-e2e3b42c552f,Liang Bua Homo,0.999500,0.000500
drive-5acc5ee05e10,Gua Braholo,-8.0692,110.7489
drive-a3b434479750,Gua Chauvet,3.030000,2.800000
drive-6bd2b4d26004,Gua Kecil,3.030000,2.800000
drive-new-sngk,Gua Song Keplek,-8.0367,110.6436
drive-1a3837eb9234,Sangiran,10.181453,-7.081330
drive-372832b9607a,Bumiayu,-7.167,108.963
drive-3262d998ec30,Rancah,-7.202,108.499
drive-42f8efd3a405,Sambungmacan Area,-7.364,111.131
drive-a899c9c83d5d,Sangiran Tanjung,-7.443,110.841
drive-6c515881b391,Trinil,-7.366,111.354
drive-7bb7af52852b,Gua Ham,3.030000,2.800000
drive-dc044b157d05,Gua Harto,3.030000,2.800000
drive-97eb01858750,Gua Jufri,3.030000,2.800000
drive-60be962fdfc0,Gua Kao,3.030000,2.800000
drive-04e37585d67c,Gua Keboboh,3.030000,2.800000
drive-27102cae3a5b,Gua Mardua,3.030000,2.800000
drive-15be34dee062,Gua Masri,3.030000,2.800000
drive-5adb73e08098,Gua Misna,3.030000,2.800000
drive-736110748145,Gua Niah,3.030000,2.800000
drive-b616ac37ea15,Gua Payau,3.030000,2.800000
drive-37f70f4ecdfe,Gua Pra,3.030000,2.800000
drive-5b2606c1df9e,Gua Tengkorak,3.030000,2.800000
drive-41456ec323dc,Gua Tewet,3.030000,2.800000
drive-a67343fba4f7,Gua Unak,3.030000,2.800000
drive-eb6647c752de,Liang Jon,1.064444,117.273333
drive-a7e3653ee955,Liang Kaung,3.030000,2.800000
drive-3a6aa9f4f5ef,Liang Sara,3.030000,2.800000
drive-d1d205b3f8fd,Elivavan rockshelter,-7.071,131.91
drive-b4eef8e3ee80,Gua Kecabe,3.030000,2.800000
drive-887c4093a0ba,Gua Ku,3.030000,2.800000
drive-ed33ca7cf298,Gua Kurang Tahu,3.030000,2.800000
drive-1f2cef90b80f,Gua Mar,3.030000,2.800000
drive-869658ea4938,Gua Sahak,3.030000,2.800000
drive-17be9d5deb31,Gua Sedepan,3.030000,2.800000
drive-ebc73e3550ca,Gua Ta,3.030000,2.800000
drive-b549ec6dda5a,Gua Tamrin,3.030000,2.800000
drive-87c1e703adbe,Gua Tem,3.030000,2.800000
drive-c5786b519b14,Liang Lemdubu,-6.092,134.465
drive-753fc66a7f74,Laili Cave,-8.54,126.164
drive-0452763239ef,Makpan Cave,-8.432262927101167,124.54609645976277
drive-74e6c8c56acd,Mololo Cave,0.306,130.918
drive-19a71abd3eca,Gua Pasaung,-4.960867,119.669050
drive-a09fdd3c9651,Gua Prasejarah,3.030000,2.800000
drive-007addb7d769,Leang Cave,-4.960867,119.669050
drive-f13820d249dd,Leang Sakapa,-4.959667,119.669433
drive-57c99720b704,Ulu Leang Cave,-4.960867,119.669050
drive-f238626373f6,Gua Mo,3.030000,2.800000
drive-d75643019b5d,Gua Sammangi,3.030000,2.800000
drive-038349fe1f5e,Leang Bu,-4.959667,119.669433
drive-755026e520f2,Leang Bulu Bettue,-4.960867,119.669050
drive-ae4e74bc5697,Leang Burung I,-5.002222,119.666111
drive-87b2c18e52a5,Leang I,-4.960867,119.669050
drive-3006c386b315,Leang Karassa,-4.960867,119.669050
drive-8b6c8c5cd8a1,Leang Karassak,-4.960867,119.669050
drive-d633d51ff645,Leang Rakkoe,-4.959667,119.669433
drive-630cc56fc87e,Leang Sakapao 1,-4.837,119.605
drive-073f28cd7530,Leang Sarru,4.24,126.79
drive-0c1a308a329c,Leang Tedongnge,-5.003,119.694
drive-1030956e601a,Talepu,-4.368,119.984
drive-28e74fdbcc17,Topogaro 2,-2.763,121.294
drive-58db2d13bffd,Ngalau Gupin,0.645,100.647
drive-766a428edab3,Gua Putri,-3.690,103.920
drive-a771faf3aea7,Gua Harimau,-3.674,103.897
drive-869b649ea8ee,Lhoong Pigip Cave,5.282882,95.245906
