SITE_NAME_LEFT,SITE_SOURCE_ID_LEFT,SITE_NAME_RIGHT,SITE_SOURCE_ID_RIGHT,MATCH_TYPE,MATCH_SCORE,LOCALISATION_LEFT,LOCALISATION_RIGHT
Gua Metanduno,drive-ae948b55aa35,Gua Metanduno,drive-3790e9a45f76,exact_norm,1.00,Southeast Sulawesi | Muna Island,Sulawesi
Gua Pandan,drive-e8324d5edaaa,Gua Pandan,drive-pandan,exact_norm,1.00,Sumatra,Sumatra
Liang Batu Ukir,drive-c6a268b563e4,Liang Batu Ukir,sdrive-00235935a208,exact_norm,1.00,South Kalimantan,South Kalimantan
Gua Batu Adji,drive-725815357c99,Gua Batu Aji,drive-aff9d0b2a3fd,fuzzy_name,0.97,Kalimantan,Kalimantan
Gua Kebobo,drive-6804df6e72c6,Gua Keboboh,drive-04e37585d67c,fuzzy_name,0.96,East Kalimantan,Kalimantan
Gua Pondowa,drive-887233888b8e,Gua Pondoa,drive-4b1b3579a791,fuzzy_name,0.96,South Sulawesi,Southeast Sulawesi
Gua Thamrin,drive-4729ca6f1a06,Gua Tamrin,drive-b549ec6dda5a,fuzzy_name,0.96,Kalimantan,Maluku Islands
Gua Uhallie,drive-27622ae7c8a7,Gua Uhalie,drive-a960a297715c,fuzzy_name,0.96,South Sulawesi,Sulawesi
Leang Buiduane,drive-b642f76ab769,Leang Buidane,drive-e615a2a04268,fuzzy_name,0.96,,Sulawesi
Liang Bua Sector IV Mollusk,drive-27f312fb28e6,Liang Bua Sector XI Mollusk,drive-3a39e6d68236,fuzzy_name,0.96,,
Gua Gede,drive-97f0197612ab,Gua Gedeh,drive-fcb3da38e984,fuzzy_name,0.95,Bali,East Java
Gua Tebok,drive-b1e46b9bb13e,Liang Tebo,drive-0080d8bb6310,fuzzy_name,0.95,Kalimantan,Kalimantan
Leang Ara,drive-8ae174bb6ab1,Gua Arca,drive-8100231b256d,fuzzy_name,0.95,Bali,East Java
Leang Ara,drive-8ae174bb6ab1,Liang Sara,drive-3a6aa9f4f5ef,fuzzy_name,0.95,Bali,Kalimantan
Liang Bua Sector IV Mollusk,drive-27f312fb28e6,Liang Bua Sector VII Mollusk,drive-34de616e92e8,fuzzy_name,0.95,,
Liang Bua Sector VII Mollusk,drive-34de616e92e8,Liang Bua Sector XI Mollusk,drive-3a39e6d68236,fuzzy_name,0.95,,
Liang Toge,drive-448961f61296,Gua Toe,drive-d4f73fa12b33,fuzzy_name,0.95,Flores,Papua
Leang Sarru. The,drive-ec7d37b63eb6,Leang Sarru. These,drive-dfbb1444f580,fuzzy_name,0.94,,
Gua Masri I & II,drive-e20181d2440f,Gua Masri II Cave,drive-828796996c52,fuzzy_name,0.93,East Kalimantan,East Kalimantan
Gua Tengkorak,drive-5b2606c1df9e,Gua Tenkgorak,drive-d45179e3eb35,fuzzy_name,0.93,Kalimantan,Kalimantan
Liang Panningnge,drive-1fa1fc0d93a0,Leang Panninge,drive-ba5ca7c55a2c,fuzzy_name,0.93,South Sulawesi,Sulawesi
