SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES;DUPLICATE_DB_NAME;DUPLICATE_SCORE;DUPLICATE_FLAG
drive-8565fa629ab1;Liang Bangkai 1;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Fajari, N., & Wibisono, W. (2020). Batu Cave: Prehistoric occupation of Meratus Mountains, South Kalimantan. Berkala Arkeologi, 40, 179-194. https://doi.org/10.30883/jba.v40i2.518; Description: Ceruk Bangkai 3 is a rockshelter site in the Meratus karst (Mantewe, Tanah Bumbu, South Kalimantan). Archaeological surveys in the area report occupation evidence such as faunal remains, freshwater shell, stone/bone artifacts, and hearth traces.;;;;
drive-480fb2665f44;Ceruk Ida Malangi;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.24273/jgeet.2017.2.2.300 | https://doi.org/10.5539/apr.v4n1p178;Description: ented by Indonesia’s National Research Centre for Archaeology in 1977, with further studies in 1984 and 1986 (Kosasih 1985, 1989, 1995). The 10 sites of Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua T oko, Gua La Kolumbu, Ceruk Ida Malangi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsafora and Ceruk Tangga Ara were recorded for a variety of motifs including anthropomorphs, zoomorphs, sun and boat motifs, and warfare and hunting weapons that were possibly m the National Research Centre of Archaeology and Pindi Setiawan from the Bandung Institute of T echnology. These observations documented the parietal art of various caves and caverns, including Gua Metanduno, Gua Kabori, Ceruk Ida Malangi, Gua Sugi Patani, Ceruk La Podo, Gua Pominsa and Ceruk Lakan Taghu (Figure 6.2). A review of the literature was done to contextualise these observations with those from earlier texts relating to the prehi | Keywords: Cave;;;;
drive-b0be0318a9f2;Ceruk Lasabo A;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Description: s National Research Centre for Archaeology in 1977, with further studies in 1984 and 1986 (Kosasih 1985, 1989, 1995). The 10 sites of Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua T oko, Gua La Kolumbu, Ceruk Ida Malangi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsafora and Ceruk Tangga Ara were recorded for a variety of motifs including anthropomorphs, zoomorphs, sun and boat motifs, and warfare and hunting weapons that were possibly made from metal. ali diteliti tahun 1977 oleh Pusat Penelitian Purbakala dan Peninggalan Nasional . Lukisan gua terpenting di kawasan ini ditemukan di Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua Toko, Gua La Kolumba, Ceruk Ida Ma langi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsarofa, dan Ceruk Tangga Ara. Lukisan gua umumnya menggunakan warna merah atau coklat dengan objek gambar yang beragam, seperti gambar manusia, binatang, matahari, perahu, geometris, d;;;;
drive-f1c0a7c0c667;Ceruk Lasabo B;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Description: rch Centre for Archaeology in 1977, with further studies in 1984 and 1986 (Kosasih 1985, 1989, 1995). The 10 sites of Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua T oko, Gua La Kolumbu, Ceruk Ida Malangi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsafora and Ceruk Tangga Ara were recorded for a variety of motifs including anthropomorphs, zoomorphs, sun and boat motifs, and warfare and hunting weapons that were possibly made from metal. These motifs wer un 1977 oleh Pusat Penelitian Purbakala dan Peninggalan Nasional . Lukisan gua terpenting di kawasan ini ditemukan di Gua Metanduno, Gua Kabori, Gua Wa Bose, Gua Toko, Gua La Kolumba, Ceruk Ida Ma langi, Ceruk Lasabo A, Ceruk Lasabo B, Ceruk La Nsarofa, dan Ceruk Tangga Ara. Lukisan gua umumnya menggunakan warna merah atau coklat dengan objek gambar yang beragam, seperti gambar manusia, binatang, matahari, perahu, geometris, dan abstrak. Mot;;;;
drive-39516096f6df;Ceruk Poko;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Description: mat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wib rea dengan topografi relatif rata. Tabel 10. Sintesis pengharkatan elevasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng t;;;;
drive-4cc4c8c17a52;Ceruk Sirebi Seiwu Sebagai Tempat Penguburan;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Kebudayaan Indonesia sangat beragam, terdiri dari berbagai suku, adat istiadat, agama, (2013);Description: askan jenis-jenis pemasyarakatan hasil penelitian yang dilakukan oleh Balai Arkeologi Jayapura. Sonya M. Kawer membahas c eruk penguburan yang terdapat di Kampung Kamarisano dan fungsi ceruk dalam artikelnya Pemanfaatan Ceruk Sirebi Seiwu Sebagai Tempat Penguburan di Kampung Kamarisano Distrik Wapoga Kabupaten Waropen. Peneliti Balai Pelestarian Sejarah dan Nilai Tradisional Jayapura. Windy Hapsari menulis Fungsi Manibob dalam Kehidupan Orang Biak, dalam artikelnya Windy membahas buran Masa Lalu pada Masyarakat Supiori di Kabupaten Supiori ................... 97 Hari Suroto Pemasyarakatan Hasil-Hasil Penelitian Balai Arkeologi Jayapura ............................. 111 Sonya M. Kawer Pemanfaatan Ceruk Sirebi Seiwu Sebagai Tempat Penguburan di Kampung Kamarisano Distrik Wapoga Kabupaten Waropen ...................................................... 121 Windy Hapsari Fungsi Manibob dalam K;;;;
drive-7e160cbafae6;Gua Baik;;;;;;;No;Not documented;Not specified;-11700;1950;Archaeological Sites;Shell midden / Shell mound / Bukit Kerang / Kjokkenmoddinger;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;"""Description: ic samples. The Temiar range includes Gua Cha, which has provided the majority of our Hoabinhian and neo- lithic specimens, as well as Gua Peraling. On its western margin, the Temiar range includes or abuts Gua Harimau, Gua Baik, Gua Gunung Runtuh and Gua Kerbau, four other sites with many burials between them (Fig. 6.1). As would be consistent with a local continuity scenario, we have some evidence that a larger proportion of the genes of the specimens represent foragers but suspect the same for the Guar Kepah remains deposited in shell middens where waisted axes and pot sherds co-occur with Hoabinhian pebble tools. The extended supine burials at Gua Cha and Gua Baik, which reflect the Ban Kao mortuary tradition (otherwise found at neolithic sites in south a nd central Thailand; see Bellwood 1997) in terms of their age (c . 3,000 years BP), interment method and grave goods of cerami | Keywords: Shell midden""";;;;
drive-7e3a118d53fc;Gua Batu Tukang;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: 4.000 hingga 8.000 tahun lalu (Chia dan Zuraina , dalam Saidin dan Taςon, 2011). Sementara itu, lukisan gua di Gua Niah (Serawak) berasal dari masa 1.000 hingga 2.000 tahun lalu, Gua Dayak sekitar 1.500 tahun lalu, dan Gua Batu Tukang berasal dari 4.000 tahun lalu (Chia , dalam Saidin dan Taςon, 2011). Seandainya kronologi lukisan gua tersebut di atas benar, maka konsekuensinya terdapat perbedaan dalam manusia pendukung kebudayaannya. Kurun waktu kir erutama ditemukan di wilayah Perak, Kedah, Pahang, dan Kelantan (Hamid, 2014, Sai din dan Taςon, 2010). Lukisan gua di wilayah Perak sebagian besar berada di Lembah Lenggong terdiri atas Gua Badak, Gua Dayak, Gua Gelok, Gua Batu Tukang, dan Gua Batu Puteh. Objek gambar yang ditemukan di wilayah Perak ini dibuat dengan arang warna hita m dengan motif manusia, binatang, cap tangan, geometris, dan kendaraan seperti mobil, sepeda motor, dan sepe;;;;
drive-00bd1de3cb8a;Gua Ber;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385;Description: tan Timur. Pe ne mu an di Gua Mar dua, garca per ta ma di Ka li man tan. Pen je la jah an Su - ngai Bai. Pe ser ta: Je an-Mi chel Cha zi ne, Luc-Hen - ri Fage. 1995 Agus tus-Sep tem ber: pe ne mu an garca di Gua Payau, Gua Ber ha da pan, Gua Kam bing, dan Liang Sara. Pe ser ta: Je an-Mi chel Cha zi ne, Luc-Hen ri Fage, Pindi Se tia wan, Ta ngu y Thu a ud (ka me ra). Pem bu at an film À la dé cou ver te des grot tes or - nées de Bor néo, (Fran an. Bukan makam yang kami mi na ti, me la in kan pe ning ga lan ar ke o lo - gis lebih kuno yang mung kin ter da pat di bawah peti mati. Namun, tidak mung kin me nga is-nga is di sini, apa la gi di tem pat ini ka re na Liang Ber aneh masih di gu na kan se ba gai pe ma ka man orang Aho eng dari lem bah se la ma be be ra pa da sa war sa ini… Kami lalu me man jat, ter ka dang pada jalur parit yang rumit, ter ka dang me la lui te bing me na ra-kars;;;;
drive-1553952cbed2;Gua Berak;;;;;;;No;Not documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;"""Description: an; 7. Ara Raya; 8. Gua Masri; 9. Gua Ilas Kenceng; 10. Gua Tewet, Gua Pindi, Gua Te'et, Gua Ujan, Gua Batu Aji; 11. Gua Tamrin, Gua Mentis, Gua Kayu Sampung, Gua lias Kecil, Gua Tangkorak, Gua Kurang Tahu, Gua Ham; 13. Gua Berak, GuaJufri, Gua Tembus, Gua Sahak; 14. Gua Lungun, Gua Keboboh, Gua Gudang Pecah, Gua Ampir Kosong, Liang Jon. The inset is shown as Figure 2. these sites consist only of lithic scatters that have not yielded organic rem tu yang tum buh, yang hanya dapat di je las kan oleh kuku yang sa ngat pan jang. Kami akan mem ba has nya lebih lan jut. Misi 2002, yang se mu la hanya murni spe leo lo - gis, di mu lai de ngan te mu an di le reng barat Gua Berak (54 ta ngan) dan Gua Payau II (38 ta ngan dan gam bar geo met ris yang me nim bul kan per ta nya an). Lu kis an itu mem be ri kon tri bu si yang mem per ka ya pe nge ta hu an kami ten tang garca yang be gi tu ter - sem""";;;;
