candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
same_name_within_dataset,V3,400fea12-f1f3-4f48-b009-75d052c0f1f0,Gua Bulu Sumi,119.602778,-4.7025,93c5f973-0f54-46ec-8288-38267110ae89,Gua Bulu Sumi,119.5825,-4.916111,Same SITE_NAME within dataset
same_name_within_dataset,V3,60dd154f-1c16-496f-9fb0-272721ffccef,Peunoudia Site,140.411,-2.412194,addaeb9b-445b-4047-8229-0ffd4fc237d7,Peunoudia Site,140.411,-2.412194,Same SITE_NAME within dataset
same_name_within_dataset,V4,258                                 ,                                   ,,,5e2da9e4-ec2f-4141-a914-d47a86c3dd77,                                   ,,,Same SITE_NAME within dataset
same_name_within_dataset,V4,258                                 ,                                   ,,,d6a7fc53-eab1-4263-a015-01e4fb843d0a,                                   ,,,Same SITE_NAME within dataset
same_name_within_dataset,V4,5e2da9e4-ec2f-4141-a914-d47a86c3dd77,                                   ,,,d6a7fc53-eab1-4263-a015-01e4fb843d0a,                                   ,,,Same SITE_NAME within dataset
same_name_within_dataset,V4,400fea12-f1f3-4f48-b009-75d052c0f1f0, Gua Bulu Sumi                     ,119.602778,-4.7025,93c5f973-0f54-46ec-8288-38267110ae89, Gua Bulu Sumi                     ,119.5825,-4.916111,Same SITE_NAME within dataset
same_name_within_dataset,V4,60dd154f-1c16-496f-9fb0-272721ffccef, Peunoudia Site                    ,140.411,-2.412194,addaeb9b-445b-4047-8229-0ffd4fc237d7, Peunoudia Site                    ,140.411,-2.412194,Same SITE_NAME within dataset
same_coords_within_dataset,V3,18ab496a-1bf5-44ad-b041-87f2608a9d75,Pedawa 5,115.04989,-8.23575,2a16f0e1-8081-47bb-93d4-e8df25893b43,Pedawa 4,115.04989,-8.23575,Same coordinates within dataset
same_coords_within_dataset,V3,18ab496a-1bf5-44ad-b041-87f2608a9d75,Pedawa 5,115.04989,-8.23575,ea233673-3102-41c1-a107-f64dc9fa16dd,Pedawa 3,115.04989,-8.23575,Same coordinates within dataset
same_coords_within_dataset,V3,2a16f0e1-8081-47bb-93d4-e8df25893b43,Pedawa 4,115.04989,-8.23575,ea233673-3102-41c1-a107-f64dc9fa16dd,Pedawa 3,115.04989,-8.23575,Same coordinates within dataset
same_coords_within_dataset,V3,93c5f973-0f54-46ec-8288-38267110ae89,Gua Bulu Sumi,119.5825,-4.916111,ef451a2f-7bbf-4b44-80eb-533236c9e9d8,Gua Sumpangbita,119.5825,-4.916111,Same coordinates within dataset
same_coords_within_dataset,V3,224d8954-0236-4430-b854-26597dc525e3,Leang Lompoa,119.593056,-4.835556,fd9f9f2a-06ff-49b3-a1aa-379967f80ac6,Gua Lompoa,119.593056,-4.835556,Same coordinates within dataset
same_coords_within_dataset,V3,2cc6e9e9-0037-4618-afc9-e7c8d8f2adcd,Gua Bawię,119.602833,-4.847361,61de236b-8487-4d74-bb35-86dd7d0b28bc,Leang Bawię,119.602833,-4.847361,Same coordinates within dataset
same_coords_within_dataset,V3,739ae6d5-e626-441a-90ab-8abb4c722993,Leang Tengngae,119.655806,-4.962556,cb5d4508-9484-4df5-9d91-1db4430f2659,Leang Tenggae,119.655806,-4.962556,Same coordinates within dataset
same_coords_within_dataset,V3,30d13a27-adba-495e-a395-52e2ec613d7f,Metanduno Cave,122.659361,-4.898472,b629c976-0f2b-4dc9-b6d2-27dbdbaa72dc,Ida Malangi Rockshelter,122.659361,-4.898472,Same coordinates within dataset
same_coords_within_dataset,V3,97e61c7d-2c4d-406f-9dad-61d48d936a64,Tron Bon Lei Rockshelters,124.567936,-8.434308,e665cec5-3f13-40e1-8be9-23697dcc1ea0,Ba Lei Rockshelter,124.567936,-8.434308,Same coordinates within dataset
same_coords_within_dataset,V3,9ba805bb-3d13-4657-b921-93d3a415307d,Kokuit Uatmata Site,132.496222,-2.66975,a5274e06-44ab-46ca-91cf-cb51501baed1,Tapuraramo Site,132.496222,-2.66975,Same coordinates within dataset
same_coords_within_dataset,V3,60dd154f-1c16-496f-9fb0-272721ffccef,Peunoudia Site,140.411,-2.412194,addaeb9b-445b-4047-8229-0ffd4fc237d7,Peunoudia Site,140.411,-2.412194,Same coordinates within dataset
same_coords_within_dataset,V3,94eae4d8-3d13-4d08-ae7b-b794c165fb5e,Emok Tum Archaeological Site,140.453367,-4.836067,ef260956-2d2f-4473-a6e6-3f07ec5cf2ea,Apuk Tum Archaeological Site,140.453367,-4.836067,Same coordinates within dataset
same_coords_within_dataset,V3,7d2b0b74-3077-4afa-9a13-2f354023def2,Ormu Negeibe Stone Chair,140.559889,-2.448583,8aa4aa94-bf2c-4086-9a25-549c2b0a34d8,Yarkwaco Site,140.559889,-2.448583,Same coordinates within dataset
same_coords_within_dataset,V3,04a9f65d-ee61-40e7-ae86-554a5a4f3a89,Tanjung Ucokwa Megalithic Site,140.601972,-2.448944,fa4bb914-a226-40aa-bc1e-260d5b3a78fe,Yasodia Site,140.601972,-2.448944,Same coordinates within dataset
same_coords_within_dataset,V4,18ab496a-1bf5-44ad-b041-87f2608a9d75, Pedawa 5                          ,115.04989,-8.23575,2a16f0e1-8081-47bb-93d4-e8df25893b43, Pedawa 4                          ,115.04989,-8.23575,Same coordinates within dataset
