path,name,id,target_id,mime_type,resource_key,is_folder,is_pdf,size,modified_time,web_view_link
Austronesian Languages,Austronesian Languages,1PGvb_VECl3DfBNMxywFWdZvxMwTjPBK-,1PGvb_VECl3DfBNMxywFWdZvxMwTjPBK-,application/vnd.google-apps.folder,,yes,no,,2024-08-15T02:50:03.116Z,https://drive.google.com/drive/folders/1PGvb_VECl3DfBNMxywFWdZvxMwTjPBK-
Bajau,Bajau,1EVY2AlEpfhS5hX0kJczKCepLu0x3szSb,1EVY2AlEpfhS5hX0kJczKCepLu0x3szSb,application/vnd.google-apps.folder,,yes,no,,2024-08-15T02:50:03.116Z,https://drive.google.com/drive/folders/1EVY2AlEpfhS5hX0kJczKCepLu0x3szSb
Boats Nusantara,Boats Nusantara,1kIpajBcFMCMUBtEyAx7uyNJiuM99f3IR,1kIpajBcFMCMUBtEyAx7uyNJiuM99f3IR,application/vnd.google-apps.folder,,yes,no,,2024-08-15T02:50:03.116Z,https://drive.google.com/drive/folders/1kIpajBcFMCMUBtEyAx7uyNJiuM99f3IR
Megalithic,Megalithic,1yVKUW-aFzKC4dNLwN8vKXf74R9e8fHa8,1yVKUW-aFzKC4dNLwN8vKXf74R9e8fHa8,application/vnd.google-apps.folder,,yes,no,,2026-01-07T06:37:25.419Z,https://drive.google.com/drive/folders/1yVKUW-aFzKC4dNLwN8vKXf74R9e8fHa8
Rock Art,Rock Art,1SN3_b6jspP8ynyxoPsmkvjMuFANc_XIm,1SN3_b6jspP8ynyxoPsmkvjMuFANc_XIm,application/vnd.google-apps.folder,,yes,no,,2024-08-15T02:50:03.116Z,https://drive.google.com/drive/folders/1SN3_b6jspP8ynyxoPsmkvjMuFANc_XIm
1-2.pdf,1-2.pdf,1dBmDQNi1lkURnghcYte3Ag3mL2mGKHB9,1dBmDQNi1lkURnghcYte3Ag3mL2mGKHB9,application/pdf,,no,yes,429263,2025-04-14T04:56:00.000Z,https://drive.google.com/file/d/1dBmDQNi1lkURnghcYte3Ag3mL2mGKHB9/view?usp=drivesdk
1-Poster-Air-Terjun-Lano.jpg,1-Poster-Air-Terjun-Lano.jpg,1bkwtqlGniuDp2NDSTxru75IE5dov_Kgz,1bkwtqlGniuDp2NDSTxru75IE5dov_Kgz,image/jpeg,,no,no,877913,2022-01-23T02:15:58.000Z,https://drive.google.com/file/d/1bkwtqlGniuDp2NDSTxru75IE5dov_Kgz/view?usp=drivesdk
1-s2.0-S0018442X13000589-main.pdf,1-s2.0-S0018442X13000589-main.pdf,1gIIdJFGP8yrhydgPlDIorZdeov1-vtII,1gIIdJFGP8yrhydgPlDIorZdeov1-vtII,application/pdf,,no,yes,41064,2022-02-09T04:57:53.000Z,https://drive.google.com/file/d/1gIIdJFGP8yrhydgPlDIorZdeov1-vtII/view?usp=drivesdk
1-s2.0-S2352409X25000525-main.pdf,1-s2.0-S2352409X25000525-main.pdf,14Hf-rlcKWupSetZ81WxfgLuoeGePAzvo,14Hf-rlcKWupSetZ81WxfgLuoeGePAzvo,application/pdf,,no,yes,5704614,2025-03-08T16:16:54.000Z,https://drive.google.com/file/d/14Hf-rlcKWupSetZ81WxfgLuoeGePAzvo/view?usp=drivesdk
1-s2.0-S0047248405000291-main.pdf,1-s2.0-S0047248405000291-main.pdf,1hBY03xki4sitkRPHWmambvrgvBRaO4bR,1hBY03xki4sitkRPHWmambvrgvBRaO4bR,application/pdf,,no,yes,358736,2025-10-05T11:37:10.000Z,https://drive.google.com/file/d/1hBY03xki4sitkRPHWmambvrgvBRaO4bR/view?usp=drivesdk
