filename,pdf_path,pages,text_chars,ocr_confidence,date_processed
0217NGIEXPaleorivers,data/google-drive-pdfs/0217NGIEXPaleorivers.pdf,2,4793,0.00,2026-03-25T20:17:49.508980
05+Kalpataru+2023+Ipak+hal+149-162,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,14,44689,0.00,2026-03-25T20:17:49.509328
1-2,data/google-drive-pdfs/1-2.pdf,25,58179,0.00,2026-03-25T20:17:49.509673
1-s2.0-S0018442X13000589-main,data/google-drive-pdfs/1-s2.0-S0018442X13000589-main.pdf,2,8017,0.00,2026-03-25T20:17:49.509886
1-s2.0-S0047248405000291-main,data/google-drive-pdfs/1-s2.0-S0047248405000291-main.pdf,7,19315,0.00,2026-03-25T20:17:49.510090
1-s2.0-S0047248422001397-main,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,12,102231,0.00,2026-03-25T20:17:49.510586
1-s2.0-S0047248499903445-main,data/google-drive-pdfs/1-s2.0-S0047248499903445-main.pdf,42,141466,0.00,2026-03-25T20:17:49.511120
1-s2.0-S0277379123004663-main,data/google-drive-pdfs/1-s2.0-S0277379123004663-main.pdf,15,78277,0.00,2026-03-25T20:17:49.511491
1-s2.0-S0277379124001707-main,data/google-drive-pdfs/1-s2.0-S0277379124001707-main.pdf,11,83142,0.00,2026-03-25T20:17:49.511907
1-s2.0-S2352409X25000525-main,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,11,71268,0.00,2026-03-25T20:17:49.512545
1.+Semedo_galleys_300824,data/google-drive-pdfs/1.+Semedo_galleys_300824.pdf,18,39978,0.00,2026-03-25T20:17:49.512988
125973516,data/google-drive-pdfs/125973516.pdf,10,37940,0.00,2026-03-25T20:17:49.513277
125973616,data/google-drive-pdfs/125973616.pdf,8,28426,0.00,2026-03-25T20:17:49.513551
125988168,data/google-drive-pdfs/125988168.pdf,19,35174,0.00,2026-03-25T20:17:49.514457
125988184,data/google-drive-pdfs/125988184.pdf,14,36783,0.00,2026-03-25T20:17:49.514775
126000089,data/google-drive-pdfs/126000089.pdf,7,25446,0.00,2026-03-25T20:17:49.515071
1431-Article Text-7111-2-10-20230212,data/google-drive-pdfs/1431-Article Text-7111-2-10-20230212.pdf,21,44678,0.00,2026-03-25T20:17:49.515363
149-164,data/google-drive-pdfs/149-164.pdf,16,50089,0.00,2026-03-25T20:17:49.515645
1683-Article Text-6076-1-10-20220825,data/google-drive-pdfs/1683-Article Text-6076-1-10-20220825.pdf,13,28683,0.00,2026-03-25T20:17:49.515896
1887_3503873-Paper_Dusseldorp_Mining,data/google-drive-pdfs/1887_3503873-Paper_Dusseldorp_Mining.pdf,18,61664,0.00,2026-03-25T20:17:49.516235
1969SSulawesiExped,data/google-drive-pdfs/1969SSulawesiExped.pdf,9,31196,0.00,2026-03-25T20:17:49.516493
1995_The_Ngorek_Lithic_and_megalithic_tr,data/google-drive-pdfs/1995_The_Ngorek_Lithic_and_megalithic_tr.pdf,1,464,0.00,2026-03-25T20:17:49.516614
20021210,data/google-drive-pdfs/20021210.pdf,6,5985,0.00,2026-03-25T20:17:49.516843
2008-ASJ-Homo-floresiensis,data/google-drive-pdfs/2008-ASJ-Homo-floresiensis.pdf,12,54440,0.00,2026-03-25T20:17:49.517167
2016_The_Ngorek_of_the_central_highlands,data/google-drive-pdfs/2016_The_Ngorek_of_the_central_highlands.pdf,40,119255,0.00,2026-03-25T20:17:49.517781
2020KaharudinetalIndoCaves,data/google-drive-pdfs/2020KaharudinetalIndoCaves.pdf,34,98002,0.00,2026-03-25T20:17:49.518358
2020OConnoretal.KisarRockart2JIPA,data/google-drive-pdfs/2020OConnoretal.KisarRockart2JIPA.pdf,34,60767,0.00,2026-03-25T20:17:49.518697
218572772-Early-Human-Expansion-and-Innovation-in-the-Pacific,data/google-drive-pdfs/218572772-Early-Human-Expansion-and-Innovation-in-the-Pacific.pdf,193,503123,0.00,2026-03-25T20:17:49.520391
252-Article Text-804-1-10-20091222,data/google-drive-pdfs/252-Article Text-804-1-10-20091222.pdf,4,19784,0.00,2026-03-25T20:17:49.520640
260-596-1-SM,data/google-drive-pdfs/260-596-1-SM.pdf,23,38813,0.00,2026-03-25T20:17:49.520966
395-Article Text-985-1-10-20180327,data/google-drive-pdfs/395-Article Text-985-1-10-20180327.pdf,8,21412,0.00,2026-03-25T20:17:49.521548
401-860-1-SM,data/google-drive-pdfs/401-860-1-SM.pdf,11,21065,0.00,2026-03-25T20:17:49.521790
