name;alt;utmx;utmy;kab
Leang Alle Bireng;46;797538;9449867;Maros
Leang Ambe Pacco;88;796081;9448069;Maros
Leang Balang;25;793818;9447605;Maros
Leang Bara Jarang;64;798567;9450044;Maros
Leang Bara Tedong 1;38;797996;9449056;Maros
Leang Baratedong 2;40;798061;9449320;Maros
Leang Barugayya;45;794587;9447400;Maros
Leang Batubatae;149;793641;9447768;Maros
Leang Batu Karope;140;795207;9447362;Maros
Leang Batu Tianang;21;788971;9454945;Maros
Leang Bembe;18;794759;9446727;Maros
Leang Bettue (Lopi-Lopi);28;794395;9446725;Maros
Leang Bettue (Tompobalang);88;795833;9447600;Maros
Leang Boddong;99;793195;9447373;Maros
Leang Botto;84;792696;9452118;Maros
Leang Bulu Batue;27;792718;9447852;Maros
Leang Bulu Kamase;40;794706;9451234;Maros
Leang Bulu Sipong 1;88;789599;9458606;Maros
Leang Bulu Sipong 2;88;789590;9458714;Maros
Leang Bulu Sipong 3;38;789855;9458737;Maros
Leang Bulu Tungke'e;31;795281;9447724;Maros
Leang Bunga Eja 1;47;794143;9452134;Maros
Leang Bunga Eja 2;45;794098;9451996;Maros
Leang Burung 1;29;795305;9446494;Maros
Leang Burung 2;29;795212;9446403;Maros
Leang Cabbu;22;794093;9447058;Maros
Leang Canggoreng;55;793145;9447105;Maros
Leang Cempae;64;789840;9458725;Maros
Leang Elle Pusae;212;796231;9448179;Maros
Leang Jarie;30;797775;9443311;Maros
Leang Jing;48;793752;9447665;Maros
Leang Kado';47;798752;9442213;Maros
Leang Karama (Akkarasaka);65;790305;9455430;Maros
Leang Karrasa;176;800118;9441861;Maros
Leang Lambatorang;128;795820;9449923;Maros
Leang Lompoa;22;794388;9446415;Maros
Leang Mandauseng;70;793049;9452144;Maros
Leang Monroé;36;789686;9458812;Maros
Leang Pabbuno Juku;30;799455;9451010;Maros
Leang Paccepacce;69;793054;9448018;Maros
Leang Pajae;124;796042;9448528;Maros
Leang Pa'limukang (Pakalu);31;794292;9447001;Maros
Leang Pangia;30;795415;9446657;Maros
Leang Pannampu 1;36;794145;9451471;Maros
Leang Pannampu 2;38;794178;9451438;Maros
Leang Pasaung;37;789629;9456356;Maros
Leang Pattae;205;796672;9449021;Maros
Leang Pellenge;60;797862;9449981;Maros
Leang Petta Kere;158;796781;9449092;Maros
Leang Pucu;40;796734;9450457;Maros
Leang Samongkeng 1;227;794774;9449521;Maros
Leang Samongkeng 2;176;794731;9449474;Maros
Leang Samongkeng 3;137;794610;9449532;Maros
Leang Samongkeng 4;123;794726;9449589;Maros
Leang Sampeang;40;795759;9447204;Maros
Leang Saripa;53;799512;9442112;Maros
Leang Sengka'e;94;793627;9447722;Maros
Leang Tampuang;50;798683;9442811;Maros
Leang Tanre;32;793854;9447531;Maros
Leang Tengngae;52;794529;9450883;Maros
Leang Timpuseng;25;795092;9446919;Maros
Leang Tinggi Ada;45;797143;9449032;Maros
Leang Ulu Leang;60;795837;9447934;Maros
Leang Ulu Wae;65;796042;9448528;Maros
Leang Waniuwae;50;797318;9450547;Maros
Leang Alla Masigi;331;797743;9459664;Pangkep
Leang Barayya;28;780370;9468685;Pangkep
Leang Batanglamara;30;787791;9463780;Pangkep
Leang Batta-Battae;330;798577;9457750;Pangkep
Leang Bawang Leangnge;17;779588;9468987;Pangkep
Leang Bawie;90;788700;9463654;Pangkep
Leang Biring Ere 1;25;789619;9470732;Pangkep
Leang Biring Ere 2;26;789633;9470772;Pangkep
Leang Bubuka;20;786385;9465481;Pangkep
Leang Bujung;10;787649;9464241;Pangkep
Leang Bujung Dare;30;790125;9467447;Pangkep
Leang Bulu Bellang;22;780211;9469535;Pangkep
Leang Bulu Sumi;25;793400;9456043;Pangkep
Leang Buluribba;35;787870;9464382;Pangkep
Leang Buto;10;786562;9465440;Pangkep
Leang Caddia;25;786488;9465414;Pangkep
Leang Cammingkana;20;787727;9464260;Pangkep
Leang Carawali;110;787649;9464242;Pangkep
Leang Cinayya;16;779696;9468774;Pangkep
Leang Cumilantang;32;788465;9465950;Pangkep
Leang Garunggung;30;789949;9466989;Pangkep
Leang Jempang;15;787603;9464991;Pangkep
Leang Kahu;50;809056;9462688;Pangkep
Leang Kajuara;35;787459;9464965;Pangkep
Leang Kappara;22;789685;9468382;Pangkep
Leang Kassi;15;787220;9464970;Pangkep
Leang Lamperajang;9;788000;9462639;Pangkep
Leang Lasitae;14;779981;9469475;Pangkep
Leang Leangnge 1;45;783769;9468679;Pangkep
Leang Leangnge 2;28;783823;9468670;Pangkep
Leang Lessang;20;786362;9465546;Pangkep
Leang Lompoa;20;786967;9465187;Pangkep
Leang Macinna;48;791465;9468743;Pangkep
Leang Nippong;6;791261;9472065;Pangkep
Leang Pa'bujang-Bujangang;9;779757;9470101;Pangkep
Leang Pakkatallu;45;802374;9466663;Pangkep
Leang Pamelakkang Tedong;14;780161;9469528;Pangkep
Leang Pappanaungang 1;13;779758;9468456;Pangkep
Leang Pappanaungang 2;13;779732;9468517;Pangkep
Leang Parewe;12;779353;9469547;Pangkep
Leang Pattennung;108;787559;9464990;Pangkep
Perataran Mata Air Je'netaesa;20;788928;9464933;Pangkep
Leang Pising-Pising;108;793896;9475680;Pangkep
Leang Sakapao 1;90;788687;9465111;Pangkep
Leang Sakapao 2;25;788698;9465076;Pangkep
Leang Saluka;25;790193;9467517;Pangkep
Leang Sapiria;25;787827;9463717;Pangkep
