SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_460;Emok Tum Archaeological Site;West Papua | Yapimakot, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.453367;-4.836067;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_461;Apuk Tum Archaeological Site;West Papua | Yapimakot, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.453367;-4.836067;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_462;Tengnon Buk Archaeological Site;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.467583;-4.834467;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_463;Gua Maria;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.648917;-4.92015;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_464;Mimal Katop Archaeological Site;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.63755;-4.920733;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_465;Mengdal Buk;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.61895;-4.8949;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_466;Batom Buk Archaeological Site;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.544417;-4.876167;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_467;Set Bip Archaeological Site;West Papua | Siminbuk, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.537117;-4.8751;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_468;Mer Buk Archaeological Site;West Papua | Siminbuk, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.518617;-4.8705;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_469;Tanjung Ucokwa Megalithic Site;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.601972;-2.448944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Tempayan Stone is a natural stone that is not modified by humans, in the shape of a half circle like an inverted bowl, is in the sea near the cliff beach, some of the rock bodies are embedded in the water and others appear to the surface in the form of a half circle. In the part of the stone observed above the water surface has a condition that begins to be fragile and cracked | Keywords: papua, west papua
IPAD_541;Tanjung Bintang Rock Art;Maluku | Buano Utara, Huamual Belakang, West Seram, Maluku | Buano;;4326;127.924601;-2.92675;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.24832/kapata.v16i1.13-26;Description: The rock art niche is located about 80 meters above sea level. This rock art niche is located on a pretty high cliff wall, so it is relatively dangerous to climb it. Rock climbing types of equipments are required as an essential requirement of safety standards to reach the rock art niche. The characteristics of Austronesian rock art motifs are also similarly evident in the Hatupatola site and the Tanjung Bintang site, such as anthropomorphic, geometric, sun, and circle motifs, as well as being in a difficult to reach position, relatively high cliff face. Based on all the motifs that can still be observed, most of the shapes are still relatively looks clear, but some of the motifs appear to have faded, and there are also star motifs that are almost entirely eroded. In the sun-ray shape motif, apart from having faded in some parts, there are also indications of vandalism over the pigment in the core of the circle. One of the unique features of the sun-ray motif rock art at the Tanjung Bintang Site is the appearance of green pigments. Based on recorded and confirmed archaeological data so far, the green pigment in rock art in Maluku has never been found before.
