SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_457;Tanjung Bitsyari Site;West Papua | Kaimana Kota, Kaimana, Kaimana Regency, West Papua | West Papua,Kaimana;;4326;133.819501;-3.715711;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The rock image is on a karst cliff with a height of about 20 meters and facing east. From the identification results, there is a picture shaped like a fish, then 3 anthropomorphic patterned pictures and 26 dots. | Keywords: papua, west papua, Kaimana | Alternative_Name: Tanjung Bitcari
IPAD_458;Tanjung Bitsyari 2 Site;West Papua | Kaimana Kota, Kaimana, Kaimana Regency, West Papua | West Papua,Kaimana;;4326;133.824119;-3.702765;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: This site is located on a cliff facing east and is in the coastal area. The height of the cliff is estimated to be around 8.6 meters, while the picture of the rock is in the upper niche. It is quite difficult to identify the shape of the rock image, because the damage is quite severe and only leaves red spots from the image that have not been peeled off. | Keywords: papua, west papua, Kaimana | Alternative_Name: Tanjung Bitcari
IPAD_459;Tanjung Bitsyari 3 Site;West Papua | Kaimana Kota, Kaimana, Kaimana Regency, West Papua | West Papua,Kaimana;;4326;133.818179;-3.720982;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: Unfortunately, the image of a rock in the form of a niche on a cliff with a height of about 8 meters is very difficult to identify, because it has suffered severe damage. | Keywords: papua, west papua, Kaimana | Alternative_Name: Tanjung Bitcari
IPAD_904;Onomanussu;Bitsyari | West Papua;;4326;133.821500;-3.569167;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: On the little island Onomanussu, from which the site borrowed its name, situated south-west from the village of Morano, the team could discover only one faded red painting. It is very hard to see some structure in the overall pattern, although one might suggest that the strange triangular shape on the top is similar to the headdress of the anthropomorphic figures found in Cape Bitsyari.
IPAD_905;Mai Mai - Esaromi;Bitsyari | West Papua;;4326;133.912861;-3.728306;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: Esaromi consists of different galleries, situated at approximately 7 m asl. In the first gallery red dots and some unclear figures can be spotted. The next gallery about 20 m south-south-east is approximately 20 m long. A horizontally placed matutuo-like figure or lizard was discovered near an abstract design. Further south some red paintings can be observed. Apart from the diamond structure, they are unique in concept and composition (Plate 151) since the team could not discover other examples in the Kaimana area.
IPAD_906;Mai Mai - Ereretari;Bitsyari | West Papua;;4326;133.882694;-3.673306;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: The gallery is approximately 10 m long and 3.5 m high. In the first niche two superb faces (suns?) are discovered in red painting, surrounded by dots (Plate 152). Just above them, a strange structure can be observed, consisting of a central circular part, enlarged by what seems to be a fish tail. Both are filled with an ochre yellow colour. In the bottom left corner, several vertical yellow ochre lines are depicted. Above this niche another series of red dots can be seen surrounding several figures like a cross, a matutuo-like figure and some linear structures curling at the end, all depicted in red pigment. Further south a horizontal matutuo-like figure is observed. On the lower part a circular and linear structure and red dots are visible. Approximately 10 m further south a marvellous face can be seen surrounded by some stylistic ochre and yellow figures (Plate 153). Underneath one finds an anthropomorphic design in red ochre. Other faces were also observed further down (Plate 154). Many of these pictures, with similar characteristics, appear throughout the Kaimana and Berau Gulf regions. In the Kaimana region they appear at Netnarai and Tumberawasi. To the right of the pictures just described, some complex abstract paintings can be found.
IPAD_907;Mai Mai - Netnarai;Bitsyari | West Papua;;4326;133.886250;-3.679139;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: The gallery is about 25 m long and 3-4 m high. At the beginning of the site from left to right, one detects yellow and red ochre dots, red linear and circular structures (Plate 155), sometimes filled with yellow ochre, negative hand stencils and an anthropomorphic figure. Immediately to the right of the red linear structure filled with yellow ochre, we find the representation of a red tool (Plate 155). Further to the right, there is a continuity of yellow ochre dots, linear and circular red structures, a red matutuo-like figure and the representation of fish which could be dolphins. Continuing to the right there is a painting of a decorated red human face, a red sun, several red linear and circular structures and an unusual dark red abstract figure. Below, a light red matutuo-like figure can be observed. To the right a red matutuo-like structure, unique in its characteristics and appearance, is depicted, surrounded to the right by linear and circular red and yellow ochre abstract paintings. An anthropomorphic or lizard structure, similar to the one depicted at Esaromi, is clearly visible. A similar anthropomorphic figure was later found in Tumberawasi. These representations are, however, unique since they are the only ones of their kind the team discovered during the survey.
IPAD_908;Mai-Mai - Weretwarom;Bitsyari | West Papua;;4326;133.883111;-3.673972;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: The lower painting consists of a complicated dark brownish maze pattern. This pattern is observed on many paintings in the Kaimana area. The meaning of these kinds of structures is unknown. However, the multitude of them in the region could suggest a symbolic magico-religious meaning. Other sites where this or similar symbols have been found are Ereretari, Netnarai, Sasere Oyomo, Memnemba and Tumberawasi. The painting just above the maze structure clearly represents a human face. Both of the paintings situated higher up are in an orange-red colour. The upper painting is less clear but suggests another linear composition.
IPAD_909;Munfuriti;Bitsyari | West Papua;;4326;133.887556;-3.682083;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: Paintings are situated in a gallery approximately 10 m in length. Several linear and circular structures can be detected in colours varying from yellow to red and brownish ochre. Two concentrations of dark brownish ochre dots and a hand stencil were also observed. Remarkable are two dark red matutuo-like figures and a complicated structure of lines.
IPAD_910;Mai Mai - Munfuritnus;Bitsyari | West Papua;;4326;133.886306;-3.680756;;No;Documented;Not specified;;;Archaeological Sites;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Arifin, K., & Delanghe, P. (2004). Rock art in West Papua. UNESCO. https://unesdoc.unesco.org/ark:/48223/pf0000135558;Description: The gallery of Munfuritnus is situated about 50 m south-south-east from Munfuriti, and is partially covered by graffiti. Many of the red paintings are faded apart from a matutuo-like figure, a sun, several linear and circular structures and hand stencils. All of these paintings could not be well recorded by the team. This was due to the height of the site and difficult working conditions.
