SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_003;Ceruk Poko;Pati | Central Java;;4326;110.89702615379900;-6.9486979245136900;165;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Description: mat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wib rea dengan topografi relatif rata. Tabel 10. Sintesis pengharkatan elevasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng t
IPAD_005;Gua Gogor;Pati | Central Java;;4326;111.03126158532000;-6.922013168350300;94;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wibowo et al., 2021 Potensi Arkeologis Gua di Zona Rembang Bagian Barat Mayoritas situs di Zona Rembang vasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng tunggal diketahui bahwa mayoritas situs berada di dalam kelas lereng te
IPAD_006;Gua Keongan;Pati | Central Java;;4326;110.98006015869700;-6.925964265436580;184;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: g bagian barat (Hari Wibowo, Ahmad Surya Ramadhan, Muhammad Wisnu Wibisono, dan Rakhmat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk dan tidak ada yang termasuk dalam kategori aksesibilitas sulit atau sangat sulit. Tabel 12. Sintesis pengharkatan aksesibilitas. Nama Gua Harkat Elevasi Relatif Harkat Lereng Tunggal Interval Harkat Aksesibilitas Kelas Gua Keongan 5 4 9 5 sangat mudah Ceruk Poko 5 3 8 4 mudah Gua Watu Gong 3 3 6 3 sedang Gua Gogor 4 5 9 5 sangat mudah Kompleks Ceruk Pajangan 4 3 7 4 mudah Sumber: Wibowo et al., 2021 Variabel Morfologi Gua Kriteria morfologi yan
IPAD_012;Gua Watu Gong;Pati | Central Java;;4326;111.0312669497380;-6.9220344696189500;202;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: peluang untuk ditempati. Tabel 13. Sintesis pengharkatan morfologis. Nama Gua Lebar (m) Kedalaman Horizontal (m) Luas Ruang (m2) Harkat Morfologi Kelas Gua Keongan 6,21 10,91 68 3 sedang Ceruk Poko 16,34 7,8 127 4 luas Gua Watu Gong 23,18 8,57 199 4 luas Gua Gogor 4,4 13,4 59 3 sedang Kompleks Ceruk Pajangan 16,6 7,93 132 4 sedang Sumber: Wibowo et al., 2021. Variabel Kandungan Data arkeologis Variabel kandungan data arkeologis adalah kelas kuantit abel 10. Sintesis pengharkatan elevasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng tunggal diketahui bahwa mayoritas s
IPAD_047;Kompleks Ceruk Pajangan;Pati | Central Java;;4326;110.92909480939200;-6.957236595671490;195;No;Excavated;Not specified;-8286;-6743;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;The palaeoenvironment around Kompleks Ceruk Pajangan included several streams that flowed into the ancient strait, which are now tributaries of the Silugonggo River. The abundance of freshwater resources is evidenced by the dominance of freshwater molluscs, which were a primary food source for the site's inhabitants.
IPAD_058;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Description: inental mammals were found in the Kalibeng layer. Human, animal, and artifact fossils are found in a geological- stratigraphic series that was deposited without interruption over a period of more than 2 million years. - Sangiran Site, Sragen and Karanganyar, Central Java Sangiran is a complex of sites located in the Solo Basin, east of Mount Lawu. The site area stretches along 8 kilometers in a north-south direction and 7 kilometers in an east-west t number 593 on the World Heritage List . UNESCO. Human, animal, and artifact fossils are found in a geological- stratigraphic series that was deposited without interruption over a period of more than 2 million years. - Sangiran Site, Sragen and Karanganyar, Central Java Sangiran is a complex of sites located in the Solo Basin, east of Mount Lawu. The site area stretches along 8 kilometers in a north-south direction and 7 kilometers in an east | Keywords: Burial site
IPAD_219;Gua Bedug;Rembang | Central Java;;4326;111.3501125;-6.8715916;269;No;Excavated;Not specified;-8777;-8542;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;at least four individuals are represented in the dental records from Gua Bedug. Lithic artifacts of rounded cobblestones from Gua Bedug are also similar to what has been described from Gua Peturon, Tuban (Jatmiko, 1997). The bone points and spatulas were more common and present not only from sites in the northern part but also in the southern part of Java. The abundance of shell and bone artifacts at Gua Bedug is more likely driven by local adaptation rather than material preference for specific purposes.
IPAD_223;Samblingan;Central Java;;4326;110.850;-7.450;;No;Excavated;Not specified;-48000;-25000;Archaeological Sites;Open-air site;;;;No;;Description: Sambungmacan (also spelled Sambingan) is an open site on the south bank of the Solo River in central Java. Several Homo erectus crania have been found here, including Sambungmacan 1, 3, and 4. The fossils date to the late Middle Pleistocene and are important for understanding the evolution of Homo erectus in Java.
IPAD_226;Patiayam;Central Java | Kudus;;4326;110.800;-6.750;;No;Excavated;Not specified;-500000;-400000;Archaeological Sites;Open-air site;;;;No;;Description: Patiayam is an important fossil site in Kudus Regency, Central Java, part of the Patiayam Dome on the Muria Mountain slope. The site has yielded numerous Pleistocene fossils including Stegodon, giant tortoise, and other megafauna. Associated with the Northern zone of Java Homo erectus sites.
IPAD_762;Gua Kidang;Central Java;;4326;110.990;-6.970;;No;Documented;Not specified;-10815;-9825;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;"Description: The excavation findings are very interesting, including artifacts of both bones and shells. Some findings show a variety of tool types with lithic technology. The main artifacts are from bones, which appear to indicate a ""higher"" technology than the artifacts found in Kidang Cave A. In addition, based on the sedimentation process, it seems that Kidang Cave AA is drier than the deposits that occur in Kidang Cave A. This provides an interpretation, that between Kidang Cave A and Kidang Cave AA there was a different arrangement or pattern of activity and habitation."
