SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_019;Goa Topogaro;Central Sulawesi;;4326;121.294;-2.763;;No;Documented;Not specified;-25507;1880;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1080/00438243.2023.2172074;Topogaro 2, part of the Goa Topogaro cave complex in Central Sulawesi, preserves deposits up to 3 m deep, with occupations dated from about 29 ka to the Metal Age. Excavations yielded lithic flakes of chert. Use-wear analysis indicates activities such as plant processing, bone working, and butchering. Occupation was episodic, with gaps during the LGM but renewed use in the Post-LGM, Holocene, and later periods.
IPAD_203;Topogaro 2;Sulawesi;;4326;121.294;-2.763;;No;Excavated;Not specified;-23391;1950;Archaeological Sites;Quarry / Raw material source / Obsidian source / Chert source;;;;No;https://doi.org/10.1371/journal.pone.0289513;Description: Topogaro 2, part of the Goa Topogaro cave complex in Central Sulawesi, preserves deposits up to 3 m deep, with occupations dated from about 29 ka to the Metal Age. Excavations yielded lithic flakes of chert. Use-wear analysis indicates activities such as plant processing, bone working, and butchering. Occupation was episodic, with gaps during the LGM but renewed use in the Post-LGM, Holocene, and later periods. | Keywords: Cave
IPAD_658;Langke Bulawa Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.291558;-1.853081;787;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Right in the center of the plot of land lies a Langke Bulawa megalithic statue, a half-body statue without legs. The statue's height from the ground to the head is 174 cm. The front of the body is 63 cm wide, the front of the head is 58 cm wide, the back of the body is 65 cm wide, and the back of the head is 33 cm wide. The head and face are decorated with vertical lines. The statue's facial features are further emphasized by forming an oval shape, with a nose, two round eyes, and two ears. The body features two arms that hug the abdomen down to the base. Between the arms are two breasts on the chest. The lower part of the body features a prominent oval-shaped depiction of the genitals.
IPAD_659;Pamona Cave;Lore-Lindu-Poso | Central Sulawesi;;4326;120.638917;-1.763589;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;The only evidence and remains of burial activity in Pamona Cave that can still be found today are a distribution of human skeletal anatomy, several wood fragments suspected to be part of burial containers (yumu), mollusk shells, and beads associated with several human skeletal parts and teeth. Most of the human skeletal remains scattered throughout the cave are incomplete, and some of the bones are extremely fragile. The parts of the human skeleton that can still be identified by examining intact anatomical features of the human skeleton are divided into two parts: 1) the axial skeleton, consisting of the skull (cranium), face, spine, and rib cage. 2) the appendicular skeleton, consisting of the shoulder blades and collarbones.
IPAD_660;Ceruk Latea I;Lore-Lindu-Poso | Central Sulawesi;;4326;120.656983;-1.756264;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Types of archaeological remains are found in the niche and cave in the form of coffins or in local language called yumu and various piles of skulls inside the coffins, most of which have decayed and scattered irregularly. Most of the skeletons remain intact, visible from the skull shape of the head and face, teeth, ribs, shoulder blades, and femur bones. The coffins found in the niche and cave have two parts: the coffin cover and the body storage container. The coffins average have a long shape with dimensions 100 cm long and 45 cm wide. Overall, the coffin dimensions from the cover to the storage container are round. Each part of both ends of the cover and body storage container has elongated carving protruding upward and downward. The carving functions as a lock for both parts of the coffin from a wooden stick or a place to tie black fiber rope.
IPAD_661;Tangkaboba Cave;Lore-Lindu-Poso | Central Sulawesi;;4326;120.6472;-1.760633;554;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Inside the Tangkaboba niche, various archaeological distributions were found that are almost not much different in shape and size from the types of coffin distribution finds in the niche/cave Latea I and Latea II, namely in the form of burial containers from coffins (yumu) that appear to be piled on the edge side of the niche wall and pottery fragment distributions, some of which are found inside the coffins and on the ground surface. Other distributions include skulls from various parts of the human anatomy, head skulls that are all still intact, rib bones, shoulder blades, and femur bones. Skeleton storage is now placed outside the coffins that were originally stored inside the coffins then removed, and piled with other head skulls by making racks to place the head skulls found on the edge of the Tangkaboba niche cliff wall.
IPAD_662;Watu Mpogaa Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.64065;-1.7569;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Watu Mpogaa is a standing stone or menhir made of monolithic rock. Some experts conclude that the function of the menhir is related as a memorial stone in ancestor worship rituals and as a grave marker. However, the Pamona ethnic community considers that Watu Mpogaa has a relationship with the spread or separation of the Pamona tribe as well as a direction indicator for each region of power for the local Baree language speakers in the past. The environment around the Mpogaa Menhir is directly bordered by: To the North, it borders Bethel Pamona Church
IPAD_663;Arca Loga;Lore-Lindu-Poso | Central Sulawesi;;4326;120.27965;-1.86375;803;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Loga in the local community's meaning is a statue that overlooks the middle of the field, so the location of the statue is named Padang Loga. The location of Padang Loga is bordered by: To the North, bordered by Bukit Sabana and Jalan Produksi
IPAD_664;Bukit Mungku Ilu;Lore-Lindu-Poso | Central Sulawesi;;4326;120.277883;-1.864239;793;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;The types of archaeological remains found at Bukit Mungkuilu consist of burial jars that are still inside the excavation boxes from the National Archaeological Research Center research in 2010, which in the implementation of that activity was not ended with re-covering the excavation box results. The excavation boxes were 2 (two) boxes adjacent to each other with the condition of the excavation boxes still open. Inside the first excavation box there was 1 (one) burial jar, and in the second excavation box there was 1 (one) sediment stone with a semicircular shape with both upper and lower surfaces flat, and under the sediment stone there was a burial jar container in a lying position. Other types of findings visible on the ground surface are the jar lid holes buried in the soil with a diameter of 56 cm.
IPAD_744;Tadulako Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.254667;-1.710556;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Umar, D. Y. Y. (2011). Temuan tradisi budaya Austronesia akhir protosejarah (megalitik) di Lembah Besoa, Sulawesi Tengah. Kalpataru, 20(2), 89-104.;At the Tadulako Site (Doda Village), a test pit in one kalamba produced finds of human skeletal and skull fragments, teeth, pottery sherds, an ike stone (bark-beater), and a pebble stone tool (Yuniawati 2000). From observation of the right humerus by Rokhus Due Awe, it is estimated that at least ten individuals were present in the kalamba. Dental observation by Dr. Harry Widianto indicates the teeth were burned, with very fragile roots that split easily, mostly the crowns were preserved, with enamel from cusps to cervix. Dentin was largely detached or heavily cracked, and less than 30% of roots remained. The site also yielded about 32 artifacts: one megalithic statue, nine flat stones, eight pebbles, two monoliths, one stone enclosure, one covered kalamba, and ten uncovered kalamba.
IPAD_745;Pokekea Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.212778;-1.690444;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Umar, D. Y. Y. (2011). Temuan tradisi budaya Austronesia akhir protosejarah (megalitik) di Lembah Besoa, Sulawesi Tengah. Kalpataru, 20(2), 89-104.;Artifact finds at this site total about 95 items, including megalithic statues (5), dakon stones (14), flat stones (5), tray stones (2), incised dakon stones (2), pebbles (16), pebble clusters (4), flat tables (3), stone enclosures (9), kalamba lids (10), and kalamba containers without lids (25). Radiocarbon dating from Pokekea Site, test box TG-U'47 (charcoal from spits 6-11, close to burial jars and kalamba), yielded 2170 +/- 120 BP, calibrated to 510 BC-80 AD. Excavations show that around kalamba there are large jars (about 50 cm diameter) placed tightly and densely within a slightly elevated mound stratigraphy compared with other find spots (Siswanto 2005). These jars are interpreted as burial containers. With kalamba used as burial containers and clay burial jars also present, the provisional interpretation is that Pokekea was used for burial.
IPAD_746;Entovera - Tundu Wanua Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.197806;-1.712083;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Umar, D. Y. Y. (2011). Temuan tradisi budaya Austronesia akhir protosejarah (megalitik) di Lembah Besoa, Sulawesi Tengah. Kalpataru, 20(2), 89-104.;Finds at this site total about 203 items, including megalithic statues (2), unfinished megalithic statues (5), dakon stones (40), flat stones (4), tray stones (16), standing stones (6), an unfinished stone mortar (1), an unfinished kalamba lid (1), an unfinished kalamba container (1), decorated dolmens (6), plain dolmens (3), oboka stone-base clusters (29 clusters), stone mortars (82), menhir (1), stone enclosures (2), a structured stone-pillar group (1 cluster), and kalamba containers without lids (2). Excavations in six test boxes yielded plain and decorated pottery sherds, animal-bone fragments, and tool fragments made from stone (rounded stones, flat stones, grinding stones, querns) and metal (bracelets, weapons). Beads were also found, though in small numbers. Radiocarbon dating indicates this may be one of the oldest megalithic sites in Indonesia. The site may have begun to be occupied at 2460 +/- 120 BP, calibrated to 831 BC-232 BC (date from Box KII, spits 4-9, near stone mortar find no. 159). Another C-14 date from Box KIII (spits 6-9), near standing stone (menhir) find no. 6, yielded 2890 +/- 120 BP, calibrated to 1387 BC-831 BC.
IPAD_747;Lempe - Padang Hadoa Megalithic Site;Lore-Lindu-Poso | Central Sulawesi;;4326;120.218444;-1.737306;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Umar, D. Y. Y. (2011). Temuan tradisi budaya Austronesia akhir protosejarah (megalitik) di Lembah Besoa, Sulawesi Tengah. Kalpataru, 20(2), 89-104.;Finds at this site total 133 items, consisting of a megalithic statue (1), an incised stone (1), dakon stones (22), flat stones (plain and with dakon/tray variants) (6), tray stones (28), an unfinished megalithic statue (1), an unfinished tray stone (1), unfinished kalamba containers (2), a stone-road feature (1 cluster), oboka stone-base clusters (10), stone mortars (51), stone enclosures / batu temu gelang (3 clusters), a burial jar (1), decorated kalamba containers (3), and plain kalamba containers (2) (see Map 5).
IPAD_665;Arca Ari Impohi;Lore-Lindu-Poso | Central Sulawesi;;4326;120.2556;-1.877389;770;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;Information from cultural heritage officers serving in the megalithic area of Lore Barat District and Lore Selatan District, the Arca Ari Impohi originated from the megalithic site Sepe then moved by the community to its current location (intersection monument). The Arca Ari Impohi has a head shape with the right side higher than the left side. The statue face is oval shaped equipped with eye circles, nose, and 2 (two) ears. Body height metric 75 cm, side width 30 cm and front width 24 cm. Then the statue is erected on a monument that has 3 (three) steps.
IPAD_666;Arca Pekadoi;Lore-Lindu-Poso | Central Sulawesi;;4326;120.242111;-1.892;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;The Pekadoi statue, suspected of being stolen, was later discovered by local residents. For safety and to prevent further theft, it was finally placed in its current location. The Pekadoi statue is made of sedimentary rock (sandstone) and is shaped monolithically to have a round face, complete with eyes, right and left ears, and a nose. The statue's height from the top of its head to the top of its body visible above the ground is 64 cm, with a body width of 38 cm.
IPAD_667;Arca Tanta Duo;Lore-Lindu-Poso | Central Sulawesi;;4326;120.250917;-1.9014;779;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Hidayat, R., & Muliarsa, I. W. (2013). Bulletin Umulolo: Media informasi pelestarian cagar budaya (Vol. 1, No. 3). Balai Pelestarian Cagar Budaya Gorontalo.;The statue is known as Tanta Duo or a statue that resembles the shape of a buffalo. The term is adjusted to the understanding of the local community who sees the statue that does not stand upright, like other statues around the Bada valley. The shape of this statue is equipped with a face that has 2 (two) round eyes, while above the eyes there are several semicircular lines that follow the pattern of the eye shape resembling eyebrows, then there is also a nose. The entire back surface of the statue has motifs with circular shapes resembling dakon holes and the back has relief shapes with striped patterns. The statue size has a length of 330 cm, width of 140 cm and average height of 42-54 cm. The type of material used is sedimentary rock (sandstone). In addition to a statue, there is a kalamba that is ± 100 meters away from the place that has been broken into 2 (two) parts. The broken kalamba is now in a poorly maintained condition.
