SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_001;Bomboro;South Sulawesi;;4326;119.669050;-4.960867;85;No;Documented;Not specified;;;Archaeological Sites;Quarry / Raw material source / Obsidian source / Chert source;;;;No;http://dx.doi.org/10.24832/wln.v19i1.428;Keyword: Maros-Pangkep. Bomboro open lithic site. Confirmed that the valley contains an extensive but weathered and deflated prehistoric chert quarry, but the age and quarrying activities remain unclear. The high density of stone artefacts demonstrates how heavily utilised this source was, as does the considerable expanse of the scatter when surveyed. Further work at this site may yield important insights into the landscape-scale stone procurement strategies employed by past people in the Maros-Pangkep region.
IPAD_002;Liang Bangkai;South Kalimantan;;4326;115.79573760650600;-3.2010572016172000;;No;Documented;Not specified;-12000;-3000;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Fajari, N., & Wibisono, W. (2020). Batu Cave: Prehistoric occupation of Meratus Mountains, South Kalimantan. Berkala Arkeologi, 40, 179-194. https://doi.org/10.30883/jba.v40i2.518;Description: Ceruk Bangkai 3 is a rockshelter site in the Meratus karst (Mantewe, Tanah Bumbu, South Kalimantan). Archaeological surveys in the area report occupation evidence such as faunal remains, freshwater shell, stone/bone artifacts, and hearth traces.
IPAD_003;Ceruk Poko;Pati | Central Java;;4326;110.89702615379900;-6.9486979245136900;165;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Description: mat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wib rea dengan topografi relatif rata. Tabel 10. Sintesis pengharkatan elevasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng t
IPAD_004;Ceruk Sirebi Seiwu;Nabire | Papua;;4326;136.23458618238400;-2.9419869884534400;;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;;Based on a survey conducted in Kamarisano Village, a burial site, the Sirebi Seiwu niche, was discovered, containing human bones and an intact pottery vessel. These findings indicate a very simple ancient burial, made without a container or coffin to hold the bodies. This type of burial is a primary burial method, practiced directly based on the culture of the people who lived in Kamarisano Village long before.
IPAD_005;Gua Gogor;Pati | Central Java;;4326;111.03126158532000;-6.922013168350300;94;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk Pajangan 41 Alat batu, kerang, tulang fauna, rangka manusia 4 3 banyak Sumber: Wibowo et al., 2021 Potensi Arkeologis Gua di Zona Rembang Bagian Barat Mayoritas situs di Zona Rembang vasi relative. Nama Gua Ketinggian Situs (mdpl) Dasar Lembah (mdpl) Elevasi Relatif Harkat Elevasi Relatif Kelas Gua Keongan 184 182 2 5 sangat kecil Ceruk Poko 165 157 8 5 sangat kecil Gua Watu Gong 202 157 45 3 sedang Gua Gogor 94 70 24 4 kecil Kompleks Ceruk Pajangan 195 170 25 4 kecil Sumber: Wibowo et al., 2021 Data Medan Kelas Lereng Tunggal Melalui pengharkatan lereng tunggal diketahui bahwa mayoritas situs berada di dalam kelas lereng te
IPAD_006;Gua Keongan;Pati | Central Java;;4326;110.98006015869700;-6.925964265436580;184;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: g bagian barat (Hari Wibowo, Ahmad Surya Ramadhan, Muhammad Wisnu Wibisono, dan Rakhmat Dwi Putra) Tabel 14. Sintesis pengharkatan kandungan data arkeologis. Nama Gua Jumlah temuan Jenis temuan Variabilitas Harkat Kelas Gua Keongan 14 Tulang fauna dan kerang bivalve (beberapa adalah scraper) 2 2 sedang Ceruk Poko 11 Tulang fauna dan gerabah 2 2 sedang Gua Watu Gong 18 Tulang fauna dan kerang 2 2 sedang Gua Gogor 6 Kerang 1 1 sedikit Kompleks Ceruk dan tidak ada yang termasuk dalam kategori aksesibilitas sulit atau sangat sulit. Tabel 12. Sintesis pengharkatan aksesibilitas. Nama Gua Harkat Elevasi Relatif Harkat Lereng Tunggal Interval Harkat Aksesibilitas Kelas Gua Keongan 5 4 9 5 sangat mudah Ceruk Poko 5 3 8 4 mudah Gua Watu Gong 3 3 6 3 sedang Gua Gogor 4 5 9 5 sangat mudah Kompleks Ceruk Pajangan 4 3 7 4 mudah Sumber: Wibowo et al., 2021 Variabel Morfologi Gua Kriteria morfologi yan
IPAD_007;Gua Kuya;Konawe | Southeast Sulawesi;;4326;122.002;-3.031;267;No;Excavated;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518;Description: Several discoveries were made at the Kuya Cave site. Six types of pottery motifs, two types of patterned and plain ceramic fragments, two patterned stoneware fragments, three types of stone fragments, including one stone fragment, one fragment of a stone net weight, three fragments of a stone maneuver tool, 12 skull fragments, three bone fragments, including one jawbone, one femur, one foot bone, 20 molars, eight canines, four incisors, four bead fragments, five bracelet fragments, and two types of mollusk fragments were recovered.
IPAD_008;Liang Batu Ukir;South Kalimantan;;4326;115.7950;-3.2000;;Yes;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.1016/j.jhevol.2006.08.011;Description: c) Distribution of lithik tools at the Sites of Gua Liang Batu Ukir . Based on surface surveys in sector 3, Gua Liang Batu Ukirfound the distribution of lithik tools such a s flakes, flakes tools, point tools, and core stones [3]. The morphological features of flake tools are the same a food and ways to process food resources. Based on the analysis of morphological characteristics of Gua Liang Bangkai 1, Gua Liang Bangkai10, Gua Liang Batu Ukir, Ceruk Liang Susu 1 and Gua Liang Jago , it is known that the selection of residential caves is based on the intensity of sunlight into t he cave room. This factor has caused the cave room to be dry and not moist. In ad | Keywords: Cave
IPAD_009;Gua Masri I & II;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.72680555555556;1.5544722222222222;405;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: las air. Namun, kami tidak akan tahan be gi ni ter la lu lama. Ke esok an ha ri nya, kami kem ba li ke gua yang kami namai Gua Masri untuk meng hor mati pe man - du kami dan lang sung naik ke gua kedua. Ke ju tan besar! Gua Masri II itu ga le ri nya kecil dan me nu suk ke arah me na ra karst. Ga le ri mem ben tang 5 m de ngan ting gi 2 m, âme re kaâ telah me nyem bur kan te ra an 71 ta ngan ma nu sia, de ngan su sun an yang meng he ran kan. Ada su tidak jelas Kelompok 4 27 tanganKelompok 2 9 tangan pe: mpok 1 10 tangan di ketinggian 4.50 m Kelompok 3 13 tangan: 5 Ka - 6 Ki - 2 tidak jelas14 tangan 1 tanganDi kedalaman gua ( - dan penjelajahan) 1 tangan Batu bilah Gua Masri I Setelah mendaki 15 m dan berjalan di atas reruntuhan yang dilindungi oleh cadas-overhang, kami masuk ke gua ini melalui rongga relatif sempit yang membatasi terobosan cahaya. Segera kami dapati galeri melebar yang me | Keywords: Karst
IPAD_010;Gua Metanduno;Muna | Kabori | Southeast Sulawesi;;4326;122.659361;-4.898472;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.22459/TA48.11.2018.06;The rock paintings are generally still visible, notwithstanding some vandalism on the left wall and inside the cave. Some of the paintings are covered with green lichen and some of the images are peeling away from the wall. Most of the paintings are in the cave's well-lit zone. Kosasih (1985) originally recorded 316 paintings at this site. The painted motifs include a wide variety of human figures, horses, deer, pigs, dogs, chickens, snakes, centipedes, boats, sun figures, hand stencils, and unidentifiable motifs (Figure 6.8). The large corpus of work was created mainly using brown and red ochre, along with charcoal for the black figures. The painting techniques used at the site consisted of applying pigment directly to the walls producing solid stick figures, outlines and solid infill depictions of humans and animals, except for the hand stencils, which were made with sprayed pigment. One of the hand stencils can be found on the inside of the cave and another five at the right of the entrance, all of which were found later during the 2015 survey at the site. The Gua Metanduno human figures are depicted in a multitude of activities and dynamic actions, including mounted and unmounted hunters, humans in combat, humans with hands on their waist, flying humans, and apparently unfinished paintings. The cave paintings overall are dominated by horses, which probably arrived in Muna within the last 500 years or so (see Discussion). The rock art often features boats with passengers, perhaps suggesting inter-island voyaging for trade and/or combat.
