SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_013;Loyang Mendale Cave;Aceh;;4326;96.860;4.610;;No;Literature;Not specified;-9545;-8547;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: site is believed to be habitation during 12,000-3,000 BP (before present) with archaeological findings such as sumatralith stone tools, grinding stones, and folded burials (Wiradnyana, 2011). Other research conducted in Loyang Mendale Cave, Loyang Ujung Karang Cave, and Putri Pukes Cave located on the edge of Lake Lut Tawar in the central mountains of Aceh give evidence of settlements since 9,000 BP. In these three sites, the da ta on artifacts, ecofacts, aeological sites containing red-slipped pottery are Kendenglembu in East Java (Noerwidi 2009), Liang Abu in Kalimantan (Plutniak et al. 2014) and Lolo Gedang in Jambi (Aziz 2009). Several examples are also reported from Loyang Mendale Cave, Aceh found together with three-coloured pottery (Wiradnyana and Taufiqurrahman 2011), but their stratigraphic associations still need verification. It is important to note that the finding of both co | Keywords: Cave
IPAD_023;Gua Arca;East Java;;4326;115.40;-6.87;;No;Documented;Not specified;-6241;-5095;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: The function of stone tools from Gua Arca Site, Kangean Island, East Java (Rahfi Muhammad) 137 This work is licensed under a Creative Commons Attribution-Non Commercial- ShareAlike 4.0 International License The function of stone tools from Gua Arca Site, Kangean Isl The function of stone tools from Gua Arca Site, Kangean Island, East Java (Rahfi Muhammad) 137 This work is licensed under a Creative Commons Attribution-Non Commercial- ShareAlike 4.0 International License The function of stone tools from Gua Arca Site, Kangea | Keywords: Cave
IPAD_024;Gua Betpuruh;East Java;;4326;113.829788;-7.79570100;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: ger, Java. 51. Right lateral view of Sampung H mandible. 52. Sampung F skull, Java. 53. Human skeleton (flexed burial), Gua Lawa, Java. 54. Stone implements, Sodong Cave, Puger, East Java. 55. Bone and stone implements, Gua Betpuruh, Pradjekan, East Java. 56. Excavation in the Gua Sodong, Puger, East Java. 57. Human skeleton in flexed burial. Head is missing. Gua Sodong, Puger, Java. 58. Leang PattaE, Turika1e, Southwest Celebes. 59. Rock-Painting PI. SS. Bone and stone implements. Gua Betpuruh, Pradjekan, East Java. | Keywords: Rock art site
IPAD_025;Gua Jimbe;East Java;;4326;112.118389;-8.147833;;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Storm, P. The evolutionary significance of the Wajak skulls. Ñ Scripta Geol., 110: 1-247, figs. 1-30, tabs. 1-121, Leiden, September 1995.;The Gua Jimbe site (Java) Ñ The fossils from the Gua Jimbe site have also been col- lected by Dubois in 1890. It is situated near Redjobangan, c. 10 km west of Blitar in East Java (van den Brink, 1983). There are only a few notes about this site and it is not possible to give a reconstruction of the site and the excavation. In August 1890 Dubois stated about the Gua Jimbe site that c. 2 m beneath the surface a carafe, thur- ible, simple earthenware lamp and some copper ornaments had been found. He mentioned that at a depth of at least 3 m bones of pig, muntjak, small cat, porcupine, and monkeys had been found. Furthermore, human remains (mandible, maxilla and postcranial material) had also been found at this level. I think that the layer of 3 m (where bone tools, human and faunal remains have been found) belongs to an older period than the layer at a depth of 2 m. Data considering the fauna from this site have been published by Brongersma (1941), Hooijer (1946, 1962) and have been described by van den Brink (1983). Fragments of the human remains have been described by Nelson (1988,1989).
IPAD_026;Gua Lawa;East Java;;4326;111.37165367633666;-7.813736281069038;;No;Documented;Not specified;;;Archaeological Sites;Settlement / Habitation / Permukiman / Kampung;;;;No;Erdbrink, D. P. (1954). Mesolithic Remains of the Sampung Stage in Java: Some Remarks and Additions. Southwestern Journal of Anthropology, 10(3), 294Ð303. http://www.jstor.org/stable/3629132;Absolute dating results are performed by the Center for Geological Research and Development (P3G) against Lawa Cave charcoal samples at a depth of 50 - 60 cm at TT / I which is an accumulation of cemented animal bones age 3920 ± 100 BP, and depth 160 - 170 cm at TT/III has an age of 9640 ± 140 BP (Dubel Driwantoro, 2001:4). Because Neolithic objects follow immediately on the more primitive imple- ments at Sampung, we may safely attach the label Mesolithic to such remains as those found in the lower part of the culture-layer at the Guwo Lowo. There is no directly visible boundary between the two cultural stages in a profile through the cave, only a change in frequency of the different objects. This indi- cates the absence of a stratigraphical hiatus. Thus here again the stipulation is fulfilled that a Mesolithic culture fills the gap between the two large divisions in prehistory, in this case the prehistpry of Java.
IPAD_048;Goa Tabuhan;Pacitan | East Java;;4326;110.98315545594166;-8.124118422786633;;No;Documented;Not specified;-2580000;-11700;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1016/j.quaint.2020.03.054 | https://doi.org/10.1371/journal.pone.0193025 | https://doi.org/10.1016/j.quaint.2020.12.045 | https://doi.org/10.1016/j.quaint.2020.12.045;Description: ournal of Asian Earth Sciences. Hameau, Sebastien. 2004. Datation des sites palÃ©olithiques du PlÃ©istocÃ¨ne moyen et supÃ©rieur de Punung (Pacitan, Java) . Applications des mÃ©thodes ESR et U-Th aux grottes de Song Terus et Goa Tabuhan. (diss. MNHN) Handoko H., Lum J.K., Gustiani R., Kartapradja H., Sofro ASM., Marzuki S. 2001. Length variations in the COII-tRNAlys intergenic region of mitochondrial DNAin Indonesian populations . Hum Biol 73: 205- 233 niversity Dental Society 17(3):197â207. Hameau, S. 2004. âDatation Des Sites Paleolithiques Du Pleistocene Moyen et Superieur de Punung (Pacitan, Java). Applications Des Methodes ESR et U-Th Aux Grottes de Song Terus et Goa Tabuhan.â Paris: Museum National dâHistoire Naturelle 20. Hamilton, Warren Bell. 1979. Tectonics of the Indonesian Region. US Govt. Print. Off. Hammer, Ã., D. A. T. Harper, and P. D. Ryan. 2017. âPAST: Paleontological Statis | Keywords: Cave
IPAD_055;Gua Song Keplek;Punung-Sewu | East Java;;4326;110.6436;-8.0367;;yes;Excavated;Not specified;-24000;-2000;Archaeological Sites;Cave / Gua / Liang / Ceruk;Pleistocene, Preneolithic, and Neolithic;No;;Song Keplek, or Keplek Cave, is situated in the Punung region in the eastern part of Gunung Sewu. It was excavated during the 1990s and a cultural stratigraphy was encountered that extended from 24,000 to 2000 BP. Three stages of human occupation have been identified in this cave, i.e. Late Pleistocene, Preneolithic, and Neolithic. The Late Pleistocene (c. 24,000 - 12,000 BP on C14 dates) was characterised by crude lithics with a few flake tools. The faunal remains consist of big mammals such as cervids, bovids and elephants, together with pigs and rodents. This layer has yielded distinctive cultural remains of the Late Pleistocene Tabuhan Phase, named after Song Tabuhan (Tabuhan Cave) where the oldest systematic cave occupation, C14-dated to about 45,000 BP, has been identified (SÃ©mah et al. 2002:181). The Neolithic is situated in the uppermost part of the Song Keplek sequence and is dated to c. 4000-2000 BP (Table 1). It is characterised by potsherds and unfinished adzes, and is called the Gupuh Phase after the cave of Song Gupuh (Simanjuntak 2002:255).;;
IPAD_059;Song Terus Cave;Pacitan | East Java;;4326;110.98344054528292;-8.127759065956216;;No;Documented;Not specified;-11800;-10600;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;Yes;https://doi.org/10.3406/befeo.1999.3409 | https://doi.org/10.1016/j.quageo.2006.04.011 | https://doi.org/10.1016/j.quageo.2006.04.011 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631;Description: HolocÃ¨ne de la grotte de Song Terus, Punung, Java Est (IndonÃ©sie). Master au MusÃ©um National dâHistoire Naturelle (Masterâs thesis IMQP), Paris, France, 157 p. (in French) (âThe Keplek Horizon Bone Industry, Holocene of Song Terus Cave, Punung, East Java, IndonesiaâFauna from the Oldest Occupation Layer in Song Terus Cave, Eastern Java, Indonesia: Bio- chronological significance of Terus Layer. âhistoire naturelle, Paris. Azis, F ., and J. de Vos. 1989. âRediscovery of the Wajak Site (Java, Indonesia). | Keywords: Cave
IPAD_060;Tabuhan Cave;Pacitan | East Java;;4326;110.98331771881718;-8.125436774755663;;No;Documented;Not specified;-56000;-50000;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;Yes;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: tocene Site from South Sulawesi, Indonesia â28. Balkema Publisher. Fauzi, Mohammad Ruly. 2011. âAnalysis on Lithic Remains from Tabuhan Cave: A Contribution to the ChaÃ®ne OpÃ©ratoire Study in the Preneolithic of Gunung Sewu, East Java, Indonesia. Erasmus Mundus. Forestier, Hubert. 2007. Ribuan Gunung, Ribuan Alat Batu: Prasejarah Song Keplek, Gunung Sewu, Ja tools. Nevertheless, the biological identity of the manufacturers of these tools is not known since no fossil hominid remains has been found so far from those archaeological layers. Another cave in the Punung area, the Tabuhan Cave, preserved also the indices of a true cave habitation with notable flakes and flake- tools, with several cores and percutors indicating knapping activities inside the cave. Based on the dating of the cave, this was | Keywords: Cave
IPAD_061;Wajak Cave;East Java;;4326;111.84610502252421;-8.183778167570502;;No;Documented;Not specified;-2580000;-11700;Archaeological Sites;Cave / Gua / Liang / Ceruk;Human fossils from Wajak, or better known as Wajak Man which is noted as Wajak 1, have been discovered by von Rietschoten in 1888 during exploration prospecting activities at the marble mine area in Tulungagung. The Wajak 1 found in cave sediments during disorganized excavation, therefore the stratigraphic position of the fossil was uncertain.;;;Yes;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: 200 P. STORM Van den BRINK, L.M., 1982: On the mammal fauna of the Wajak Cave, Java (Indonesia). Mod. Quatern. Res. SE Asia, 7: 177-193. Van den BRINK, L.M., 1983: On the vertebrate fauna of the Goea Djimbe Cave, West Java (Indonesia). (Internal report, not intended for publication). Van ES, L.J. Java, Indonesia): A Palaeopedological Approach for Reconstructing â (Javanese Homo erectus) Palaeoenvironment.â100. Van den Brink, L. M. 1982. âOn the Mammal Fauna of the Wajak Cave, Java (Indonesia).â93. Brongersma, L. D. 1935. âNotes on Some Recent and Fossil Cats, Chiefly from the Malay Archipelago.â89. | Keywords: Cave
