SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_398;Dudumunir Cave;West Papua | Arguni, Kokas, Fakfak Regency, West Papua;;4326;132.54825;-2.65;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: Survey findings on the cave's surface revealed pottery fragments and mollusk shells, while faint images of palms and geometric shapes adorned the walls. | Keywords: papua, west papua, fakfak | Alternative_Name: Gua Dudumunir
IPAD_399;Matutuo Arguni Site;West Papua | Arguni, Kokas, Fakfak Regency, West Papua;;4326;132.550167;-2.654306;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The figures observed on the Matutuo Arguni cliffs include humans, lizards, geometric shapes, and indistinct shapes. | Keywords: papua, west papua, fakfak
IPAD_400;Mampoga Site;West Papua | Arguni, Kokas, Fakfak Regency, West Papua;;4326;132.562361;-2.655083;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: There are red and yellow images with diverse shapes and styles. Depicting a series of stories, most images are damaged or peeling. The images feature palms, geometric shapes, lizards, red dots, circles, turtles, fish, anthropomorphic figures, and fragments of human bones. | Keywords: papua, west papua, fakfak
IPAD_401;Pintunis Site;West Papua | Arguni, Kokas, Fakfak Regency, West Papua;;4326;132.562917;-2.656806;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: images with red and yellow hues reveal depictions of palms, circles, anthropomorphic figures, and geometric shapes. | Keywords: papua, west papua, fakfak
IPAD_402;Andarewa Cave;West Papua | Mambuniibuni, Kokas, Fakfak Regency, West Papua;;4326;132.727917;-2.823444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: At the cave mouth on the eastern side lies a mound of mollusk shells resembling a hill, while the western wall features a weathered image resembling a hand's palm. The Andarewa Cave comprises interconnected passages and surface discoveries of pottery fragments, mollusks, as well as human and animal bones, indicate its past use as a residential area. | Keywords: papua, west papua, fakfak | Alternative_Name: Gua Andarewa
IPAD_403;Afofo Site;West Papua | Goras, Kokas, Fakfak Regency, West Papua;;4326;132.667528;-2.760111;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The images identified on the Afofo site depict humans, palms, and soles. Arms, wrists, feet, reptiles, boomerangs, fish, geometric shapes, circles, combs, lines, and interconnected symbols. Hand drawing depicts a hand's shape with truncated fingers and a palm resembling that of a child. Flat and towering cliffs with a brownish hue are visible, featuring a red palm depicted on the perpendicular wall. Below the cliff, a series of red dots are arranged in a row. Positioned at the lower right corner of the circular image are the palm and soles of upward-facing arms. Additionally, various images of fish, geometric shapes, rectangles and circles are present. | Keywords: papua, west papua, fakfak
IPAD_404;Kunu'u Site;West Papua | Goras, Kokas, Fakfak Regency, West Papua;;4326;132.659139;-2.750944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: This location features paintings on extremely steep coral walls, with some showing signs of wear, all of which are red. | Keywords: papua, west papua, fakfak
IPAD_405;Ota Site;West Papua | 7JFQ+HRG Furir, Fakfak Regency, West Papua;;4326;132.639583;-2.726056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: This location is more commonly referred to as Putri Island, believed to be the resting place of mermaids according to local legend. This belief is supported by the existence of graves on the cliff terraces, along with rows of skulls and remnants of human bones. Additionally, remnants such as wooden boards, paddles, and tifa can be found. The cliff structure features a distinctive white indentation, with wooden stairs leading to the top. Faded red images of a palm tree and a fish can be observed on various parts of the walls. At the edge of the towering cliff, enveloped by verdant trees, a crimson mark catches the eye. Initially resembling a red smudge, closer inspection reveals it to be a palm impression. The image is situated 15 meters above sea level. | Keywords: papua, west papua, fakfak | Alternative_Name: Pulau Putri
IPAD_406;Aisosoauwata Site;West Papua | 7JFQ+H8H Furir, Fakfak Regency, West Papua;;4326;132.638361;-2.726056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The site also highlights red artworks, although the theme is somewhat ambiguous, only discernible through red paint on the extremely steep rock surfaces. | Keywords: papua, west papua, fakfak
IPAD_407;Sora'a Site;West Papua | 7JFQ+H8H Furir, Fakfak Regency, West Papua;;4326;132.631972;-2.723389;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: East of Furir village lies a promontory featuring walls shaped like a brownish-white niche. Atop the terrace sits a tomb structure surrounded by stacks of plates and skull bones swathed in white cloth. Adorning the walls and ceiling are red paintings. The images that astonish us are located in an area measuring 34 meters in length and 2-4 meters in width. In addition to the presence of red, yellow is also visible. The images discovered at the Sora'a site include depictions of palms, arms, feet, rectangles, geometric shapes, flower petals, spears, fish, lizards, jellyfish, humans, red circles, dots, and anthropomorphic figures. Some images are damaged and challenging to recognize. The predominant image features a palm alongside geometric shapes. | Keywords: papua, west papua, fakfak
IPAD_408;Sosoraweru Cave;West Papua | 7JFQ+H8H Furir, Fakfak Regency, West Papua;;4326;132.629972;-2.724083;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: Discoveries within the cave include pottery shards, animal bones, mollusks, and fragments of the ceiling. The cavern ceiling displays a darkened figure in a deteriorated state. The findings suggest the impact and practices of Austronesian culture that previously flourished in the Berau Bay region. | Keywords: papua, west papua, fakfak | Alternative_Name: Gua Sosoraweru
IPAD_409;Damir Site;West Papua | 7JFQ+H8H Furir, Fakfak Regency, West Papua;;4326;132.619472;-2.714917;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: Images of palms, wrists, arms, geometric shapes, fish, and boomerangs adorn the white cliff walls, accompanied by rows of red dots. | Keywords: papua, west papua, fakfak
IPAD_410;Bosu'umata Site;West Papua | 8H5P+3HG Fior, Fakfak Regency, West Papua;;4326;132.586444;-2.692306;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The site is referred to as Mbosu'umata due to its location at the edge of the cliff. Stalactites bear a resemblance to pig snouts. Red images adorn the white cliff walls, alongside other indiscernible shapes. Human bone fragments are also present on the terrace. | Keywords: papua, west papua, fakfak
