SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_040;Liang Bua;Flores;;4326;120.444;-8.531;;No;Documented;Not specified;-94800;-27000;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1016/j.jasrep.2021.103199 | https://doi.org/10.1016/j.jasrep.2021.103199 | https://doi.org/10.7152/jipa.v44i0.15675 | https://doi.org/10.1016/j.jhevol | https://doi.org/10.1016/j.jhevol | https://doi.org/10.1126/science.1193130 | https://doi.org/10.1016/j.jhevol.2006.08.002 | https://doi.org/10.1016/j.jhevol.2008.10.006 | https://doi.org/10.1016/j.jhevol.2008.08.015 | https://doi.org/10.1016/j.jhevol.2008.08.015 | https://doi.org/10.1073/pnas.1516186113 | https://doi.org/10.1016/j.jhevol.2008.10.006 | https://doi.org/10.1016/j.jhevol.2009.07.003 | https://doi.org/10.1038/nature04022 | https://doi.org/10.1016/j.jhevol.2018.07.001;Description: On October 28, 2004, came the startling announcement that the remains of a tiny little humanlike creature had been found in Late Pleistocene deposits in Liang Bua, a cave on the island of Flores in Nusatenggara. It was a joint Indonesian-Australian discovery: Thomas Sutikna of the Indonesian Centre for Archaeology in Jakarta, Mike Morwood, of the University of New England in Armidale (New South Wales), and their teams. The new species was represented by a nearly complete adult skeleton, Liang Bua 1, and the isolated lower premolar of a second individual, LB2. LB1 was found at a level dated to approximately 18,000 BP
IPAD_041;Liang Momer;Flores;;4326;119.885805556;-8.478083333;;No;Documented;Not specified;-3050;-1050;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Oosterzee, P. van. (2007). A new model for the evolution of Homo sapiens from the Wallacean Islands. PalArch's Journal of Vertebrate Palaeontology, 4(1), 1–19.;Description: Liang Momer is located a few kilometres northeast of Labuanbadjo (figure 4). It is an abri sous roche with a kitchen midden in front of it against the rock wall (Verhoeven, 1968). It was named after Father Mommersteeg. In 1950 they found late Palaeolithic flakes (Archive Verhoeven, VII). In 1951 a skeleton was found in flexed burial. Unfortunately, this skeleton was lost before examination. The skeletons discussed here were found in 1955. They were found in flexed burial and in association with Mesolithic cultural artefacts (flakes, shell, and bone implements).
IPAD_042;Liang Panas;Flores;;4326;119.935527778;-8.572833333;;No;Excavated;Not specified;-3050;-1050;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Oosterzee, P. van. (2007). A new model for the evolution of Homo sapiens from the Wallacean Islands. PalArch's Journal of Vertebrate Palaeontology, 4(1), 1–19.;Description: Liang Panas is located inland (east) of Labuanbadjo, near Longgo village, desa Dalong (figure 4). A hot spring was found nearby (Panas is Indonesian for hot). Nearly all the tools were made out of stone, although a few were made out of shell. The industry is similar to that at Liang Momer, although because it is located further away from the shore, shells must have been harder to come by. The excavation took place in 1955, at the same time as the excavation in Liang Momer.
IPAD_044;Liang Toge;Flores;;4326;120.829472;-8.513694;;No;Documented;Not specified;-2580000;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1016/j.jhevol.2006.08.011 | https://doi.org/10.1080/15564894.2022.2108947.] | https://doi.org/10.5281/zenodo.3929274;Tahun 1950, ditemukan rangka manusia dengan jenis kelamin perempuan berumur antara 30-40 tahun di Liang Toge. Rangka ini berperawakan mungil, tinggi hanya 148 cm dengan ciri ras Australomelanesid. Melalui pertanggalan C14 rangka Liang Toge mempunyai umur 3000-4000 tahun yang lalu (Jacob, 1967). Hasil ekskavasi di Liang Toge, Verhoeven menginformasikan adanya temuan-temuan serpih bilah, pisau kecil, serut kulit kerang dan perhiasan dari kulit mutiara. Tercatat bahwa teknologi alatnya masih belum maju. Selain itu ditemukan pula tulang hewan seperti tikus raksasa, kelelawar, kera, landak, dan babi (Heekeren, 1972:140-147).IPAD_045
IPAD_045;Rundung Cave;Flores;;4326;121.061528;-8.515361;;No;Excavated;Not specified;-11700;1950;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;van Heekeren, H.R. (22 Oct. 2014). The Stone Age of Indonesia. Leiden, The Netherlands: Brill. https://doi.org/10.1163/9789004286436;A great number of flakes and same blades of a semi-microlithic character, with a minimum amount of dressing, made from chert and obsidian, were collected. Many of them showed a distinct bulb of percussion,  they have probably been used to cut and sharpen arrows, to bleed, scarify and incise in the way still practised in Melanesia and on the Andaman islands,  concave scrapers and notched blades were obviously used to sharpen roundshafted weapons,  there were also pointed bladelets, the butts of which are worked on in such a way that they could be inserted in a split bamboo or stick, as arrow-heads. Micro points, made on bladelets, and other similar micro blades have no geometric form whatever. The cores are irregular and flaked in all directions.
IPAD_046;Soki Cave;Flores;;4326;120.829472;-8.513694;;No;Documented;Not specified;-2000000;1950;Archaeological Sites;Quarry / Raw material source / Obsidian source / Chert source;;;;No;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: adelets found showed very poor workmanship. A shapeless piece of bronze was found at a depth of 49 cm. amid some stone flakes. A single potsherd came from a depth of 20 cm. another from 33 cm. Like the Rundung Cave, the Soki Cave yielded a number of base-stepped stone projectile points at an average depth of 55.0 cm. Flat-based cores and crude blades are irregularly shaped and flaked in all directions. In general the flakes from the lower horizo quartzite and obsidian
IPAD_266;Aimere;Flores;;4326;120.849250;-8.834139;;No;Literature;Not specified;-3050;-1050;Archaeological Sites;Open-air site;;;;No;Oosterzee, P. van. (2007). A new model for the evolution of Homo sapiens from the Wallacean Islands. PalArch's Journal of Vertebrate Palaeontology, 4(1), 1–19.;Aimere is an open site located at the south coast of West-Flores, southwest of Badjawa (figure 3). The human remains material, discovered in 1955, was found on the surface associated with potsherds.
IPAD_267;Gua Alo;Flores;;4326;119.904278;-8.471167;;No;Excavated;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Oosterzee, P. van. (2007). A new model for the evolution of Homo sapiens from the Wallacean Islands. PalArch's Journal of Vertebrate Palaeontology, 4(1), 1–19.;This cave is located near Labuanbadjo, south of Liang Momer, in West-Flores (figure 4). The site was excavated in 1955, associated with flakes similar to those of Liang Momer. The skeletons were found extended above the Toalian (Archive Verhoeven, XXVIk). Gua Alo (together with Liang X) are supposed to be younger remains than that of the other caves.
IPAD_268;Liang X;Flores;;4326;120.485028;-8.372195;;No;Excavated;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Oosterzee, P. van. (2007). A new model for the evolution of Homo sapiens from the Wallacean Islands. PalArch's Journal of Vertebrate Palaeontology, 4(1), 1–19.;Liang X is located south of Reo in Manggarai (figure 5). Excavations took place in 1955 and 1956. The remains were found above the Toalian, in stretched burial (Archive Verhoeven, XXVIk). Flakes and beads were discovered beside the human remains (Jacob, 1967). Liang X (together with Gua Alo) is thought to be a younger burial than that of the other cavesIPAD_269
IPAD_552;Tron Bon Lei Rockshelter;Nusa Tenggara Timur NTT | Wakapsir, Alor Barat Laut, Alor Regency, East Nusa Tenggara | Alor;;4326;124.567936;-8.434308;;No;Documented;Not specified;;;Portable Objects / Artefacts;Bone;Human bones;;;No;https://www.researchgate.net/deref/https%3A%2F%2Fdoi.org%2F10.1371%2Fjournal.pone.0267635?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwb3NpdGlvbiI6InBhZ2VDb250ZW50In19;The new dates and analyses of the human remains documented in Tron Bon Lei (Alor, Indonesia) provide insights into human migration during the Pleistocene in the Wallacean Islands. Additionally, the complementary research conducted on other aspects of the archaeological context where the human remains were recovered, such as the zooarchaeological assemblages, raw materials, and grave goods, allow us to draw a more complete picture of the living and environmental context in the Lesser Sunda Islands from the Late Pleistocene to the Holocene (Samper Carro et al., 2016, 2017, O'Connor et al., 2017a,b, Hawkins et al., 2018). The craniometrics recorded in the AMH remains from Tron Bon Lei suggest these individuals have a cranial morphology similar to populations documented in the middle and late Holocene in the region. The characteristics documented for TLB and TLC-1 suggest these individuals may be representatives of a discrete gracile group living in ISEA from the Late Pleistocene, surviving into the Holocene. This is particularly hinted at by craniometric similarities with middle to late Holocene individuals from Flores and Sumba. Our results support the hypothesis of the evolution of a distinctive south-eastern Indonesian population by (at least) the terminal Pleistocene, which can be traced through to the middle to late Holocene individuals from the nearby island of Flores.
IPAD_525;Kobatuwa Site;Nusa Tenggara Timur NTT | Flores;;4326;121.0879;-8.68851;;No;Documented;Not specified;-2578050;-9700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Description: Associated with deposition of fossils at Boa Lesa, Mata Menge, Kobatuwa, Ngamapa, Kopowatu and Pauphadhi between 840,000 and 700,000 years ago. Fauna present at the time included large Stegodon, crocodile and giant rat. In situ stone artefacts occur at all these sites. | Keywords: flores
IPAD_526;Wolo Milo Site;Nusa Tenggara Timur NTT | Nagerawe, Boawae, Nagekeo Regency, East Nusa Tenggara | Flores;;4326;121.14083;-8.68271;;No;Documented;Not specified;-2578050;-9700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Keywords: flores
