SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_013;Loyang Mendale Cave;Aceh;;4326;96.860;4.610;;No;Literature;Not specified;-9545;-8547;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: site is believed to be habitation during 12,000-3,000 BP (before present) with archaeological findings such as sumatralith stone tools, grinding stones, and folded burials (Wiradnyana, 2011). Other research conducted in Loyang Mendale Cave, Loyang Ujung Karang Cave, and Putri Pukes Cave located on the edge of Lake Lut Tawar in the central mountains of Aceh give evidence of settlements since 9,000 BP. In these three sites, the da ta on artifacts, ecofacts, aeological sites containing red-slipped pottery are Kendenglembu in East Java (Noerwidi 2009), Liang Abu in Kalimantan (Plutniak et al. 2014) and Lolo Gedang in Jambi (Aziz 2009). Several examples are also reported from Loyang Mendale Cave, Aceh found together with three-coloured pottery (Wiradnyana and Taufiqurrahman 2011), but their stratigraphic associations still need verification. It is important to note that the finding of both co | Keywords: Cave
IPAD_414;Mesiu Cave;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.424479;-2.652846;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/kpt.2023.3024;Description: In 2019, three test pits were placed near the entrance (TP1, 150x150 cm and TP3, 150x100 cm) and the main chamber of the cave (TP2, 150x150 cm). Although the three test pits exhibit the existence of anthropogenic deposits, the densest archaeological findings only appear in TP1 and TP3 squares. Two perforated stones were found from TP3 square at a depth of 40-45 cm below the cave floor (Fauzi et al., 2019). These artifacts were made of slate, one of a fine-grained and relatively soft rock that is abundantly available in the rivers and creeks nearby the site. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Mesiu
IPAD_417;Sungai Lului Cave;Sumatra | Maribung, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.447708;-2.658463;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Sungai Lului Cave is located on the foot of Calau Petak Hill. The cave contains 32 clear images, consisting of black and greyish white linear, circular, geometric planes, zoomorphic figures (deer, centipede, and lizard), and anthropomorphic figures. In addition, there are 3 ex- tremely faded images and it leave only the traces of pigments with an amorphous design. The drawings are located approximately 0.8 m up to 2 m above the present cave floor. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Sungai Lului
IPAD_418;Kerbau 1 Cave;Sumatra | Maribung, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.443399;-2.653594;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Kerbau 1 Cave is located on the foot of Bulan Hill, surrounded by several other smaller caves. It has been used as a buffalo shed in recent times. In total, 10 images have been recorded and comprise anthro- pomorphic, zoomorphic, geometric lines and plans and several amor- phous images. They are made with a white colored pigment and located on the ceiling of the cave, approximately 11 m above the present cave floor. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Kerbau 1
IPAD_419;Kandang Kerbau 3 Cave;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.433556;-2.658874;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Kandang Kerbau 3 Cave is located on the foot of Calau Tengah Hill. As with Kerbau 1, it is used as a buffalo shed. In addition, the ceiling of some parts of the cave is coated with a thick layer of soot, as a result of fire from a modern hearth. The art in this cave consists of 7 images, comprising geometric lines, zoomorphic figure (bird?), and faded amorphous images. All of those images are drawn in black, and located approximately 2 m above the modern cave floor. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Kandang Kerbau 3
IPAD_420;Lumut Cave;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.434028;-2.658722;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Lumut Cave is located on the foot of Calau Tengah Hill. In total, 5 images have been discovered in this cave, comprising geometric lines and planes drawn in black. The images are located around 0.8 m above the modern cave floor. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Lumut
IPAD_421;Aur Duri Cave;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.434177;-2.657245;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Aur Duri Cave is located on the foot of Calau Tengah Hill. This cave contains only 1 image, which is in poor condition and comprise a black amorphous design. This faded image is located on the ceiling, about 1.8 m above the modern cave floor. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Aur Duri
IPAD_422;Kasai Cave;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.433147;-2.655113;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Kasai Cave is located on the foot of Calau Tengah Hill. In total, 7 images have been identified and comprise an anthropomorphic figure, geometric lines, and geometric planes. All images are drawn in black. They images are located around 1-2 m above the modern cave floor. Unfortunately, modern vandalism has obscured several of the drawings. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Kasai
IPAD_423;Pondok Batu Rockshelter;Sumatra | Napal Melintang, Limun, Sarolangun Regency, Jambi | Hoabinhian,Neolithic;;4326;102.430556;-2.654042;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1016/j.ara.2019.01.004;Description: Pondok Batu is a small rockshelter situated on a cliff of Calau Tengah Hill. It contains 12 images made with a black pigment, and comprise phytomorph, geometric lines, and geometric planes. The images are located on the cave walls around 1.8 m above the modern ground surface. | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic
IPAD_554;Muak Megalithic Site;Jambi | Sumatra;;4326;101.54604748239902;-2.1775591574577575;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;;
