SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_470;Ormu Negeibe Stone Chair;West Papua | Ormuwari, Ravenirara, Jayapura Regency, Papua;;4326;140.559889;-2.448583;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Stone seats are made of monoliths that are moulded to form a chair that has a backrest and a seat that is united. The seat functions as a seat for Ondoafi and a symbol of Ondoafi's greatness. Ondoafi is a leader who acts as a protector, welfare, and preserver of a united small world life .(Griapon 2014, 2) | Keywords: papua, west papua | Alternative_Name: Batu kursi
IPAD_471;Yarkwaco Site;West Papua | Ormuwari, Ravenirara, Jayapura Regency, Papua;;4326;140.559889;-2.448583;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Tajaho stone is in the form of natural stone without any work at all and has a shape like a gurango fish or hammer shark. Batuini functions as a sign of the house (former house) or the sign of the location of the Toto II Tribe's house, and evidence of ownership of customary territory recognised by other surrounding tribes. | Keywords: papua, west papua | Alternative_Name: Batu Tahajo
IPAD_472;Wanyamdara Site;West Papua | Ormuwari, Ravenirara, Jayapura Regency, Papua;;4326;140.551222;-2.453528;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Ancestor Stone are two monolithic stones that are believed to be the ancestors of the Nari Tribe descended from Ondoafi that turned into stones. The two stones are natural stones without processing. The longer stone shows the male ancestor (Tandiriko) and the shorter and slightly round one shows the female ancestor (Mandaarki). The Ancestor stone functions as a unifying symbol of the Trong Tribe from the Nari clan descended from Ondoafi. This stone is also evidence of ownership of traditional territory. | Keywords: papua, west papua
IPAD_474;Peunoudia Site;West Papua | Wambena, Depapre, Jayapura Regency, Papua;;4326;140.411;-2.412194;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: The Yendaepiwai stone is in the form of four monoliths lying horizontally in the yard of Mr. Matthew Yerisitauow. The distance of the first stone to the second stone is 5 metres, the second stone to the third stone 4 metres, and the third stone to the fourth stone 2.20 metres. The stones have various sizes. On the surface of the stone there are a number of holes and cracks that are believed to be the scars of spears and arrows. Not far from the location of Batu Yendaepiwai, there is Batu Permen, which is a very large natural stone that lies like hanging on the coast. | Keywords: papua, west papua | Alternative_Name: Batu Permen
IPAD_475;Yasodia Site;West Papua | HJ22+CQH Nehibe, Jayapura Regency, Papua;;4326;140.601972;-2.448944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Sukun Stone is a number of stones of various sizes and shapes that are arranged in an area of 2,60 metres x 2,60 metres. These stones consist of a mother stone in the form of a monolith shaped like a diamond or a parallelogram with an uneven surface. In addition, there is a menhir statue with an oval head shape and wearing a tapered head and a circular headband on the forehead. On his oval face, there is a rope tie on the edge of the face from the forehead to the chin. His eyes and nose are worn out so they are invisible, his ears wear wavy earrings that jump up to his shoulders, the tip of his chin is long to his chest and covers his neck. The chest of the statue is not identified, but it seems to be using clothes because on the arm there are grooves like dangling cloth. His waist is wearing a waistband. On the genital part, there is a triangle shape, at the bottom there is a boundary in the form of a circular line, while on the side and back of the statue there are grooves of clothes that fall like fabric grooves under the neck and waist. The shape of the leg is unknown because the condition of the lower part is tapered, maybe because it is worn out or it is. Another possibility is because the position of the statue in the past was not on his back or sleeping on the ground, but was stuck standing on the ground. According to the community, this statue is a girl (Merawai) who is the source of the sukun fruit. Besides this, there are eight oval-shaped menhirs with smooth surfaces arranged transversely on the ground surface with a west-north-south east orientation. There is also a stone plate (betew) that has been broken and the broken part is gone. On the remaining stone plates, three oval-shaped basins appear on the surface. One of the basins is still intact, while the other two basins are partially left because they are broken. The stone plate functions as a place for offerings. | Keywords: papua, west papua | Alternative_Name: Batu Sukun
IPAD_476;Meukisi Oru Dia Site;West Papua | Meukisi, Yokari, Jayapura Regency, Papua 99354;;4326;140.268111;-2.421667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Lingkar Stone (oru dia ) is a number of monoliths arranged in a circle. The arranged stones are generally round, oval, and flat with a smooth surface. The Ring Stone is in the yard of Ondoafi's house or the chiefs according to their respective roles in the custom. The Ring Stone Formation consists of eight stones, ten stones, eleven stones, and twelve stones. According to the community, the number of stones on each ring stone should be twelve according to the number of their descendants, and the middle part is a place to make fire. At this time, from a number of Lingkaryang Stones, some have been found that are arranged on the ground without protective buildings and some have also been given protective buildings. There is also a Ring Stone that has been cast so that it cannot be moved. Lingkardi Stone functions as a seat during customary deliberation. However, at this time in some areas of Batu Lingkar there are benches that are arranged in a circle for seating and the existence of Batu Lingkar is only as a symbol. As a place of deliberation, usually if a meeting is going to be held, it is given a code or sign by lighting a fireplace in the middle of the Ring Stone. The ring stones are in accordance with their function divided into two, namely for peaceful tribal groups who talk about the problems of daily life of indigenous people, both related to economy, socio-culture, health, and welfare. War tribal groups specialise in discussing war issues. In every village where there is a Lingkar Stone. The number of Ring Stones for a peaceful tribe is more than for a war tribe which is only one. | Keywords: papua, west papua | Alternative_Name: Batu Lingkar
IPAD_477;Endokisi Oru Dia Site;West Papua | Endokisi, Yokari, Jayapura Regency, Papua 99354;;4326;140.294139;-2.435917;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Lingkar Stone (oru dia ) is a number of monoliths arranged in a circle. The arranged stones are generally round, oval, and flat with a smooth surface. The Ring Stone is in the yard of Ondoafi's house or the chiefs according to their respective roles in the custom. The Ring Stone Formation consists of eight stones, ten stones, eleven stones, and twelve stones. According to the community, the number of stones on each ring stone should be twelve according to the number of their descendants, and the middle part is a place to make fire. At this time, from a number of Lingkaryang Stones, some have been found that are arranged on the ground without protective buildings and some have also been given protective buildings. There is also a Ring Stone that has been cast so that it cannot be moved. Lingkardi Stone functions as a seat during customary deliberation. However, at this time in some areas of Batu Lingkar there are benches that are arranged in a circle for seating and the existence of Batu Lingkar is only as a symbol. As a place of deliberation, usually if a meeting is going to be held, it is given a code or sign by lighting a fireplace in the middle of the Ring Stone. The ring stones are in accordance with their function divided into two, namely for peaceful tribal groups who talk about the problems of daily life of indigenous people, both related to economy, socio-culture, health, and welfare. War tribal groups specialise in discussing war issues. In every village where there is a Lingkar Stone. The number of Ring Stones for a peaceful tribe is more than for a war tribe which is only one. | Keywords: papua, west papua | Alternative_Name: Batu Lingkar
IPAD_478;Senamai Oru Dia Site;West Papua | Snamai, Yokari, Jayapura Regency, Papua 99353;;4326;140.314861;-2.445306;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Lingkar Stone (oru dia ) is a number of monoliths arranged in a circle. The arranged stones are generally round, oval, and flat with a smooth surface. The Ring Stone is in the yard of Ondoafi's house or the chiefs according to their respective roles in the custom. The Ring Stone Formation consists of eight stones, ten stones, eleven stones, and twelve stones. According to the community, the number of stones on each ring stone should be twelve according to the number of their descendants, and the middle part is a place to make fire. At this time, from a number of Lingkaryang Stones, some have been found that are arranged on the ground without protective buildings and some have also been given protective buildings. There is also a Ring Stone that has been cast so that it cannot be moved. Lingkardi Stone functions as a seat during customary deliberation. However, at this time in some areas of Batu Lingkar there are benches that are arranged in a circle for seating and the existence of Batu Lingkar is only as a symbol. As a place of deliberation, usually if a meeting is going to be held, it is given a code or sign by lighting a fireplace in the middle of the Ring Stone. The ring stones are in accordance with their function divided into two, namely for peaceful tribal groups who talk about the problems of daily life of indigenous people, both related to economy, socio-culture, health, and welfare. War tribal groups specialise in discussing war issues. In every village where there is a Lingkar Stone. The number of Ring Stones for a peaceful tribe is more than for a war tribe which is only one. | Keywords: papua, west papua | Alternative_Name: Batu Lingkar
IPAD_479;Buseryo-Soroyena Oru Dia Site;West Papua | Yokari, Buseryo, Yokari, Jayapura Regency, Papua;;4326;140.317583;-2.44925;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Lingkar Stone (oru dia ) is a number of monoliths arranged in a circle. The arranged stones are generally round, oval, and flat with a smooth surface. The Ring Stone is in the yard of Ondoafi's house or the chiefs according to their respective roles in the custom. The Ring Stone Formation consists of eight stones, ten stones, eleven stones, and twelve stones. According to the community, the number of stones on each ring stone should be twelve according to the number of their descendants, and the middle part is a place to make fire. At this time, from a number of Lingkaryang Stones, some have been found that are arranged on the ground without protective buildings and some have also been given protective buildings. There is also a Ring Stone that has been cast so that it cannot be moved. Lingkardi Stone functions as a seat during customary deliberation. However, at this time in some areas of Batu Lingkar there are benches that are arranged in a circle for seating and the existence of Batu Lingkar is only as a symbol. As a place of deliberation, usually if a meeting is going to be held, it is given a code or sign by lighting a fireplace in the middle of the Ring Stone. The ring stones are in accordance with their function divided into two, namely for peaceful tribal groups who talk about the problems of daily life of indigenous people, both related to economy, socio-culture, health, and welfare. War tribal groups specialise in discussing war issues. In every village where there is a Lingkar Stone. The number of Ring Stones for a peaceful tribe is more than for a war tribe which is only one. | Keywords: papua, west papua | Alternative_Name: Batu Lingkar
IPAD_480;Yapumara Batu Somda Site;West Papua | Yaugapsa, Demta, Jayapura Regency, Papua;;4326;140.153472;-2.340056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Somda Stone is a monolith believed to be a grandmother who has turned into stone. The location of Batu Somda is the place where the grandmother was killed in Kampung Tua Yapumara. That stone has become a historical stone in the life of the tribe living in the Demta region. They are tribes that used to be scattered to various regions, even reached the East Nusa Tenggara region (Timor Island), but they have been reunited. | Keywords: papua, west papua | Alternative_Name: Batu Somda
IPAD_481;Ambora Site;West Papua | Demta Kota, Demta, Jayapura Regency, Papua;;4326;140.140722;-2.351694;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: The 'Tungku Api' Fire Furnace is a burning furnace located in the middle of a traditional meeting place. This furnace is in the shape of a circle of an array of stones that rising and the centre is filled with soil and ash from burning as well as a fireplace that is still burning. In the area around the furnace, there are long benches arranged around the furnace as seats during the deliberation. Fire in the furnace must die and must be kept alive. This is related to trust thanks to life and the presence of immortal figures (Wari). This Fire Furnace is the centre to talk about traditional issues such as genealogy, past life and future, social economy, life difficulties, time considerations, and community welfare. | Keywords: papua, west papua | Alternative_Name: Tungku Api
IPAD_948;Fafangaulu;Misool | West Papua;;4326;130.746278;-2.632972;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The research by the Archaeology Center of Jayapura in 2010 reported that prehistoric rock artworks were found on this coral reef island with vegetation in the center of the island, while the exterior of the island consisted of steep cliffs with niches right above the seawater surface. The rock art on the cliff facing the west had almost faded away due to the environmental pressures and the weather. These rock artworks were found on the flat side of the wall and not in the niches. The height of this rock art drawing was approximately 1 to 2.5 a.m.s.l.
IPAD_505;Tutari Megalithic Site;West Papua | CFJ4+R24 Doyo Lama, Jayapura Regency, Papua;;4326;140.455064;-2.56799;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Papua Jurnal Penelitian Arkeologi Papua dan Papua Barat Vol.1 No.2 November 2009;Description: Rock art: These paintings were inscribed on stone surface with scratch technique, there is some are painted singly and some are in pairs one boulder consists of 2 to 5 painting in the direction facing the painting is sufficient varies. The rock paintings are comprehensive into 4 fenced sectors and 3 sectors that have not yet been ring-fenced The total number of painting motifs is 147 paintings etched on chunks 115 stones. Stone chiselled figures (Pahatan Batu): At the Tutari megalithic site in sector IV there are several stones carved to resemble a creature carved to resemble a a creature consisting of a head, neck and body. These stones are believed to be the leaders of the cursed Tutari tribe, meanwhile the condition of some of these stones has begun eroded until it has its shape and size not the same anymore. Stone Rows (Jajaran Batu): Represent an arrangement of two rows of stones (The right row consists of 70 stones and the row on the left consists of 44 pieces stone) with the base oriented towards groups of painted stones and sections the tip leads to a group of menhirs. Models of megalithic remains like this are common associated with a ceremony activity. Stone Enclosure (Batu Temu Gelang): It is an arrangement of stones that are arranged circular one end to the other meet. the number of existing stones about 6 groups and is in a painted stone complex. As for form The arrangement of the temugelang stones is quite varied. Menhirs (Batu Tegak): On the peak of the Tutari hill it is found quite a lot of menhirs of that size varies, starting from the smallest size 14 em to the largest size of 88 em. There are a total of 110 groups of menhirs with its own uniqueness, namely that the menhirs are located at megalithic sites Tutari is not embedded into the ground however only erected supported by stones small so it doesn't collapse (Prasetyo, 1994). | Keywords: papua, west papua
IPAD_549;Lokale;Jayapura | West Papua;;4326;138.8720391476723;-3.9218349906846917;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Permana, R. Cecep Eka and Mas'ud, Zubair (2023) Animal motifs on rock art in Papua and West Papua, Wacana, Journal of the Humanities of Indonesia: Vol. 23: No. 1, Article 6. DOI: 10.17510/wacana.v23i1.1130;Rock art in Jayawijaya Regency has been found at the Lokale and Kontilola sites, but rock art with animal motifs has been found only at the Lokale site. The lizard motif on this site is painted in black. This site can be reached using a four-wheel-drive vehicle from Wamena, which is approximately 27 km away. Rock art has been found on the walls of the Lokale cave and data recording was done using a camera and by sketching the motifs. Lokale cave now functions as a tourist destination as the cave consists of a whole system decorated and stalactites and stalagmites (Djami 2016).
IPAD_548;Biawanya;Jayapura | West Papua;;4326;140.745750;-2.536583;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Permana, R. Cecep Eka and Mas'ud, Zubair (2023) Animal motifs on rock art in Papua and West Papua, Wacana, Journal of the Humanities of Indonesia: Vol. 23: No. 1, Article 6. DOI: 10.17510/wacana.v23i1.1130;This site can only be reached by boat from Kayu Batu Village, the nearest village, which is 1 km away. In this area, the rock art is located on island cliffs and features lizard motifs made using red paint. The data was recorded from a boat using a camera.
IPAD_863;Yomokho 1;Jayapura | West Papua;;4326;140.574647;-2.598717;;No;Excavated;Not specified;;;Archaeological Sites;Open-air site;;;;No;Suroto 2016;At this site, two excavation boxes were opened. The first was opened on the top of the hill, to the north-east of the second box. The human remains sampled for isotopic analysis were found in the second unit and included Ymk/1-R (radius) and Ymk/2-P (phalange), which were selected for collagen stable isotope analysis. Ymk/1-R was found at 54 cm below the surface associated with molluscs and pottery fragments. The sediment associated with this depth was dark brown in colour with grain size ranging between 2 and 0.02 mm, reflecting sandy loam. Ymk/2-P was found associated with pottery fragments at 135 cm depth, in a sediment with grain size ranging from 0.02 to 0.002 mm. One radiocarbon determination is available for this site, based on charcoal that dates to 2590±120 BP (Suroto 2016, 1). The charcoal was found in the same spit as Ymk/2-P, providing an approximate age for the specimen. No radiocarbon dating has yet been obtained for the upper spits associated with Ymk/1-R, but it can be assumed that this specimen postdates 2590±120 BP.
IPAD_865;Srobu;Jayapura | Papua;;4326;140.703464;-2.617937;85;No;Excavated;Not specified;;;Archaeological Sites;Open-air site;;;;No;Tolla, M., Roberts, P., Lucas, M., Bonatz, D., & Posth, C. (2021). Late Holocene human diets in the lowlands of West New Guinea: The isotopic evidence. In K. Hughes, K. Naidu, & D. Reeve (Eds.), Experiencing Indonesia: 30 years of ACICIS. ANU Press. https://press-files.anu.edu.au/downloads/press/n13144/pdf/ch10.pdf;Description: The site sits at about 85 m asl and covers around 20,059 m2 of the peninsula. The archaeological materials covering the surface of the site include small megaliths, stone tools, human remains, pestles and mortars, pottery fragments, and a huge array of seashells (Djami 2015, Djami et al. 2016, 2017, 2018, 2019, Mene 2014).
IPAD_872;Tubara Cave;Kayu Batu | Jayapura | West Papua;;4326;140.738444;-2.548333;13;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang;;;;No;Tolla, M., Roberts, P., Lucas, M., Bonatz, D., & Posth, C. (2021). Late Holocene human diets in the lowlands of West New Guinea: The isotopic evidence. In K. Hughes, K. Naidu, & D. Reeve (Eds.), Experiencing Indonesia: 30 years of ACICIS. ANU Press. https://press-files.anu.edu.au/downloads/press/n13144/pdf/ch10.pdf;Description: The cave is today located 13 m above sea level. The site can be reached by following the bay with a boat and climbing the coastal cliffs. The vegetation distributed in the bay includes important economic species such as matoa trees and pandanus. The entrance to the cave is broad, and the chamber extends 8 m deep. The cave floor is uneven and dry, with a rough wall, and no rock art or ornaments were found inside. Pottery was found distributed on the cave floor together with human remains, glass beads, and other materials.
IPAD_873;Tubara Sugu Cave;Kayu Batu | Jayapura | West Papua;;4326;140.738472;-2.535416;18;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang;;;;No;Tolla, M., Roberts, P., Lucas, M., Bonatz, D., & Posth, C. (2021). Late Holocene human diets in the lowlands of West New Guinea: The isotopic evidence. In K. Hughes, K. Naidu, & D. Reeve (Eds.), Experiencing Indonesia: 30 years of ACICIS. ANU Press. https://press-files.anu.edu.au/downloads/press/n13144/pdf/ch10.pdf;Description: The entrance of the cave faces to the west, located 18 m above modern sea level. In size, the cave chamber is 8.8 m deep and 2.9 m high. Archaeological findings recovered from the cave surface include human bones, pottery fragments, glass beads, and shells.
IPAD_874;Aturboyah Suwiyah Cave;Kayu Batu | Jayapura | West Papua;;4326;140.738527;-2.536139;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang;;;;No;Tolla, M., Roberts, P., Lucas, M., Bonatz, D., & Posth, C. (2021). Late Holocene human diets in the lowlands of West New Guinea: The isotopic evidence. In K. Hughes, K. Naidu, & D. Reeve (Eds.), Experiencing Indonesia: 30 years of ACICIS. ANU Press. https://press-files.anu.edu.au/downloads/press/n13144/pdf/ch10.pdf;Description: This cave is elongated to the east 25 m, with the entrance being 2.6 m wide and 10 m in height. Nine pottery fragments were found on the cave surface.
