SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_104;Gua Mar;Maluku Islands;;4326;2.800000;3.030000;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.3406/arch.1976.1271;Description: di jelas dalam se per se ki an detik, wa lau pun aku tak per nah ber ha rap, toh im pi an masa ke cil ku ter wu jud jua. Tang gal 20 agus tus 1994, hari per ta ma misi baru kami, dan kami baru me ma su ki gua per ta ma, Gua Mar dua, 2 km dari Desa Pe nga dan, di pe si sir ti mur Ka - li man tan. Aku baru saja men je la jahi ba gi an ge lap nya yang ti dak ada apa-apa nya, dan aku du duk di ba wah mua ra gua sam bil meng isap kre tek di te ma n ma nu sia telah me nye berang dan mulai men du duki Aus tra lia se ki tar 50.000 tahun lalu. Te mu an kami pas ti lah meng ge ger kan ko mu ni tas ar ke o lo gi Asia Teng ga ra. Kami me ni lik kem ba li ber ka li-ka li Gua Mar dua ini. Mata ke mu di an ter bia sa, te ra ma ti oleh kami lebih ba nyak gambar yang dulu tak ter li hat, juga dapat meng ama ti lebih luas dae rah ber gam bar yang ter si sa sam pai saat ini. Ter uta ma dae rah yang t | Keywords: Karst
IPAD_106;Gua Sedepan;Maluku Islands;;4326;2.800000;3.030000;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: i kanannya dan mendaki ke puncak. 2 â Gua Ham, saudara kembar Ilas Kenceng, yang baru ditemukan 3 tahun kemudian (h. 127). 3 â Gua Jufri (lihat h. 135). 4 â Gua Sahak. 5 â Bivak 2003, didirikan di kaki tebing. 6 â Mulut Gua Sedepan di kiri bawah. 7 - Gua Tanah Lihat, lorong luas di pertemuan gunung karts yang berpasir, jalan pintas untuk mendaki ke Ilas Kenceng. Tak ditemukan garca, namun ada keramik modern di pintu utara.Di dalamnya, berlanjut pe w Berjumpa dengan seekor kucing Bengale pada 2002 dalam hutan di kaki Ilas Kenceng: ia meronta, terperangkap jerat yang dipasang oleh penjaga Gua Sedepan yang belum juga terpuaskan walau sudah memungut habis-habisan sarang burung walet, tanpa peduli risiko kepunahan spesies itu. Macan kecil yang sangat langka itu (Tewet belum pernah melihat) adalah binatang malam yang hi
IPAD_108;Gua Siti Nafisah;Halmahera | North Maluku;;4326;127.884;0.282;;No;Excavated;Not specified;-5700;-1500;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Waluyo, A. (2019). The excavation of Gua Siti Nafisah, Kecamatan Weda, south-central Halmahera. The Spice Islands in Prehistory: Archaeology in the Northern Moluccas, Indonesia. https://doi.org/10.22459/TA50.2019.04;Description: Layer A: An ash zone 5–7 cm thick, clearly differentiated from Layer B below. Contains pottery, a stone adze and fairly dense shell midden. Dated by ANU 7785 on Anadara shell to 2351–2007 cal. BP. Layer B: Dark greyish-brown soil with considerable quantities of shell midden, dated by ANU 7786 on Anadara shell to 3443–3080 cal. BP. Upper surface has sherds, a stone adze fragment, and postholes dug in from Layer A. Layer B itself, below its top surface, is undoubtedly preceramic. Layer C: Grey soil with similar midden concentration to Layer B, dated by ANU 7787 on Anadara shell to 5280–4623 cal. BP. Sharp interface with B above, grades more gradually into D below. Layer D: Grey soil continuing the midden at similar density to Layers B and C. Contains many volcanic oven stones indicating hot stone cooking. Dated by ANU 7788 and 7789 on Anadara shell to 5692–4979 cal. BP. Layers C and D appear essentially continuous in deposition and texture. Layer E: Dark greyish-brown soil appearing to be the natural pre-human deposit. Cultural material only in its top 15 cm, doubtless derived by downward treading from Layer D above. No dates were run for Layer E.
IPAD_110;Gua Tamrin;Maluku Islands;;4326;2.800000;3.030000;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: Gua Kimanis, 93, 147â148, 279 Gua Lawa, 94, 120, 150, 286 Gua Pawon, 94, 96, 151 Gua Peraling, 138 Gua Pondok Selabe, 276 Guar Kepah, 91, 137â138 Gua Sireh, 256, 270, 273â274, 276, 325, Plate 8 Gua Siti Nafisah, 160â161 Gua Tamrin, Plate 2 Gua Tengkorak, 93, 148 Gua Tewet, Plate 2 Gunung Padang, 210â211, 321â323, 338 Gunung Piring, 279 Gunung Sewu, 67, 93, 96, 120, 140, 150, 275, 286 Guri Cave, 333â334 Hagop Bilo, 145â149 Halmahera, 12, 14, 21, 1 ographic glory in the pages of the wonderful book by LucâHenri Fage and JeanâMichel Chazine (2010). A whole series of highâlevel and fairly inaccessible caves (especially Gua Masri, Gua Saleh or Ilas Kenceng, Gua Tewet, Gua Tamrin, Gua Ham, Gua Jufri, Liang Karim, and Gua Harto) have red hematite decoration that includes paintings of bovines, deer, a possible tapir (extinct in Borneo), human stick figures with massive headdresses, and honeycombs | Keywords: Karst
IPAD_112;Gua Tem;Maluku Islands;;4326;2.800000;3.030000;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: e nya ji kan ta ngan ber ujung kecil. Panen raya Ha ri-ha ri ber ikut nya, tim yang sama ber ha sil me - ne mu kan dua gua baru yang di hias, si tua si nya jauh lebih sulit, di se te ngah din ding ver ti kal di Gua Ham: Gua Tem bus (7 ta ngan ne ga tif ) dan Gua Sahak (68 ta ngan ne ga tif ). Di gua yang ter akhir, se buah ta - ngan jing ga yang sa ngat can tik me nam pak kan di ibu ja ri nya se sua tu yang tum buh, yang hanya dapat di je las eo lo gis dalam kerja sama de ngan Pusat Bumi dan Spe leo lo gi In do ne - sia. Ek splo ra si Lo bang Ton do yan, pe me ta an Gua Se de pan (8 km), pe ne mu an garca di Gua Berak, Gua Payau II, Gua Jufri, Gua Sahak, dan Gua Tem - bus. Pe ser ta: Pier re de Con inck, Jac ques Dur and, Luc-Hen ri Fage, Fa bi en Ho blÃ©a, Geor ges Mar - bach, Je an-Fran Ã§o is Per net te, Mi chel Per re au, â - Toinkâ Fa tho el Rach man, Pindi Se tia wan. Agus tus:
IPAD_119;Liang Lembudu;Aru | Maluku Islands;;4326;134.465;-6.092;;No;Documented;Not specified;-27310;-270;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Kandel, A.W., Sommer, S., Kanaeva, Z., Bolus, M., Bruch, A.A., Groth, C., Haidle, M.N., Hertler, C., Heß, J., Malina M., Märker, M., Hochschild, V., Mosbrugger, V., Schrenk, F. & Conard, N.J. (2023). The ROCEEH Out of Africa Database (ROAD): A large-scale research database serves as an indispensable tool for human evolutionary studies. PLOS ONE 18(8): e0289513. https://doi.org/10.1371/journal.pone.0289513.;Description: Liang Lemdubu, located in the Aru Islands of eastern Indonesia, offers the longest cultural sequence from the region. The site provides key insights into human adaptation to shifting environments from open savannahs to dense rainforests over the last 30,000 years. It is particularly significant for its stratified lithic assemblages, revealing evolving raw material use and mobility strategies through the late Pleistocene and early Holocene.
IPAD_221;Gua Golo;Gebe Island | Maluku Islands;;4326;129.400;0.000;;No;Excavated;Not specified;-30000;-10000;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Bellwood, P. (1997). The Spice Islands in Prehistory: Archaeology in the Northern Moluccas, Indonesia. Canberra: Terra Australis 24, ANU.;Description: Gua Golo is a Neolithic site on Gebe Island in the Northern Moluccas. The cave contains evidence of early Austronesian migration through Wallacea, with finds including Tridacna shell adzes and pottery. The site is significant for understanding the spread of Austronesian-speaking peoples through eastern Indonesia.
IPAD_959;Manwen Bokor Cave;Raja Ampat | Papua;;4326;131.0136944;-0.0467222;;No;Excavated;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Gaffney, D., Tanudirjo, D. A., Djami, E. N. I., Macap, A. R., & Russell, T. (2023). An archaeology of Waigeo, Raja Ampat Islands, West Papua. Archaeology Programme, University of Otago.;At Manwen Bokor, some red pottery fragments are similar to pots made along the north coast of New Guinea. Other ceramics from the site include 'circle stamp' designs that are similar to decorations used throughout northern Maluku as well as other parts of Island Southeast Asia like Banda, Sulawesi, and even Taiwan. At Manwen Bokor, the archaeologists also uncovered glazed ceramics that were produced in China and exported to Southeast Asia, eventually arriving to Raja Ampat. On the surface of a large cliff overlooking the site, the team also recovered two yellow glass beads that may have been produced on the mainland of Southeast Asia or in India, before being traded along the Indian Ocean rim to eventually arrive on Waigeo. Beads like these would have been used for decoration, exchanges, marriage ceremonies, and even to decorate ancestor figurines.
IPAD_491;Het Sor Sorot Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.2155;-8.102722;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: The surface of the niche wall is green mixed with black. The number of human images on the site Het Sor Sorot as many as fourteen with quite good condition with a variety of red and orange picture colours. The shape of anthropomorphic images as many as fourteen pieces that show the anatomy as complete humans, including having a body, both hands, both feet, and one head. The shape of the head is a long round oval shape with a kind of accessory on the top of the head with an elongated shape and part described as not having that accessory. Anthropomorphic is depicted with several poses, such as a standing expression, both legs stretched open parallel, and both hands raised up in an open position. In addition, there are depictions with dance expressions / party events with supporting accessories such as chairs. The condition of the image in certain parts is solidly concentrated and some are not.
IPAD_492;Herku Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.211806;-8.059778;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: The condition of the rock drawing is very good with a moveable position that is easy to achieve. The colours of anthropomorphic rock images on the Herku Site are light brown, yellow, and white. Anthropomorphic at the Herku Site is depicted on a slightly rough wall surface with a scale of 10 cm. The anthropomorphic motif describes human anatomy, namely the body, two legs, two hands, and one head. At the Herku Site, several forms of anthropomorphic images were found with a) perpendicular position, b) a perpendicular standing position with both hands raised facing up (letter U). and c) anthropomorphic motifs are depicted singular.
IPAD_493;Intutun Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.14775;-8.095194;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: Only one anthropomorphic red figure
IPAD_495;Irmula Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.227722;-8.097944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: At the Irmula Site, there are nine anthropomorphic motifs located on the left and right sides of the Irmula Cave wall. The nine anthropomorphic motifs are described as having a complete human body anatomy, namely one head, body, two legs, two hands. In addition, it is depicted with the expression of both hands open upwards, the shape of a round head.
IPAD_496;Kulwasuru Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.206444;-8.105444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: At the Kulwasuru Site, there are three anthropomorphic motifs in good condition and clearly visible in shape. The anthropomorphic motif is depicted in a perpendicular shape with both hands stretched out to below, while both legs are spread open. The anthropomorphic motif is depicted whole as having one head, two legs, body, and hands. The shape of the anthropomorphic head is elongated oval, and there are also round and triangular shapes. The colour of the anthropomorphic motif at the Kulwasuru Site is black and red.
IPAD_497;Lenhorhorok Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.139722;-8.035556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: At the Lenhorhorok Site, there are five anthropomorphic motifs that are described as having the complete anatomy of the human body, namely the head, feet, body, and hands. The colour of the picture is red and orange. The shape of the anthropomorphic motif is depicted perpendicular with both legs open in parallel. Both hands are stretched out and the head is perpendicular. The head is depicted in several forms, including somewhat elongated upwards and like using two horns. The expression of anthropomorphic motifs of the two hands above is open and parallel, and the other motifs of both hands are stretched parallel downwards.
IPAD_498;Liotitin Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.207611;-8.105333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: On the Liotitin Site, there are eleven anthropomorphic motifs with red and orange colours. The eleven anthropomorphic motifs are described complete with the anatomical structure of the human body, including the head, body, two legs, and two hands.
IPAD_499;Salpuru Rock Art Site;Maluku | Wonreli, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.212111;-8.063222;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: This site has 23 anthropomorphic rock images. The colour of the anthropomorphic image at the Salpuru Site is red. The entire anthropomorphic motif has the anatomy of the human body, namely one head, body, two legs, and two hands. In addition, there is an anthropomorphic motif with both hands raised up, both legs open and there is an object at the waist, such as a machete or sword.
IPAD_500;Wakurai Rock Art Site;Maluku | Lekloor, Pulau-pulau Terselatan, Maluku Barat Daya Regency, Maluku | Kisar;;4326;127.148722;-8.100389;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: This site has ten anthropomorphic rock images. The shape of the anthropomorphic rock motif is depicted in an inverted position (depicted simply). There are not many anthropomorphic indentations. The anthropomorphics on this site are contextualised with other images, namely boats.
IPAD_501;Kel Lein Rock Art Site;Maluku | R2P8+GVC Kaimear, Tual City, Maluku | Kaimear;;4326;132.017139;-5.163694;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://ejournal.brin.go.id/amerta/article/view/3140/2153;Description: The red anthropomorphic image is located on the niche wall of the Kel Lein Site. The condition of the anthropomorphic image is not maintained, Part of it has faded and erased. The average image size is 10 cm with a height from the surface of the niche floor below 5 metres. The image of the anthropomorphic rock at the Kel Lein Site gives certainty that the shape is a human with the expression standing upright with both legs open, and arms bent holding the waist. The image on the head is circular, but a bit narrow. His body is straight at the waist and something is depicted rather large. The position of the picture is like a soldier resting in place. The picture explains human activities related to the livelihood system. The colour of the red anthropomorphic motif with a scale size of 10 cm, is depicted on the surface of the uneven wavy niche wall. The surface of the niche wall is light brown.
