SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_001;Bomboro;Maros-Pangkep | South Sulawesi;;4326;119.669050;-4.960867;85;No;Documented;Not specified;;;Archaeological Sites;Quarry / Raw material source / Obsidian source / Chert source;;;;No;http://dx.doi.org/10.24832/wln.v19i1.428;Keyword: Maros-Pangkep. Bomboro open lithic site. Confirmed that the valley contains an extensive but weathered and deflated prehistoric chert quarry, but the age and quarrying activities remain unclear. The high density of stone artefacts demonstrates how heavily utilised this source was, as does the considerable expanse of the scatter when surveyed. Further work at this site may yield important insights into the landscape-scale stone procurement strategies employed by past people in the Maros-Pangkep region.
IPAD_196;Leang Tedongnge;Maros-Pangkep | South Sulawesi;;4326;119.694;-5.003;;No;Documented;Not specified;-2580000;-11700;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1371/journal.pone.0289513;Description: Locality Leang Tedongnge General Information (locality first entered on 2nd September, 2025) Name: Leang Tedongnge Synonyms: No synonyms available Country: Indonesia Region: Sulawesi Coordinates: 5.003 S, 119.694 E Type: cave Summary: Leang Ted Leang Tedongnge, a limestone cave in South Sulawesiâs Maros-Pangkep karst, hosts the worldâs oldest known figurative rock art-a depiction of Sulawesi warty pigs dated to at least 45,500 years ago. The site also preserves numerous hand stencils and zoomorphic figures. Studies reveal pigment compositions of hematite and goethite. This cave is vital for understanding early symbolic behavior and human presence in Wallacea. | Keywords: Rock art site
IPAD_307;Gua Baiya;Maros-Pangkep | South Sulawesi;;4326;119.599444;-4.840556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Baiya
IPAD_308;Gua Batang Lamara;Maros-Pangkep | South Sulawesi;;4326;119.595556;-4.848889;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Batang Lamara
IPAD_309;Leang Bujung Dare;Maros-Pangkep | South Sulawesi;;4326;119.6;-4.84;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave is damp so that most of the walls are covered with moss. Red colored hand stencils were found on the left wall as well as pottery shards on the cave floor. Several of the hand stencils showed the images up to the arm and some were positioned back to back against each other. Besides these hand stencils, there were some indications of other images but the images were only partially visible so that these drawings were difficult to identify. | Alternative_Name: Leang Bujung
IPAD_310;Gua Bulu Ribba;Maros-Pangkep | South Sulawesi;;4326;119.594444;-4.841667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Bulu Ribba
IPAD_311;Gua Caddia;Maros-Pangkep | South Sulawesi;;4326;119.584444;-4.831667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Caddia
IPAD_312;Leang Cammingkana;Maros-Pangkep | South Sulawesi;;4326;119.593333;-4.841944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The chambers inside this cave are different from the chambers of the other caves in which were formed horizontally, while the latter were formed vertically. The chambers are named as Chamber A, B and C, which follow a vertical order, namely Chamber B is positioned on the top of Chamber A and Chamber C is positioned on top of Chamber B and so forth. The dimension of Chamber A is 8 meters long, 12 meters wide and 10 meters high; Chamber B is 13 meters high from the ground and has a corridor of 6 meters long, 2 meters wide and 1.5 meters high; while Chamber C is located 18 meters from the ground, with a dimension of 8 meter long, 3 meters wide and 2.5 meters high. The hand stencils in this cave have mostly deteriorated and only 36 images are visible, which are spread in Chamber A, B and Chamber C.
IPAD_313;Gua Carawaii;Maros-Pangkep | South Sulawesi;;4326;119.592222;-4.843333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Carawali
IPAD_314;Gua Jempang;Maros-Pangkep | South Sulawesi;;4326;119.593056;-4.835833;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Jempang
