SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_482;Kafiailololu Rock Art Site;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.4687;-1.97575;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The interesting part of this site is the rock art on the northwest cliff wall surface. The surface of the wall is uneven with niches that had developed due to the rock formation process and the growing bushes. The rock art was drawn on the niches on the wall surface, but some have started to fade, so careful and meticulous treatment is necessary. The results from the study identified 19 rock art motifs that consisted of 1 human figure motif, 1 human face motif, 1 turtle motif, 1 hand drawing motif, 1 boomerang motif, 1 drum motif, 2 geometric motif, 1 circle motif, 1 parallel line motif, and 9 unidentified motifs. There are at least 6 figurative category motifs and 13 non-figurative motifs with 8 line types of motifs, 3 outline types of motifs, 5 solid infill types of motifs, and 2 negative type of motifs. From the visualization aspect of the motifs, the brush technique was applied in 8 motifs and another 8 were sprayed using red colored substances. There were 8 identified hand motifs that consisted of 1 right hand drawing and 7 hand drawings that could not be recognized. Other parts of the hand depicted in the motifs consisted of 6 fingers up to the palm, 1 finger to the wrist, and 1 finger up to the elbow. The hand drawings are negative type and oriented upwards. The dimension of the cliff chamber is 25 meters long measured from end to end of the rock art, while the height of the rock art is measured from the sea level to the nearest rock art which is 15 meters a.m.s.l, facing the southeast. From the visualization aspect of the motifs, the brush technique was applied in 8 motifs and another 8 were sprayed using red colored substances. There were 8 identified hand motifs that consisted of 1 right hand drawing and 7 hand drawings that could not be recognized. Other parts of the hand depicted in the motifs consisted of 6 fingers up to the palm, 1 finger to the wrist, and 1 finger up to the elbow. The hand drawings are negative type and oriented upwards. The dimension of the cliff chamber is 25 meters long measured from end to end of the rock art, while the height of the rock art is measured from the sea level to the nearest rock art which is 15 meters a.m.s.l, facing the southeast. | Keywords: papua, west papua, misool
IPAD_483;Muslim Cave Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.465869;-1.969889;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;One of the most interesting findings in this site is the rock art facing the south. The wall surface is uneven with cracks from the formation process and stalactites. However, some of the patterns on the coral surface and on the stalactites facing the south have faded, therefore, careful and meticulous handling is necessary to observe and examine the drawings. The rock art found in this site can be categorized into 16 objects namely: one image of a fish, one image of a bird, seven images of hand stencils, three geometrical images, but four other images were not identifiable. Apparently, there were six drawings that were made by using brush technique, while ten images used the spray technique. All the drawings were colored in red but nine drawings are categorized as figurative patterns and seven drawings are non-figurative, while five drawings are linier types, one drawing is a dotted type, one drawing is an outline type, one drawing as a solid infill type and seven drawings as a negative type. From the seven hand stencils that were identified, three were hand stencils of the left hand and two were right-hand stencils while the remaining two hand stencils could not be identified. One drawing only showed an image of one finger, and there were five hand stencils of the palm and one drawing showed the fingers until the elbow. The hand stencils in Muslim Cave were drawn on the cave walls and on the stalactites. The cave is ± 4 meters long, measured from the distance between the most outer sides of the respective drawings, while the height of the drawings is ± 6 meters above sea level facing the west. were colored in red but nine drawings are categorized as figurative patterns and seven drawings are non-figurative, while five drawings are linier types, one drawing is a dotted type, one drawing is an outline type, one drawing as a solid infill type and seven drawings as a negative type. From the seven hand stencils that were identified, three were hand stencils of the left hand and two were right-hand stencils while the remaining two hand stencils could not be identified. One drawing only showed an image of one finger, and there were five hand stencils of the palm and one drawing showed the fingers until the elbow. The hand stencils in Muslim Cave were drawn on the cave walls and on the stalactites. | Keywords: papua, west papua, misool | Alternative_Name: Gua Muslim
IPAD_484;Tebing Sunmalelen Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.458161;-1.964989;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: In this site, 184 rock drawings were identified that consisted of drawings of humans (4), anthropomorphic (2), fish (20), sea cucumbers (8), jelly fish (2), sea horses (4), turtles (2), lizards (1), snakes (1), four legged animals (1), fish tail (1), hand stencils (33), spears (1), arrows (5), axes (2), geometric shapes (23), circles (5), roundular shapes (15), patterned wheels (2), lines (1), parallel lines (3), and several other unidentified objects (52). Based on the types of the drawings, the rock art in this site consisted of 20 dotted-line drawings, 26 line drawings, 41 outline drawings, and 29 solid infill drawings, and 68 negative drawings. From the technique of the drawing, there were 95 brush drawings, and there were 88 drawings that used the spraying technique, consisting of images of hand stencils, axes, decorated wheels, sea horses, fish tails and geometrical shapes. In creating the hand stencils under the spraying technique, the hands were pressed against the wall and then sprayed with coloring. However, in making the fine and beautiful patterns of the decorated wheels, the creators used a certain molding that was placed on the wall and then it was sprayed with coloring. | Keywords: papua, west papua, misool
IPAD_485;Tebing Lumba-Lumba Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.459519;-1.963417;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The Dolphin Site is located 1o57’48.31” South Latitude and 130o27’34.27” East Longitude. In this site, there are nine patterns consisting of eight hand stencils and one fish drawing. There were two techniques applied in making the drawings, first the brush technique that was used in drawing the fish image and the second is the spray technique applied in making the hand stencils with red coloring and facing upward. The fish figures are solid infill drawings that depict dolphins positioned in between hand stencils facing upward. Meanwhile, the hand stencils are negative-type patterns and all of them are images of the right hand super-positioned (overlapping). The hand stencils were not decorated, and there were four objects only showing fingers and the palm and another four objects showing fingers up to the wrist. There were six drawings facing upward and two drawings facing the left or facing each other. The chamber in the cliff rock is ± 2 meters long measured from end to end of the drawings, while the height of the drawings measured from the sea level to the closest drawing is ± 3 meters above sea level, facing the west. The rock art in this site is in good condition. | Keywords: papua, west papua, misool
IPAD_948;Fafangaulu;Misool | West Papua;;4326;130.746278;-2.632972;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The research by the Archaeology Center of Jayapura in 2010 reported that prehistoric rock artworks were found on this coral reef island with vegetation in the center of the island, while the exterior of the island consisted of steep cliffs with niches right above the seawater surface. The rock art on the cliff facing the west had almost faded away due to the environmental pressures and the weather. These rock artworks were found on the flat side of the wall and not in the niches. The height of this rock art drawing was approximately 1 to 2.5 a.m.s.l.
IPAD_949;Fafanlap;Misool | West Papua;;4326;130.740972;-2.625;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The rock artwork in this site -which has an altitude ranging from 1 to 3.5 meters a.m.s.l- was drawn on the flat and smooth surface of the karst cliff panels. However, due to the weather and environment pressures around the open waters, many of the rock artworks have deteriorated and are no longer visible, which makes it difficult to identify. From examining the site, there are about 75 rock art motifs that could be identified which mostly were colored in red (71 objects) while the remaining 4 motifs were in colored black. The rock art was drawn by applying various drawing techniques. The spraying technique was used to draw hands and boomerangs that created negative types of drawings. Here in this site, we can find images of hand palms but some of the fingers are incomplete, since the little finger and the ring finger are missing, which are believed to have been cut. Meanwhile, the brush technique was applied in outlining the drawings to create geometric and circular objects. There were also many figures of marine animals such as the jellyfish and some other fish motifs that were drawn using the solid infill technique. Some of the rock art drawings were painted in the deep niche of the cliffs.
IPAD_950;Sunbayo;Misool | West Papua;;4326;130.783461;-2.621639;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The Sunbayo site has the greatest rock art collection among the other sites in the Misool region. The results from direct observation of this cliff wall have successfully identified 274 motifs. The dimension of the site is 10-15 meters long and 5 meters wide, and orientated to the northeast. Several rock art objects in the Sunbayo site have faded away due to the local climate effect and environmental changes. The drawings on some of the panels have deteriorated and are covered with melting lime plaster. In addition, since the position of the Sunbayo site is directly above the seawater, therefore, it was difficult to record the findings as the access to reach the location on the cliff was quite challenging. The observation results showed that the rock art in Sunbayo Site is divided into 7 panels starting from the far north wall that consists of 1 image of a human figure, 3 images of a human face, 3 images of anthropomorphic figures, 2 images of a straddling man, 1 image of a dancing man. More drawings were also found that consisted of 97 motifs of sea animals and reptiles, and since this site has the greatest number of animal images in the region therefore the Sunbayo Site could be regarded as an encyclopedia for marine fauna. The animal figures in this site included one bird image, 13 fish tails, 67 fish figures, 1 gecko figure, 3 fish head images, 3 turtles, 2 sea cucumbers, 1 fish bone, 1 sea snake, 1 fowl figure, and 4 sea animal figures. Whereas, the hand prints showed 36 negative types of hand images and 3 positive types of hand stencils that were mostly oriented upwards. The drawings of the hand mostly showed the fingers up to the palm. Whereas, the variant from the drawings of prehistoric tools included images of 2 boomerangs, 4 axes, and 3 boats. As for the geometric objects, the variant include circles, triangles, stars, bee nests, the sun and other spherical shapes. There are 2 types of drawing techniques applied in this site, the brush technique that resulted in the outline motifs and the solid infill motifs, while the spray technique resulted in negative type of drawings. The rock art motifs on the wall were colored red, red-black, yellow and black.
IPAD_951;Sunmaleleatsa;Misool | West Papua;;4326;130.793778;-2.624806;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Many of the rock artworks on this cliff site have faded away or even have disappeared as a result of weather and salinization. Approximately 56 rock art motifs have been successfully identified in this site, among others: motifs of hands that were created using the spray technique, and motifs of fish figures that were drawn by using 2 types of techniques such as: the brush technique and the spray technique, manta figures, anthropomorphic figures, images that are assumed to be a moon, boats, and other objects that could not be recognized. There are two drawing techniques applied in this site, namely the brush technique that produces outline types and solid infill types and the spray technique that produces negative drawing types. Almost all the rock art images on the wall were colored in red.
IPAD_952;Manikaipopoatsa;Misool | West Papua;;4326;130.766944;-2.625306;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Based on the observations on the objects of this rock art site, there are eight rock art motifs that consisted of two drawings of a fish, -one is a complete drawing of a fish and the other one is an incomplete image of a fish-, three geometrical objects, a boat, an image of an unidentified animal, and another unidentified object. From analyzing the motifs, all of the drawings applied the brush technique creating several types of drawings. The outline drawing method was applied on the fish motif that was diagonally oriented to the right. While the boat motif was oriented upwards, along with the entire geometric motifs. Whereas the solid infill method was applied on one unidentified object, and on some unidentified animals that were oriented facing upwards which at a glance look like insects. There were motifs of dolphins, facing the right, exactly under the boat image. Almost all the drawings were brushed with red colored substances, yet there was one image of a fish that was colored in yellow.
IPAD_953;Bayampoptolatau Kajipo 2;Misool | West Papua;;4326;130.769861;-2.622722;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Upon studying the rock art drawing at site number16, the rock art drawings discovered in this site totaled 68 motifs. These drawings comprise of several types of motifs, including 16 fish motifs that consisted of 12 motifs in full form, however the other three can only be identified as fishtail motifs and one fish head image. Besides that, there are also 25 hand motifs consisting of 10 left hand motifs, 12 right hand motifs, and three other images that could not be identified which hand it was. Other drawings consisted of one sun-like motif, one spear head motif, two axe motifs, one human straddling motif, one non-fish sea animal with teeth on its lower jaw, one circular motif, four geometric motifs, and 16 unidentified motifs. From the visualization of the drawings, the brush technique was applied to all of the fish motifs -both the overlay and the non overlay drawing-, the straddling human, the sun-like motif, the images of two hands, several geometric motifs, and some unidentified objects. Meanwhile, the spray technique was applied on almost all of the hand drawings, the spearhead motifs, the axes, and on some geometric motifs, as well as on some of the other unidentified drawings. All the drawings mostly used red colored substances and were drawn facing upward, while some of the other drawings varied in their orientation. For example, the drawings of the fish and marine animals faced downward, while the drawings of the fish, axes and spearhead were horizontally oriented to the left and right and one fish was diagonally oriented to the left and right. The solid infill type was applied to several fish motifs and on some unidentified drawings, while the outline type was applied on most of the fish motifs, the sun motifs, the human straddling, and on some geometric motifs along with several unidentified motifs. Another type of drawings that was applied on the artwork in this site is the negative type of drawing. This type of drawing was used for drawing a tapered axe, a geometric motif, and on almost all of the hand motifs, both in the superposition or non-superposition. Uniquely, there is a negative type of drawing of the hand that has a missing middle finger. There are also positive type motifs showing two hand motifs that were made by using human fingers, unfortunately the three fingers from one of those drawings have faded.
