SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_127;Makpan Cave;Nusa Tenggara;;4326;124.54609645976200;-8.432262927101160;;No;Excavated;Not specified;-39500;1950;Archaeological Sites;Shell midden / Shell mound / Bukit Kerang / Kjokkenmoddinger;;;;No;https://doi.org/10.1016/j.quaint.2020.10.004;Description: Makpan is a large lava tube cave on the southwest coast of Alor that dates first occupation to ~39,500 +/- 500 years ago. The cave entrance faces the ocean and today it is ~386 m from the shoreline and ~37.5 m above current mean sea level. As on the north coast of Timor, the offshore topography in this region drops away steeply to a depth of 100 m, less than 1.8 km off the current shoreline so Makpan would have not been much further from the coast when first occupied ~40,000 years ago. The 2016 excavation produced a remarkably rich assemblage comprised predominately of marine resources, including fish, shellfish and sea urchins. The initial phase of occupation at Makpan from ~40,000 until 22,000 is marked by relatively low-density bone and shell accumulations suggesting that occupation was limited and sporadic early on. Marine fauna dominates the subsistence resources in this level with a focus on urchin exploitation. This was followed by a terminal Pleistocene phase showing an increase in occupation intensity beginning ~14,000 years ago. The densest phase of occupation is marked by the deposition of a dense shell midden and marine fauna during the Pleistocene-Holocene transition beginning ~12,000 years ago. The site appears to have been little used from ~7000 until 3500 years ago when the Neolithic to historic occupation begins. In this upper level marine resource use continues and pottery and domestic animals appear in the assemblage. Makpan contained a remarkably rich assemblage of shellfish hooks and beads dating from ~15,000 years ago. The lithic assemblages included fine and course grade volcanic flakes and cores with a small assemblage of chert and obsidian. Unlike nearby Tron Bon Lei, most of the obsidian artefacts are probably derived from local sources. A number of grindstones were also recovered from Makpan including a basalt muller with a polished surface from the initial occupation phase, and a grindstone from the terminal Pleistocene with red staining, possibly from grinding ochre. Hendri A. F. Kaharudin a,b , Sue OâConnor a ,b , Andreas Kroh c , and Shimona Kealy a ,b a Archaeology and Natural History, College of Asia and the Pacific, Australian National University, Canberra, ACT, Au Fishhooks, Lures, and Sinkers: Intensive Manufacture of Marine Technology from the Terminal Pleistocene at Makpan Cave, Alor Island, Indonesia Michelle C. Langley a,b, Sue O âConnorc,d, Shimona Kealy c,d , and Mahirta e aAustralian Research Center for Human Evolution, Griffith University, Nathan, QLD, Australia
IPAD_480;Yapumara Batu Somda Site;West Papua | Yaugapsa, Demta, Jayapura Regency, Papua;;4326;140.153472;-2.340056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Somda Stone is a monolith believed to be a grandmother who has turned into stone. The location of Batu Somda is the place where the grandmother was killed in Kampung Tua Yapumara. That stone has become a historical stone in the life of the tribe living in the Demta region. They are tribes that used to be scattered to various regions, even reached the East Nusa Tenggara region (Timor Island), but they have been reunited. | Keywords: papua, west papua | Alternative_Name: Batu Somda
IPAD_506;Tron Bon Lei Rockshelters;Nusa Tenggara Timur NTT | Wakapsir, Alor Barat Laut, Alor Regency, East Nusa Tenggara | Alor;;4326;124.567936;-8.434308;;No;Foot survey;Not specified;-20661;-20109;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://www.researchgate.net/deref/https%3A%2F%2Fdoi.org%2F10.1371%2Fjournal.pone.0267635?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwb3NpdGlvbiI6InBhZ2VDb250ZW50In19;Description: Tron Bon Lei is comprised of two adjoining shelters located within a series of shelters in a vol-canic ridge which runs along the south coast of Alor, near Lerabain village. Excavations in 2014 documented a large amount of vertebrate and invertebrate fauna, lithics, shell ornaments, and fish-hooks which occurred as grave goods. Human remains were documented in two of the test pits excavated in the two adjoining shelters in 2014. The cranial remains from square C (TLC-1) were dated using OSL to c.17kya BP. A complete chronometric sequence from the original excavations in Tron Bon Lei identi-fied four phases of human occupations: Late Holocene (c.2.7–5.4kya cal BP), middle Holocene(c.7.4–8.2kya cal BP), early Holocene-terminal Pleistocene (c.9.4–12.7kya cal BP), and LatePleistocene (c.17.4-21kya cal BP). Commonalities between Mainland and Island Southeast Asian mortuary treatments begin-ning in the Late Pleistocene, with a common custom of flexed burial as seen in Tron Bon Lei(TLB-1), suggest transmission of ideas. In Tron Bon Lei, rock art occurs in both sections of the overhang (Tron Bon Lei 1 and 2) where the shelter walls protect a flat floor deposit. As the shelters are part of a continuous overhang they are discussed here simply as Tron Bon Lei. Anthropomorphs are the most common figurative motifs found at Tron Bon Lei followed by ‘boats’. Tron Bon Lei also contains red hand prints. Anthropomorphs are the most common figurative motif at Tron Bon Lei with at least ten recorded. All are in red pigment. The head in all figures is shown in solid red pigment. Some figures appear to be holding weapons. one wielding an ‘axe’ and another one has a possible club and a ‘shield’. The anthropomorphs on the left of the panel appear to be wearing headdresses of a fan-like shape. | Keywords: alor
IPAD_552;Tron Bon Lei Rockshelter;Nusa Tenggara Timur NTT | Wakapsir, Alor Barat Laut, Alor Regency, East Nusa Tenggara | Alor;;4326;124.567936;-8.434308;;No;Documented;Not specified;;;Portable Objects / Artefacts;Bone;Human bones;;;No;https://www.researchgate.net/deref/https%3A%2F%2Fdoi.org%2F10.1371%2Fjournal.pone.0267635?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwb3NpdGlvbiI6InBhZ2VDb250ZW50In19;The new dates and analyses of the human remains documented in Tron Bon Lei (Alor, Indonesia) provide insights into human migration during the Pleistocene in the Wallacean Islands. Additionally, the complementary research conducted on other aspects of the archaeological context where the human remains were recovered, such as the zooarchaeological assemblages, raw materials, and grave goods, allow us to draw a more complete picture of the living and environmental context in the Lesser Sunda Islands from the Late Pleistocene to the Holocene (Samper Carro et al., 2016, 2017, O'Connor et al., 2017a,b, Hawkins et al., 2018). The craniometrics recorded in the AMH remains from Tron Bon Lei suggest these individuals have a cranial morphology similar to populations documented in the middle and late Holocene in the region. The characteristics documented for TLB and TLC-1 suggest these individuals may be representatives of a discrete gracile group living in ISEA from the Late Pleistocene, surviving into the Holocene. This is particularly hinted at by craniometric similarities with middle to late Holocene individuals from Flores and Sumba. Our results support the hypothesis of the evolution of a distinctive south-eastern Indonesian population by (at least) the terminal Pleistocene, which can be traced through to the middle to late Holocene individuals from the nearby island of Flores.
IPAD_810;Tron Bon Lei Rockshelter;Nusa Tenggara Timur NTT | Wakapsir, Alor Barat Laut, Alor Regency, East Nusa Tenggara | Alor;;4326;124.567936;-8.434308;;No;Documented;Not specified;;;Portable Objects / Artefacts;Vegetal - organic materials;Tool;Shell;;;No;https://www.researchgate.net/deref/https%3A%2F%2Fdoi.org%2F10.1371%2Fjournal.pone.0267635?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwb3NpdGlvbiI6InBhZ2VDb250ZW50In19,Description: The Alor fish-hooks bear an uncanny resemblance to rotating hooks used in Japan, Australia, Arabia, California, Chile, Mexico and Oceania, providing a salutary warning against reading cultural diffusion as the cause of such similarities. Convergent technological evolution — whereby the same form of artefact develops independently in multiple, widely spaced locations because it is the most fitting form to meet the functional requirements of particular ecological conditions — is clearly possible and is argued to be the most probable explanation for the distribution of circular rotating hooks across the globe. The fish-hooks from Alor represent the earliest excavated evidence for a direct link between cosmology and fishing. An intact fish-hook (hook A) and a perforated bivalve were found directly beneath the chin, three other fish-hooks were found around the mandible (hooks B, C and E), and a partial hook (D) was found under the mandible, all within excavation unit 41.
IPAD_507;Ba Lei Rockshelter;Nusa Tenggara Timur NTT | Wakapsir, Alor Barat Laut, Alor Regency, East Nusa Tenggara | Alor;;4326;124.567936;-8.434308;;No;Documented;Not specified;-2578050;1950;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://www.researchgate.net/deref/https%3A%2F%2Fdoi.org%2F10.1371%2Fjournal.pone.0267635?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6Il9kaXJlY3QiLCJwYWdlIjoicHVibGljYXRpb24iLCJwb3NpdGlvbiI6InBhZ2VDb250ZW50In19;Description: Ba Lei is a complex of three small caves about 300 m to the west of Tron Bon Lei. Ba Lei 1, the largest of the three contained some faded patches of red pigment and several simple white geometrics. Ba Lei 2 the second largest cave in the complex had no obvious rock art but this may be due to poor preservation of pigment on the wall surfaces. Ba Lei 3, the smallest of the three caves is only 2 m high and 4 m wide at its maximum dimension but contained white geometric motifs and some faded red pigment. | Keywords: alor
IPAD_525;Kobatuwa Site;Nusa Tenggara Timur NTT | Flores;;4326;121.0879;-8.68851;;No;Documented;Not specified;-2578050;-9700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Description: Associated with deposition of fossils at Boa Lesa, Mata Menge, Kobatuwa, Ngamapa, Kopowatu and Pauphadhi between 840,000 and 700,000 years ago. Fauna present at the time included large Stegodon, crocodile and giant rat. In situ stone artefacts occur at all these sites. | Keywords: flores
IPAD_526;Wolo Milo Site;Nusa Tenggara Timur NTT | Nagerawe, Boawae, Nagekeo Regency, East Nusa Tenggara | Flores;;4326;121.14083;-8.68271;;No;Documented;Not specified;-2578050;-9700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Keywords: flores
IPAD_527;Mata Menge Site;Nusa Tenggara Timur NTT | Mengeruda, Soa, Ngada Regency, East Nusa Tenggara | Flores;;4326;121.09563;-8.69266;;No;Documented;Not specified;-950000;-360000;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Keywords: flores
IPAD_528;Wolokeo Site;Nusa Tenggara Timur NTT | Olakile, Boawae, Nagekeo Regency, East Nusa Tenggara | Flores;;4326;121.14972;-8.70926;;No;Documented;Not specified;-2578050;-9700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.1017/S0003598X00088244;Keywords: flores
