SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_040;Liang Bua;Flores;;4326;120.444;-8.531;;No;Documented;Not specified;-94800;-27000;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1016/j.jasrep.2021.103199 | https://doi.org/10.1016/j.jasrep.2021.103199 | https://doi.org/10.7152/jipa.v44i0.15675 | https://doi.org/10.1016/j.jhevol | https://doi.org/10.1016/j.jhevol | https://doi.org/10.1126/science.1193130 | https://doi.org/10.1016/j.jhevol.2006.08.002 | https://doi.org/10.1016/j.jhevol.2008.10.006 | https://doi.org/10.1016/j.jhevol.2008.08.015 | https://doi.org/10.1016/j.jhevol.2008.08.015 | https://doi.org/10.1073/pnas.1516186113 | https://doi.org/10.1016/j.jhevol.2008.10.006 | https://doi.org/10.1016/j.jhevol.2009.07.003 | https://doi.org/10.1038/nature04022 | https://doi.org/10.1016/j.jhevol.2018.07.001;Description: On October 28, 2004, came the startling announcement that the remains of a tiny little humanlike creature had been found in Late Pleistocene deposits in Liang Bua, a cave on the island of Flores in Nusatenggara. It was a joint Indonesian-Australian discovery: Thomas Sutikna of the Indonesian Centre for Archaeology in Jakarta, Mike Morwood, of the University of New England in Armidale (New South Wales), and their teams. The new species was represented by a nearly complete adult skeleton, Liang Bua 1, and the isolated lower premolar of a second individual, LB2. LB1 was found at a level dated to approximately 18,000 BP
IPAD_058;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Description: inental mammals were found in the Kalibeng layer. Human, animal, and artifact fossils are found in a geological- stratigraphic series that was deposited without interruption over a period of more than 2 million years. - Sangiran Site, Sragen and Karanganyar, Central Java Sangiran is a complex of sites located in the Solo Basin, east of Mount Lawu. The site area stretches along 8 kilometers in a north-south direction and 7 kilometers in an east-west t number 593 on the World Heritage List . UNESCO. Human, animal, and artifact fossils are found in a geological- stratigraphic series that was deposited without interruption over a period of more than 2 million years. - Sangiran Site, Sragen and Karanganyar, Central Java Sangiran is a complex of sites located in the Solo Basin, east of Mount Lawu. The site area stretches along 8 kilometers in a north-south direction and 7 kilometers in an east | Keywords: Burial site
IPAD_677;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Calvarium;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Grogol Wetan. Calvarium. 1993. Kabuh. Grimaud-Herve et al. 2000.
IPAD_678;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Frontal;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Bukuran. Parietal-occipital and frontal. 1996. Kabuh. Grimaud-Herve et al. 2000.
IPAD_679;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Mandible;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;BK 8606. Rt. mandible, broken M3. 1986. Probably Grenzbank. See Kaifu et al. 2005a:517.
IPAD_680;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Teeth;Incisor;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Bs 9706. L I1. 1997. Kabuh. Baba et al. 2000.
IPAD_681;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Mandible;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;NG 8503. Rt. mandible, M1, M2. 1985. Kabuh. Kaifu et al. 2005a:515.
IPAD_682;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Teeth;Molar;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Njg 2005.05. M3. 2005. Kaifu et al. 2006.
IPAD_683;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Homo erectus;Cranial;Mandible;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;SB 8103. Rt. mandible, P2-M3. 1981. Middle Bapang. Kaifu et al. 2005a:513.
IPAD_684;Sangiran;Java;;4326;-7.081330;1.0181453;;No;Documented;Not specified;;;Human remains;Unknown;Cranial;Mandible;;Yes;Meilinda, P., Lestari, P. P., Hermanto, W., Sari, M. A. P., Rohman, M. M., Wahyuningsih, I., & Aprianto, P. (2017). Katalog Homo erectus Sangiran. Balai Pelestarian Situs Manusia Purba Sangiran. https://repositori.kemendikdasmen.go.id/13120/1/KATALOG%20HOMO%20ERCTUS%20SANGIRAN.pdf;Sangiran 1a. R. maxillary fragment, M1-M3. 1936. Pucangan. Meganthropus.
