SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_133;Mololo Cave;Raja Ampat | Papua;;4326;130.918;0.306;;No;Documented;Not specified;-2580000;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1371/journal.pone.0289513;Mololo Cave (WAI-1 in the Raja Ampat Archaeological Project database) is located at the entrance to Mayalibit Bay, the large water body that almost bisects Waigeo. It is a limestone system comprised of a light outer chamber, exposed to sunlight but sheltered from rain, and a dark inner chamber that is home to several bat colonies.
IPAD_482;Kafiailololu Rock Art Site;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.4687;-1.97575;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The interesting part of this site is the rock art on the northwest cliff wall surface. The surface of the wall is uneven with niches that had developed due to the rock formation process and the growing bushes. The rock art was drawn on the niches on the wall surface, but some have started to fade, so careful and meticulous treatment is necessary. The results from the study identified 19 rock art motifs that consisted of 1 human figure motif, 1 human face motif, 1 turtle motif, 1 hand drawing motif, 1 boomerang motif, 1 drum motif, 2 geometric motif, 1 circle motif, 1 parallel line motif, and 9 unidentified motifs. There are at least 6 figurative category motifs and 13 non-figurative motifs with 8 line types of motifs, 3 outline types of motifs, 5 solid infill types of motifs, and 2 negative type of motifs. From the visualization aspect of the motifs, the brush technique was applied in 8 motifs and another 8 were sprayed using red colored substances. There were 8 identified hand motifs that consisted of 1 right hand drawing and 7 hand drawings that could not be recognized. Other parts of the hand depicted in the motifs consisted of 6 fingers up to the palm, 1 finger to the wrist, and 1 finger up to the elbow. The hand drawings are negative type and oriented upwards. The dimension of the cliff chamber is 25 meters long measured from end to end of the rock art, while the height of the rock art is measured from the sea level to the nearest rock art which is 15 meters a.m.s.l, facing the southeast. From the visualization aspect of the motifs, the brush technique was applied in 8 motifs and another 8 were sprayed using red colored substances. There were 8 identified hand motifs that consisted of 1 right hand drawing and 7 hand drawings that could not be recognized. Other parts of the hand depicted in the motifs consisted of 6 fingers up to the palm, 1 finger to the wrist, and 1 finger up to the elbow. The hand drawings are negative type and oriented upwards. The dimension of the cliff chamber is 25 meters long measured from end to end of the rock art, while the height of the rock art is measured from the sea level to the nearest rock art which is 15 meters a.m.s.l, facing the southeast. | Keywords: papua, west papua, misool
IPAD_483;Muslim Cave Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.465869;-1.969889;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;One of the most interesting findings in this site is the rock art facing the south. The wall surface is uneven with cracks from the formation process and stalactites. However, some of the patterns on the coral surface and on the stalactites facing the south have faded, therefore, careful and meticulous handling is necessary to observe and examine the drawings. The rock art found in this site can be categorized into 16 objects namely: one image of a fish, one image of a bird, seven images of hand stencils, three geometrical images, but four other images were not identifiable. Apparently, there were six drawings that were made by using brush technique, while ten images used the spray technique. All the drawings were colored in red but nine drawings are categorized as figurative patterns and seven drawings are non-figurative, while five drawings are linier types, one drawing is a dotted type, one drawing is an outline type, one drawing as a solid infill type and seven drawings as a negative type. From the seven hand stencils that were identified, three were hand stencils of the left hand and two were right-hand stencils while the remaining two hand stencils could not be identified. One drawing only showed an image of one finger, and there were five hand stencils of the palm and one drawing showed the fingers until the elbow. The hand stencils in Muslim Cave were drawn on the cave walls and on the stalactites. The cave is ± 4 meters long, measured from the distance between the most outer sides of the respective drawings, while the height of the drawings is ± 6 meters above sea level facing the west. were colored in red but nine drawings are categorized as figurative patterns and seven drawings are non-figurative, while five drawings are linier types, one drawing is a dotted type, one drawing is an outline type, one drawing as a solid infill type and seven drawings as a negative type. From the seven hand stencils that were identified, three were hand stencils of the left hand and two were right-hand stencils while the remaining two hand stencils could not be identified. One drawing only showed an image of one finger, and there were five hand stencils of the palm and one drawing showed the fingers until the elbow. The hand stencils in Muslim Cave were drawn on the cave walls and on the stalactites. | Keywords: papua, west papua, misool | Alternative_Name: Gua Muslim
IPAD_484;Tebing Sunmalelen Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.458161;-1.964989;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: In this site, 184 rock drawings were identified that consisted of drawings of humans (4), anthropomorphic (2), fish (20), sea cucumbers (8), jelly fish (2), sea horses (4), turtles (2), lizards (1), snakes (1), four legged animals (1), fish tail (1), hand stencils (33), spears (1), arrows (5), axes (2), geometric shapes (23), circles (5), roundular shapes (15), patterned wheels (2), lines (1), parallel lines (3), and several other unidentified objects (52). Based on the types of the drawings, the rock art in this site consisted of 20 dotted-line drawings, 26 line drawings, 41 outline drawings, and 29 solid infill drawings, and 68 negative drawings. From the technique of the drawing, there were 95 brush drawings, and there were 88 drawings that used the spraying technique, consisting of images of hand stencils, axes, decorated wheels, sea horses, fish tails and geometrical shapes. In creating the hand stencils under the spraying technique, the hands were pressed against the wall and then sprayed with coloring. However, in making the fine and beautiful patterns of the decorated wheels, the creators used a certain molding that was placed on the wall and then it was sprayed with coloring. | Keywords: papua, west papua, misool
IPAD_485;Tebing Lumba-Lumba Rock Art;West Papua | Usaha Jaya, Misool Timur, Raja Ampat Regency, West Papua | Misool;;4326;130.459519;-1.963417;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: The Dolphin Site is located 1o57’48.31” South Latitude and 130o27’34.27” East Longitude. In this site, there are nine patterns consisting of eight hand stencils and one fish drawing. There were two techniques applied in making the drawings, first the brush technique that was used in drawing the fish image and the second is the spray technique applied in making the hand stencils with red coloring and facing upward. The fish figures are solid infill drawings that depict dolphins positioned in between hand stencils facing upward. Meanwhile, the hand stencils are negative-type patterns and all of them are images of the right hand super-positioned (overlapping). The hand stencils were not decorated, and there were four objects only showing fingers and the palm and another four objects showing fingers up to the wrist. There were six drawings facing upward and two drawings facing the left or facing each other. The chamber in the cliff rock is ± 2 meters long measured from end to end of the drawings, while the height of the drawings measured from the sea level to the closest drawing is ± 3 meters above sea level, facing the west. The rock art in this site is in good condition. | Keywords: papua, west papua, misool
IPAD_959;Manwen Bokor Cave;Raja Ampat | Papua;;4326;131.0136944;-0.0467222;;No;Excavated;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Gaffney, D., Tanudirjo, D. A., Djami, E. N. I., Macap, A. R., & Russell, T. (2023). An archaeology of Waigeo, Raja Ampat Islands, West Papua. Archaeology Programme, University of Otago.;At Manwen Bokor, some red pottery fragments are similar to pots made along the north coast of New Guinea. Other ceramics from the site include 'circle stamp' designs that are similar to decorations used throughout northern Maluku as well as other parts of Island Southeast Asia like Banda, Sulawesi, and even Taiwan. At Manwen Bokor, the archaeologists also uncovered glazed ceramics that were produced in China and exported to Southeast Asia, eventually arriving to Raja Ampat. On the surface of a large cliff overlooking the site, the team also recovered two yellow glass beads that may have been produced on the mainland of Southeast Asia or in India, before being traded along the Indian Ocean rim to eventually arrive on Waigeo. Beads like these would have been used for decoration, exchanges, marriage ceremonies, and even to decorate ancestor figurines.
IPAD_849;WAI-31 Lentagin;Waigeo | Raja Ampat | West Papua;;4326;130.230528;-0.201361;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Tanudirjo, D., Gaffney, D., Macap, A. R., Russell, T., Utting, B., Dailom, M., Lapon, Y., Djami, E. N. I., & Mas'ud, Z. (2025). Rock painting traditions around Waigeo Island, Raja Ampat, West New Guinea. Journal of Pacific Archaeology, 15(1), Article 9. https://doi.org/10.70460/jpa.v15i1.375;Description: WAI-31 Lentagin (known by this name in the local Kawe Ma'ya dialect) consists of a large limestone cliff face approximately 50 m high and 100 m long, facing east onto Aljui Bay. A single gallery about 10 m long is located 5-7 m above the present high-tide mark and contains red and orange pigment designs. The imagery is divided into four clusters. Cluster 1: two red and one orange hand stencils, a stencil of an unknown three-pointed object, and further faded red hand stencils below. Cluster 2: a dotted image in four columns and nine rows (finger-painted), a segmented ovoid, two hand stencils, simplified anthropomorphs (vertical lines), possible fish or marine animals (horizontal lines), and a black pigment design superimposed over a red hand stencil, possibly an abstracted anthropomorph. Cluster 3: partly obscured by water action, contains segmented circular and ovoid motifs and a dotted orange pigment quadrangle subdivided into three parts. Cluster 4: at least five hand stencils, an unknown elongate object in negative stencil, patches of red pigment, and a singular fish spine stencil. Local oral tradition from Selpele elders associates the site with turtle hunting, turtle blood and magic were said to produce the art, and the ovoid designs may represent turtle shells. | Alternative_Name: WAI-31
IPAD_850;PEF-3 Brambaem;Waigeo | Raja Ampat | West Papua;;4326;130.449111;-0.443056;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Tanudirjo, D., Gaffney, D., Macap, A. R., Russell, T., Utting, B., Dailom, M., Lapon, Y., Djami, E. N. I., & Mas'ud, Z. (2025). Rock painting traditions around Waigeo Island, Raja Ampat, West New Guinea. Journal of Pacific Archaeology, 15(1), Article 9. https://doi.org/10.70460/jpa.v15i1.375;Description: Brambaem (PEF-3), meaning 'hand stencil' in the Beser Biak language, is located on the southeast edge of a small bay formed by Pef Island. All paintings are red pigment hand stencils, possibly produced by blowing pigment around the hand, located in two alcoves. Panel 1 is approximately 10 m up the cliff face and contains two hand stencils (one right, one left hand) with faded areas of pigment above them. Panel 2 is approximately 3 m up the cliff and contains a single right handprint.
IPAD_851;WAI-53 Mon Ake;Waigeo | Raja Ampat | West Papua;;4326;130.563806;-0.355722;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Tanudirjo, D., Gaffney, D., Macap, A. R., Russell, T., Utting, B., Dailom, M., Lapon, Y., Djami, E. N. I., & Mas'ud, Z. (2025). Rock painting traditions around Waigeo Island, Raja Ampat, West New Guinea. Journal of Pacific Archaeology, 15(1), Article 9. https://doi.org/10.70460/jpa.v15i1.375;Description: WAI-53 Mon Ake, meaning 'secret place' in the Wauyai dialect of Ma'ya, is located in the Sabama (red mangrove) area of Kabui Bay, several metres above present mean sea level. The site comprises a single red anthropomorph and a geometric motif to the top left. The anthropomorph has two protrusions from the head, one hand with three fingers raised, and another hand without visible fingers pointing downward. The two protrusions may represent bird plumes or kain (cloth in Papuan Malay), both significant exchange valuables used as headdresses in the past.
IPAD_852;WAI-74 Mol II;Waigeo | Raja Ampat | West Papua;;4326;130.629528;-0.142917;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Tanudirjo, D., Gaffney, D., Macap, A. R., Russell, T., Utting, B., Dailom, M., Lapon, Y., Djami, E. N. I., & Mas'ud, Z. (2025). Rock painting traditions around Waigeo Island, Raja Ampat, West New Guinea. Journal of Pacific Archaeology, 15(1), Article 9. https://doi.org/10.70460/jpa.v15i1.375;Description: WAI-74 Mol II, meaning 'behind the mountain' in the Laganyan dialect of Ma'ya, is located in northern Mayalibit Bay adjacent to Arway village, on the south side of a steep karst peninsula. The site displays both red and white rock images on a single rock face. Elders at Arway recount that their ancestors lived atop the mountain before monotheist religions, during the hongi raids - Tidore fleet raids to Raja Ampat for slaves and tribute, outlawed by the Dutch in the late nineteenth century. Panel 1 (red): one anthropomorph, a right handprint, and a faded geometric design below, elders at Anday identify the figure as a Ma'ya person adorned with kain on head and waist and holding a shield and knife. The images are located only about 0.5 m above high tide, suggesting relatively recent production. Panel 2 (white): immediately to the right of the red images, depicts a human in a boat and other now-faded designs, unknown to the Arway elders.
