SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_029;Gua Ilas Kenceng;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.334638889;1.136444444;;No;Documented;Not specified;-2580000;-11700;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: Caves and rock shelters located in East Kalimantan (ornately decorated sites shown in italics): 1. Gua Mardua | Keywords: Rock art site
IPAD_034;Gua Pindi;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.256583;1.020500;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: East Kalimantan (ornately decorated sites shown in italics): 1. Gua Mardua | Keywords: Rock art site
IPAD_071;Gua Ham;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.335056;1.129556;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: J.-M. CHAZINE: AESTHETICS AND FUNCTION: A COMPOSITE ROLE IN BORNEO ROCK ART? 71 Figure 8.5. Gua Ham, when first discovered and studied (Â© LH. Fage/Kalimanthrope) Figure 8.6. Gua Masri 2, one of the twin caves containing only hands stencils, showing aesthetic arrangements (according to LH. Fageâs computer reconstructio J.-M. CHAZINE: AESTHETICS AND FUNCTION: A COMPOSITE ROLE IN BORNEO ROCK ART? 73 Figure 8.8. Gua Ham, with perfectly regular hand stencils of men and women (Â© A. Noury/LH. Fage/Kalimanthrope) Thus, more than 80 kms south, along a gigantic conic karst, Gua Tewet shows a larger use and much more complex display of hand s | Keywords: Rock art site
IPAD_072;Gua Harto;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.291806;1.467278;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: by Lucâbig hairâtangan bertatoâ¦ u Rekonstruksi tera-tangan yang salah satu kukunya panjang, memakai oker yang dilarutkan dalam air dan dihalus - kan dengan penyemprot bertekanan, gambar-semprot masa dulu. Alat seperti itu mudah dibuat dengan dua tula t nouvelles observations sur quelques mains peu communes CD-967 Pour lâinstant, le fait a Ã©tÃ© constatÃ© dans les grottes suivantes : Gua Tewet (fig. 17), Liang Sara, Gua Masri, Ilas Kenceng (fig. 18), Gua Ham, Gua Harto, Gua Kecabe, ainsi que Gua Sahak oÃ¹ lâon trouve lâexemple emblÃ©matique : une main gauche, de grande taille, dont le pouce prÃ©sente un ongle dÃ©mesurÃ©, tout comme, dans une moindre mesure, lâauriculaire (fig. 19). Nous avons cherchÃ© | Keywords: Rock art site
IPAD_073;Gua Jufri;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.337000;1.119528;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: at sites across Indonesia, Papua New Guinea and Australia, but many had painted inï¬�ll designs added later (Fage & Chazine 2009). The animal paintings consist of naturalistic depictions of deer, wild boar (especially at Gua Jufri) and a tapir (at Liang Karim). Cu00e2�� Antiquity Publications Ltd. 1056 pages of the wonderful book by Lucâ��Henri Fage and Jeanâ��Michel Chazine (2010). A whole series of highâ��level and fairly inaccessible caves (especially Gua Masri, Gua Saleh or Ilas Kenceng, Gua Tewet, Gua Tamrin, Gua Ham, Gua Jufri, Liang Karim, and Gua Harto) have red hematite decoration that includes paintings of bovines, deer, a possible tapir (extinct in Borneo), human stick figures with massive headdresses, and honeycombs hanging on tree bran | Keywords: Karst
IPAD_081;Gua Payau;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.325556;1.095694;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: the Austronesians, dated 1,000-2,000 BP. The following year our twosome, plus Pindi Setiawan, one of the rare Indonesians with a passionate interest in the rock art of his country, discovered three new decorated ca ves: Gua Payau, Gua Kambing and most importantly, Liana Sara, with negative handprints, zoomorphic figures, three monkeys pursued by a panther, painted cervids, etched comets, filiform anthropomorphic figures, a vulva engraved betwe 220 ASIAN PERSPECTIVES . 44(1) . SPRING 2005 Fig. 1. Caves and rock shelters located in East Kalimantan (ornately decorated sites shown in italics): 1. Gua Mardua | Keywords: Rock art site
IPAD_086;Gua Tebok;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.314028;1.113056;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: 2006), where burials were un earthed associated with ce- ramics belonging to the Lapita period. The Teouma skele- tons had also undergone post-mortem skull removal. Other important findings from the 2005 excavations in Gua Tebok and Liang Jon are the numerous artefacts re- lated to ochre usage, excavated between the upper levels and the lowest ones at 2.5 m depth. They comprise ochre lumps up to 15 cm in diam eter, worn pencil-like pieces, and and Liang Abu | Keywords: Rock art site
IPAD_087;Gua Tengkorak;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.289306;1.086556;;No;Documented;Not specified;-2000000;1950;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: her series of perhaps six flexed but not directly dated (yet apparently preceramic) burials from Sa-Gung and Duyong caves on Palawan Island in the Philippines. 11 Other flexed or seated burials come from Gua Kimanis and Gua Tengkorak in east- ern Kalimantan,12 the latter identified by Widianto and Handini (2003) as of Australo-148, 279 Gua Lawa, 94, 120, 150, 286 Gua Pawon, 94, 96, 151 Gua Peraling, 138 Gua Pondok Selabe, 276 Guar Kepah, 91, 137-138 Gua Sireh, 256, 270, 273-274, 276, 325, Plate 8 Gua Siti Nafisah, 160-161 Gua Tamrin, Plate 2 Gua Tengkorak, 93, 148 Gua Tewet, Plate 2 Gunung Padang, 210-211, 321-323, 338 Gunung Piring, 279 Gunung Sewu, 67, 93, 96, 120, 140, 150, 275, 286 Guri Cave, 333-334 Hagop Bilo, 145-149 Halmahera, 12, 14, 21, 159-160, 171, 183 | Keywords: Rock art site
IPAD_089;Gua Tewet;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.255167;1.021195;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;In the Tewet Cave, prehistoric rock art was found on the roof of the cave, while a small portion of the wall contains damaged images caused by direct sunlight. Two hundred forty pictures of handprints and anthropomorphic figures (horned animals, lizards, and snakes) were found in the Tewet cave (Fig. 3). The picture of the rock in the cave of Tewet was made using yellow-orange, red, and purple pigments originating from the ochre. While other images created using charcoal produce black hue (Permana, 2015;Balai Pelestarian Cagar Budaya Kalimantan Timur, n.d). The unique characteristic of Tewet Cave was the presence of negative hand stencils which are decorated by various types of patterns such as dots, dashes, lines, and combination of both.;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21 | https://doi.org/10.1016/j.jasrep.2020.102345
IPAD_090;Gua Thamrin;Sangkulirang-Mangkalihat | East Kalimantan;;4326;117.293694;1.094750;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: 004) Gua Tengkorak (2003) Liang Jon (2003) Gua Keboboh (2004) Gua Mardua (1994) Gua Tewet (1999) Liang Ara (1996) Gua Misna (2003) Gua Masri (1998) Liang Sara (1995) Ilas Kenceng (1998) Gua Ham (2001) Liang Karim (2003) Gua Thamrin (2001) 0 mi 0 km NATIONAL GEOGRAPHIC MAPS 10 10 Painted cave (Year of discovery in parentheses) Discovered Excavated EQUATOR BORNEO ASIA AUSTRALIA INDIAN OCEAN AREA ENLARGED INDONESIA a- 2005 National Geographic Society. terpreted as to aesthetics. Series of prints like friezes, as in Gua Mardua (see fig. 8.2) or in Gua Ham (fig. 8.5), fans or triads like in Gua Masri II (see fig. 8.6) or opposite hands, as in Ilas Kenceng, Gua Tewet or Gua Thamrin (see fig. 8.7), are clear indicators that aesthetical concerns a- and/or possibly symbolic structuring a- are also expressed there. As said before, the relatively high number of hand stencils, and thus their probable i | Keywords: Rock art site
