SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_460;Emok Tum Archaeological Site;West Papua | Yapimakot, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.453367;-4.836067;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_461;Apuk Tum Archaeological Site;West Papua | Yapimakot, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.453367;-4.836067;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_462;Tengnon Buk Archaeological Site;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.467583;-4.834467;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_463;Gua Maria;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.648917;-4.92015;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_464;Mimal Katop Archaeological Site;West Papua | Seramkatop, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.63755;-4.920733;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_465;Mengdal Buk;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.61895;-4.8949;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_466;Batom Buk Archaeological Site;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.544417;-4.876167;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_467;Set Bip Archaeological Site;West Papua | Siminbuk, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.537117;-4.8751;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_468;Mer Buk Archaeological Site;West Papua | Siminbuk, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.518617;-4.8705;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/amt.2022.16;Keywords: papua, west papua
IPAD_469;Tanjung Ucokwa Megalithic Site;West Papua | Kotdol, Serambakon, Pegunungan Bintang Regency, Papua;;4326;140.601972;-2.448944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://dx.doi.org/10.24832/amt.v35i1.189;Description: Tempayan Stone is a natural stone that is not modified by humans, in the shape of a half circle like an inverted bowl, is in the sea near the cliff beach, some of the rock bodies are embedded in the water and others appear to the surface in the form of a half circle. In the part of the stone observed above the water surface has a condition that begins to be fragile and cracked | Keywords: papua, west papua
IPAD_502;Watu Sika Rock Art Site;Maluku | Kiltai, Seram Timur, East Seram, Maluku | Seram;;4326;130.937317;-3.866433;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;DOI: 10.24832/kapata.v14i2.534;Description: The motif displayed was dark red using ochre material (hematite) using brush and spray techniques, the type of painting is in the form of dots, lines, outlines, solids, and negatives. The identified rock art specifically, i.e., human figure, negative hand stencil, boat motif, geometric motif, vertical stripe motif, fish motif, and remnants of unidentified motifs. Many rock arts were faded out, some were covered in moss, insect nests, exposed to water flow, and flaking of the cliff wall. On Watu Sika cliff, the remnants of insect nests were yellowish red, and the natural rocks were red were due to the natural process on the cliff wall which can interfere rock art identification. However, as the materials used for rock art on cliff wall were different, so the rock art motif could be identified, and the remaining of the insect nest and the red color of the rock could be distinguished. Based on the results of the analysis it is known that there are 66 rock art motifs on this site, consisting of 10.5% of figurative motifs, 25.7% of non-figurative motifs, and the total of unidentified motifs were 63.8 % of the remaining motifs. It used spray techniques of 45 motifs predominantly, brush techniques as many as 20 motifs, and combination of brush and spray technique was 1 motif. The height of the wall panels of rock art from the terrace surface of the cliff up to the ceiling ranged from about 0.7 to 2.5 meters. Rock art panels on the wall of Watu Sika Cliff could be seen by standing on a boat or sitting on a cliff terrace to see the rock art motifs at a close range.
