SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_002;Liang Bangkai;South Kalimantan;;4326;115.79573760650600;-3.2010572016172000;;No;Documented;Not specified;-12000;-3000;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Fajari, N., & Wibisono, W. (2020). Batu Cave: Prehistoric occupation of Meratus Mountains, South Kalimantan. Berkala Arkeologi, 40, 179-194. https://doi.org/10.30883/jba.v40i2.518;Description: Ceruk Bangkai 3 is a rockshelter site in the Meratus karst (Mantewe, Tanah Bumbu, South Kalimantan). Archaeological surveys in the area report occupation evidence such as faunal remains, freshwater shell, stone/bone artifacts, and hearth traces.
IPAD_008;Liang Batu Ukir;South Kalimantan;;4326;115.7950;-3.2000;;Yes;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.1016/j.jhevol.2006.08.011;Description: c) Distribution of lithik tools at the Sites of Gua Liang Batu Ukir . Based on surface surveys in sector 3, Gua Liang Batu Ukirfound the distribution of lithik tools such a s flakes, flakes tools, point tools, and core stones [3]. The morphological features of flake tools are the same a food and ways to process food resources. Based on the analysis of morphological characteristics of Gua Liang Bangkai 1, Gua Liang Bangkai10, Gua Liang Batu Ukir, Ceruk Liang Susu 1 and Gua Liang Jago , it is known that the selection of residential caves is based on the intensity of sunlight into t he cave room. This factor has caused the cave room to be dry and not moist. In ad | Keywords: Cave
IPAD_134;Gua Batu;South Kalimantan;;4326;116.075187;-2.477611;;No;Documented;Not specified;-6065;-5650;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518;Description: On the flat and dry surface, stone artefacts, pottery fragments, shell artefacts, shells, bones, and a human tooth fragment (premolar) were found. Gua Batu is located in Bukit Batu, a single conical karst hill shaped like an inverted bowl. Bukit Batu stands together with two similar nearby hills arranged in a pattern resembling a cooking stone tripod (tungku). Local communities call it Bukit Tanggar Tungku (Fajari et al., 2018). Based on surface finds, Gua Batu is indicated as a prehistoric habitation cave.
IPAD_777;Gua Payung;South Kalimantan;;4326;115.560;-2.900;;No;Documented;Not specified;-3564;-2335;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_122;Liang Susu;Maluku Islands;;;;;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.1016/j.jhevol.2006.08.011 | https://doi.org/10.1080/15564894.2022.2108947.] | https://doi.org/10.5281/zenodo.3929274;Description: i  is one of the karts in the Meratus Mountains in the Mentewe region, Tanah Bumbu, South Kalimantan. The karst area Bukit Bangkai  consists of several karst hill clusters namely Bukit Liang Bangkai, Liang Batu Ukir, Liang Susu, and Bukit Liang Jago [1]. In this paper we discuss the socio-economic life of the karst cave dwellers at the level of mesolithic culture around 6,000 years ago. The paradigm used to reconstruct the socio -economic life Meratus di Kab. Tanah Bumbu, Kalimantan Selatan, adalah kawasan yang potensial akan situs prasejarah. Perbukitan karst di kawasan ini terdiri dari beberapa gugusan bukit karst yaitu Bukit Liang Bangkai, Liang Batu Ukir, Liang Susu, dan Bukit Liang Jago. Beberapa gua hunian telah ditemukan di kawasan ini, antara lain Liang Bangkai di Dukuhrejo, Gua Payung di Bulurejo, dan Liang Ulin di Sukadamai. Liang Bangkai merupakan situs hunian dengan jejak | Keywords: Cave
IPAD_135;Gua Hunian;South Kalimantan;;;;;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: asan Karst di Desa Dukuhrejo, Kecamatan Mantewe, Kabupaten T anah Bumbu, Kalimantan Selatan, Laporan Penelitian Arkeologi. Banjarbaru, Balai Arkeologi Kalimantan Selatan. --------- (2015) Penelitian Survei dan Ekskavasi Gua Hunian pada Bukit Lancip dan sekitarnya, Desa Dukuhrejo, Kecamatan Mantewe, Kabupaten T anah Bumbu, Kalimantan Selatan. Laporan Penelitian Arkeologi . Banjarbaru, Balai Arkeologi Kalimantan Selatan. Belum diterbitkan. Bambang rabah, fragmen keramik proselen, fragmen keramik stoneware, fragmen gigi, fragmen manik -manik, fragmen mollusca, fragmen tulang, dan fragmen tengkorak. Hasil penelitian tersebut dapat disimpulkan sebagai berikut. 3.3.1 Gua Hunian Pemukiman atau hunian merupakan salah satu kunci untuk mengetahui relasi antara manusia dan ruang. Hunian pada masa ini sangat berlangsung pada faktor lingkungan, karena cenderung melakukan strategi subsistensinya pada | Keywords: Karst
IPAD_136;Gua Liang Jago;South Kalimantan;;;;;;No;Documented;Not specified;;;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.1016/j.jhevol.2006.08.011;Description: of Gua Liang Batu Ukir . For the clarity and accuracy of the distribution of lithik tools, the need for further research activities at the Sites of Ceruk Liang Susu 1 [3]. e) Distribution of lithik tools on the Sites of Gua Liang Jago Based on the excavation research box of the research team at the Archaeological Center of South Kalimantan in the year 2017, it is known that the distribution of lithik tools on this site is dominated by flake, flake to food and ways to process food resources. Based on the analysis of morphological characteristics of Gua Liang Bangkai 1, Gua Liang Bangkai10, Gua Liang Batu Ukir, Ceruk Liang Susu 1 and Gua Liang Jago , it is known that the selection of residential caves is based on the intensity of sunlight into t he cave room. This factor has caused the cave room to be dry and not moist. In addition, the factor of air fentilation, | Keywords: Cave
IPAD_137;Gua Niah Serawak;South Kalimantan;;;;;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: nan besar pada masa- masa awal membudidayakan padi mereka hanya menguliti pohon dan menunggu pohon tersebut menjadi kering dan mati. Mereka tidak menebang karena terbatasnya peralatan yang dimiliki. Penelitan terbaru di Gua Niah Serawak diperoleh data pertanggalan mengenai domestikasi padi sudah berlangung lebih tua dari 4000 BP. Pertanian Padi di Lahan Bawah Krayan Dok. Balai Arkeologi Kalimantan Selatan 30 31 uburan dengan tempayan berkembang baik di Asia Daratan maupun di Asia kepulauan pada masa akhir Paleolitik sampai pada masa kemahiran seni tuang perunggu besi. Menurut Bellwood, tradisi kubur tempayan yang berkembang di Gua Niah Serawak diperkirakan berasal dari sekitar 1500 BC. Kubur tempayan di Thailand di duga berasal dari awal Masehi (Belwood, 2000: 350). Hal ini sebagai perbandingan bahwa kubur tempayan juga berkembang di luar Indonesia khususnya
IPAD_138;Gua Sugung;South Kalimantan;;;;;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: B. (2015). Potensi Arkeologi Prasejarah Kabupaten Tanah Bumbu dan Ancaman yang Dihadapinya. Naditira Widya, 9(1), hlm. 1â14. Sugiyanto, B., Cahyaningtyas, Y. N., Sulistyo, R. B., & Sundoko. (2015). Penelitian Prasejarah Gua Sugung, Desa Mantewe, Kecamatan Mantewe, Kabupaten Tanah Bumbu, Kalimantan Selatan. Banjarbaru. Sugiyanto, B., & Jatmiko. (2014). Ekskavasi dan Eksplorasi Si tus-situs Hunian Prasejarah di Kawasan Karst Mantewe, Kabupaten Tana aten Tanah Bum -bu, Kalimantan Selatan. Berita Penelitian Arkeologi No.7. Balai Arkeologi Banjarmasin, Banjarbaru, pp. 1-56 (2014). [9] Sugiyanto, Bambang, Yuka Nur -tanti, Restu Budi Sulistyo. Penelitian Ekskvasi Situs Gua Sugung, Desa Mantewe, Kecamatan Mantewe, Kabupaten 98 B. Sugiyanto | Keywords: Karst
IPAD_140;Liang Ulin;South Kalimantan;;;;;;No;Documented;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.7152/jipa.v33i0.14511;Description: N. M. E., & Kusmartono, V. P. R. (2013). The excavation of Gua Payung, South Kalimantan, Indonesia. Bulletin of the Indo-Pacific Prehistory Association, 33(Figure 1), hlm. 20â23. Fajari, N. M. E., & Oktrivia, U. (2015). Liang Ulin 2: Informasi Baru Prasejarah Kalimantan Selatan. Naditira Widya, 9(2), hlm. 93â106. Fajari, N. M. E., Wasita, Herwanto, E., Sugiyanto, B., Kuswanta, G. D., Suryono, T., & Wibisono, M. W. (2018). Eksplorasi Arkeologi Kaw ce humans. Thus the supporters of mesolithic culture in the karst area of Bukit Bangkai have a strong affiliation with supporters of mesolithic culture in Niah Cave, Serawak, Tengkorak Cave, Keboboh Cav e, Liang Jon and Liang Ulin [14]. As explained earlier, socio -economic life revolves around the residential caveelection activities, ways of making tools, ways to catch hunter animals and gatherings, ways to gather Advances in Social Science, Ed | Keywords: Karst
