SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_011;Gua Pondok Selabe;South Sumatra;;4326;103.9189;-4.1361;;No;Documented;Not specified;-5895;-4425;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: obsidian artifacts were recovered from the Neolithic levels of Pondok Selabe 1 dated to circa 3000â2000 BP (Spriggs et al. 2011). The Eastern Neolithic stream never penetrated this far west in southern Indonesia. However, there are also some rare incised and punctate sherds in the site (Simanjuntak 2016), which, added to at least three more from nearby Gua Pondok Selabe (Widianto 2011:131), do provide a certain lifeline for those who wish to claim an Austroasiatic migration into western Island Southeast Asia prior to the arrival of the Austronesianâ speaking peoples. I was inclined to rare and it appears that the Eastern Neolithic stream never penetrated this far west in Indo nesia. However, there are also some rare incised and punctate sherds in Gua Harimau (Simanjuntak, 2015a), and from nearby site Gua Pondok Selabe (Widianto 2011). This fact provides a possibility about the Austroasiatic migration model into western Island Southeast Asia alo ng with the Austronesian speaking peoples. Bellwood shows that incised and i
IPAD_205;Gua Putri;South Sumatra;;4326;103.920;-3.690;;No;Documented;Not specified;;;Archaeological Sites;Shell midden / Shell mound / Bukit Kerang / Kjokkenmoddinger;;;;No;https://doi.org/10.30883/jba.v40i2.518 | https://doi.org/10.30883/jba.v30i1.385 | https://doi.org/10.30883/jba.v41i2.855 | https://doi.org/10.24164/pnk.v2i1.21;Description: ve been reported in the same region from inland ter - races and flat limestone rises to about 150 m above sea level. Recent research in the lower layers in TÃ¶gi Ndrawa Cave on Nias Island, to the west of Sumatra, and in Gua Putri, Gua Pandan, and Gua Harimau caves in southern Sumatra has yielded more assemblages of Hoabinhian unifacial pebble tools, in the Nias site in association with shell midden and in Gua Harimau in association with four fol e site, Sem uhun River, and Muara Cawang River (Negeri Sindang) (Wibowo et al. 2016), see Fig. 2. E.1. There are some archaeological cave sites in the Padang Bindu karst area, such as Gua Harimau, Gua Pand an, Gua Akar, Gua Putri, Karang Pelaluan, Karang Beringin, also Pondok Selabe, and o ne of the most important sites is Gua Harimau. Fig. 2. E.1. Map of Padang Bindu Karst and surrounding area (Simanjuntak 2016). General condition of Gua Harima | Keywords: Cave
IPAD_210;Gua Harimau;South Sumatra;;4326;103.9311111;-4.0740278;164;No;Documented;Not specified;-23000;-1700;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;Yes;Forestier, H., Simanjuntak, T., Driwantoro, D., & Siregar, D. A. (2015). The excavation of Gua Harimau’s western gallery: A contribution to the terminal Pleistocene–early Holocene archaeological records in Sumatra. Quaternary International, 416, 88–100. https://doi.org/10.1016/j.quaint.2015.11.037;The chronostratigraphic sequences and archaeological remains from Gua Harimau are therefore of exceptional significance, as they represent the earliest phase of cave habitation on this island. Furthermore, the archaeological deposit at Gua Harimau has the potential to reveal the material culture of the Late Pleistocene population in Sumatra that is currently unknown. It should be noted that while the appearance of anatomically modern humans on this island can be traced back to 73–63 ka (Westaway et al., 2017), none of its material cultures have been discovered to date. Excavation in Gua Harimau uncovered a total number of 82 individuals from different cultural periods. Cranio-morphometric and ancient mtDNA analysis by Matsumura et al. (2018) suggest that human remains in Gua Harimau represent at least two and perhaps three distinct populations from different periods of occupation. However, it is difficult to identify precisely the timing of each occupation period. This is due to the intensive activity of burial in the past
IPAD_233;Gua Pandan;Sumatra;;4326;103.909586;-4.070772;;No;Excavated;Not specified;-11690;-8987;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Forestier, Hubert & Driwantoro, D. & Guillaud, Dominique & Budiman, & Siregar, Dio. (2006). New data for the prehistoric chronology of south Sumatra. Archaeology: Indonesian Perspective. R.P. Soejono's Festschrift. 177-192. https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers17-07/010041012.pdf;A large excavation around 30 m2 has been organised and produced many stone artefacts, small rests of forest fauna (deer, wild boar, monkey) and shells. Dates obtained from level 2 and 3 are between 9270 B.P. and 6590 B.P. These levels display a unique archaeological deposit, comprising some lithic artefacts so far unknown in South Sumatra. We identified diverse monofacial pebble tools (in chert and limestone) which were similar to the classic Hoabinhian tool-kit, called Sumatralith in the scientific litterature. These monofacial tools/Sumatraliths were produced through a shaping method and were associated with a production of flakes retouched in scrapers, notches or denticulated. The raw material was brought back from the river and was various: chert, andesit, fossilised wood, jasper, sandstone, etc.
IPAD_415;Silabe 1 Cave;Sumatra | Padang Bindu, Semidang Aji, Ogan Komering Ulu Regency, South Sumatra | Hoabinhian,Neolithic;;4326;103.932069;-4.067222;;No;Documented;Not specified;-10000;500;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/kpt.2023.3024;Description: Specimen GS1 was found in LU1 (Lubang Uji 1 or test pit 1) during the 2002 fieldwork. It was recorded as ‘batu bergores’ (incised/grooved stone) with inventory number SLB1/02/LU1/2256. The specimen was unearthed from a light brown sandy-clay layer (layer 2), at the depth of 77 cm below the cave floor. It was found together with potsherds and flake tools made of obsidian, chert, and andesite (Simanjuntak et al., 2006) | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: SLB1
IPAD_416;Harimau Cave;Sumatra | Padang Bindu, Semidang Aji, Ogan Komering Ulu Regency, South Sumatra | Hoabinhian,Neolithic;;4326;103.931111;-4.074028;;No;Documented;Not specified;-15995;-15276;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.55981/kpt.2023.3024;Description: The paintings of parallel, circular, and wavy lines made by red pigment (possibly ochre) were found on the walls and ceiling. However, no absolute dating has been carried out on these paintings and thus, it is difficult to assign them to a specific cultural period. An attempt to date the paintings was made by describing the similarity of ‘chevron’ motifs to local pottery (Ansyori, 2016), which would make the paintings no older than the Neolithic period1 (Widianto et al., 2015). | Keywords: sumatra, hoabinh, neolithic | Sub-cultural Period: Palaeometallic | Alternative_Name: Gua Harimau
IPAD_546;Kota Raya Lembak Dolmen Burial;South Sumatra;;4326;103.25566667;-3.97027778;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Indriasturi, K. (2015). Seni Lukis dan Seni Gores Pada Megalitik Pasemah Provinsi Sumatera Selatan. Dalam Siddhayatra, 20, 129-141.;Prehistoric paintings on the walls of stone chambers at the Kotaraya Lembak site, Pasemah. This serves as a decoration for the stone chamber. On the stone walls there are symbolic paintings. The forms of painting mostly depict motifs of tendrils, curves, buffalo horns, owl, and dragon head. According to Yuwono Sudibyo, the creation of the vine was inspired an environment where ferns grow with circular leaf buds. This painting is depicted with red paint made from red, yellow ocher which is made from clay and white from kaolin.
IPAD_545;Talang Pagar Agung Dolmen Chamber;South Sumatra;;4326;103.29313889;-3.99691667;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Indriasturi, K. (2015). Seni Lukis dan Seni Gores Pada Megalitik Pasemah Provinsi Sumatera Selatan. Dalam Siddhayatra, 20, 129-141.;At the Talang Pagar Agung site, two stone chambers were discovered in the middle of a coffee plantation. The chambers are aligned north-south. Stone Chamber 2 features a somewhat faded ochre painting depicting a tiger's face. Furthermore, circular scratches were found on the chamber walls, measuring 34 cm in diameter. The ceiling of the chamber also features a decorative technique of intersecting lines forming a grid (a woven motif?), measuring 36 cm x 34 cm. Furthermore, scratches resembling human hands and fingers and reptiles are visible on the north wall.
IPAD_544;Jarakan Megalithic Site;South Sumatra;;4326;102.95461709097599;-3.840562253143183;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Indriasturi, K. (2015). Seni Lukis dan Seni Gores Pada Megalitik Pasemah Provinsi Sumatera Selatan. Dalam Siddhayatra, 20, 129-141.;The carvings on this rock cliff are engraved on one side of a large stone wall. The monolith is oriented north-south, while the rock art itself faces west. The paintings on the rock wall are divided into six parallel rows (six walls). The carvings on these walls depict human heads, decorated with human faces and necks, with slight variations. Below these six walls is another wall with carvings depicting a masked human face without a neck. Not all of the masked images are clearly visible, as the carvings on the third and fifth walls are somewhat worn. However, the lines of the carvings still reveal the masked decorations, except on the sixth wall, which is so worn that it is difficult to recognize the shape of the painting. What is interesting about this rock art is the carving in the shape of a five-petaled flower between the first and third frames (Purwanti, 2003).
IPAD_543;Tegurwangi Megalithic Site;South Sumatra;;4326;103.20820400040172;-4.045278485934452;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;Indriasturi, K. (2015). Seni Lukis dan Seni Gores Pada Megalitik Pasemah Provinsi Sumatera Selatan. Dalam Siddhayatra, 20, 129-141.;a) The figure depicted is a person holding a bronze drum, while the right hand carries something. The head wears a kind of hat with a dangling tassel. The body is slightly bent in a half-running position. Physically, the eyes are depicted as bulging, the mouth wide, the lips thick, and the teeth large. Circles are marked on each shoulder, arm, hip, and leg joint. The object of the scratches. b) The scratches of a human face found at the Tegurwangi site are related to the belief in ancestral spirits. These simple depictions of human forms and faces likely depict ancestral spirits and the underworld. In the image, three scratches are visible depicting a human form. The human form is rigid, with only the essential parts being scratched. The face is depicted as oval, the eyes and mouth are made into small holes, and the nose and ears are not carved. There are straight lines around the head. The person is depicted very simply with outstretched arms.
