SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_007;Gua Kuya;Konawe | Southeast Sulawesi;;4326;122.002;-3.031;267;No;Excavated;Not specified;;;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;https://doi.org/10.30883/jba.v40i2.518;Description: Several discoveries were made at the Kuya Cave site. Six types of pottery motifs, two types of patterned and plain ceramic fragments, two patterned stoneware fragments, three types of stone fragments, including one stone fragment, one fragment of a stone net weight, three fragments of a stone maneuver tool, 12 skull fragments, three bone fragments, including one jawbone, one femur, one foot bone, 20 molars, eight canines, four incisors, four bead fragments, five bracelet fragments, and two types of mollusk fragments were recovered.
IPAD_010;Gua Metanduno;Muna | Kabori | Southeast Sulawesi;;4326;122.659361;-4.898472;;No;Documented;Not specified;;;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;https://doi.org/10.22459/TA48.11.2018.06;The rock paintings are generally still visible, notwithstanding some vandalism on the left wall and inside the cave. Some of the paintings are covered with green lichen and some of the images are peeling away from the wall. Most of the paintings are in the cave's well-lit zone. Kosasih (1985) originally recorded 316 paintings at this site. The painted motifs include a wide variety of human figures, horses, deer, pigs, dogs, chickens, snakes, centipedes, boats, sun figures, hand stencils, and unidentifiable motifs (Figure 6.8). The large corpus of work was created mainly using brown and red ochre, along with charcoal for the black figures. The painting techniques used at the site consisted of applying pigment directly to the walls producing solid stick figures, outlines and solid infill depictions of humans and animals, except for the hand stencils, which were made with sprayed pigment. One of the hand stencils can be found on the inside of the cave and another five at the right of the entrance, all of which were found later during the 2015 survey at the site. The Gua Metanduno human figures are depicted in a multitude of activities and dynamic actions, including mounted and unmounted hunters, humans in combat, humans with hands on their waist, flying humans, and apparently unfinished paintings. The cave paintings overall are dominated by horses, which probably arrived in Muna within the last 500 years or so (see Discussion). The rock art often features boats with passengers, perhaps suggesting inter-island voyaging for trade and/or combat.
IPAD_165;Gua Talimbue;Towuti | Southeast Sulawesi;;4326;121.693889;-3.031028;;No;Documented;Not specified;-19000;-2000;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;Suryatman. (2017). Teknologi litik di Situs Talimbue, Sulawesi Tenggara: Teknologi berlanjut dari masa Pleistosen akhir hingga Holosen. Kalpataru, 26(2), 79-94.;The occupation chronology based on dating results is divided into four phases: Late Pleistocene (19000-10000 BP), Early Holocene (10000-7000 BP), Middle Holocene (7000-4500 BP), and Late Holocene (4500-2000 BP). Lithic technology at Talimbue differs from the Toalean industry commonly found in South Sulawesi. There is no evidence of Maros points or microliths, including in the latest occupation phase at Talimbue. The chert raw material also differs from typical Toalean chert, chert at Talimbue is dark brown and greenish-gray. Cave type.
IPAD_424;Metanduno Cave;Muna | Kabori | Southeast Sulawesi;;4326;122.659361;-4.898472;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: The rock art in this site is fairly maintained although there are signs of vandalism on the left wall and inside the cave. Several drawings are covered by green moss and some images have peeled off. Most of the rock artworks are in the brighter side of the cave. The number of drawings in Metanduno Caves is at least 316 artworks (Kosasih, 1984). The images consist of a variety of human figures horses, deers, boars, dogs, chickens, snakes, insects, boats, the sun, negative hand stencils and drawings that could not be identified. The coloring base is ochre that creates reddish and brown colors, while charcoal results in black color. The drawings mostly use the brush technique to create human figures and animals by drawing lines, as well as solid infill, however the hand stencils apparently apply the spray technique. The negative hand stencils in this cave were not reported until the documentation in 2015 that noted seven hand stencils, consisting of one hand stencil in the inner part of the cave and six hand stencils that were drawn on the right side of the cave opening. Most of these negative hand stencils were plain, but one hand stencil was ornamented with pointed fingers. The drawings in Metanduno Cave were spread out on the left wall of the cave opening, in the inner part of the cave, and on the right side of the cave mouth. On the left wall, the drawings show figures of men, soldiers mounting horses, flying men, boat with passengers, the sun and geometric shapes. All of the drawings on the wall were small in dimension or miniature, and the height of the drawing is one to two meters high measured from the floor of the cave. Most of the drawings inside the cave are miniature in size and dominated by various figures of humans in different activities. The other drawings include images of deer, horses, people riding ‘cow horn’ shaped boats (berlinggi or raised bow and stern), the sun, hand prints and several drawings that were unidentified. The main pattern of the drawings would usually depict a large size horse or a cow oriented to the right, super-positioned on the hind feet. The genitals of the animal are clearly drawn. On the left and right side of the wall, a drawing of a boat with more than one passenger in the boat is sketched. The negative drawing of a hand is drawn in the inner part of the cave, but only showing three fingers facing upwards at a height of 1.3 meters from the cave floor, positioned next to a drawing of a human figure. Meanwhile on the right wall the drawings portray the scenes of men riding horses with their dogs hunting deer and wild boars. The horse figures are drawn out of proportion, as the horses are much larger than the men riding on it. Another scene shows a man spearing a deer and a soldier riding a horse holding a tool. On the walls, there are drawings of negative hand stencils with pointed fingers that were drawn under the drawings of chickens. Next to it, there are two more drawings of negative hand stencils. One of the hand stencils can be identified on the rock boulder with its fingers pointing outward, while two other hand stencils were drawn on the ceiling of the rock boulder that is slightly hidden. On this part of the wall, the drawings of horses are more dominant compared to the drawings on the inner part of the cave and the left side of the cave mouth. The drawings of humans vary, ranging from hunters on horse back, hunters on foot, soldiers riding horses, soldiers on foot, flying men, horse riders, men fighting, on horse back and with escorts, man standing with hands on the waist, unfinished drawing of a man, and an unfinished drawing of horse rider (Kosasih 1984). | Alternative_Name: Liangkobori Cave
IPAD_425;Ida Malangi Rockshelter;Southeast Sulawesi | Muna Island;;4326;122.659361;-4.898472;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: Currently, the rock art has deteriorated off as it is positioned in an open space. There are seven images colored in brown using the brush technique. The images include human figures, soldiers, horse rider and with an escort, and three other images could not be identified.
IPAD_426;Kabori Cave;Muna | Kabori | Southeast Sulawesi;;4326;122.659472;-4.898694;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: In Muna language, the name of the Kabori Cave means: a cave with writings (or drawings). According to Kosasih (1984), there are 160 rock artworks in the Kabori Cave, while Laode Aksa (1991) had identified 125 drawings that are divided into two groups namely, the northern panel (98 drawings) and the southern panel (27 drawings). Meanwhile, the Makassar Office for Cultural Heritage Conservation recorded 76 rock artworks in 2014. The rock art from the exterior is positioned on the left wall of the cave opening and on the ceiling of the cave opening to the right. In the inner part of the cave, the rock art is spread along the cave wall and most of them are drawn on the left side of the cave wall. As many as 24 types of drawings are identified such as figures of humans (16), hunters mounting on horses (7), hunters without horses (12), soldiers on horseback (5), on-foot soldiers (17), horse-riders (18), crocodile hunters (3), flying men (9), figures of humans (damaged, 4), unfinished drawings of soldiers (1) unfinished drawings of soldiers on horses (2), an abstract human (1), humans fighting (2), a man on horseback with an escort on foot (1), dancers (8), horses (4), deer (2), speared deer (2), dogs (2), a large lizard (1), boats (14), damaged boats (2), sun (1), and 24 other drawings that could not be identified. In addition, there is one image of a negative hand stencil on the right side of the cave wall that was identified in 2015. From the outside, in the upper right hand part of the cave, there are two figures of a man fighting, both wearing soldier outfits holding weapons on the left and right hand, and another figure that is unfinished. Entering the cave, on the right hand side of the cave wall there is a boat with a “linggi” (a boat with horn-shaped bow and stern) that is drawn with an outline technique showing a passenger on the boat, and a crocodile hunter. In the center wall of the cave, the drawings show two scenes of men spearing a deer, a boat, a black centipede, and horseback rider. On the left wall of the cave, there are two sail boats with passengers and a steering device, the drawings of humans are more varied on the left wall of the cave ranging from soldiers holding weapons, soldiers on horseback holding weapons, men piercing a deer with a spear, flying man, and a boat with passengers but with no sail. Different from the rock art in the Metanduno Cave, the rock art depicting animals in the Kabori Cave are generally smaller. Furthermore, the drawings of the boats are quite varied, ranging from drawings of boats with passengers and oars and a steering rod and a sail that are not apparent in drawings in the Metanduno Cave. The negative hand stencils that were drawn using the spraying technique in the site are positioned on the right side of the cave wall near the column pillar, but the remaining images only showed two knuckles of a hand. The drawings in the Metanduno Cave, were quite different from the drawings in the Kabori Cave that sowed negative hand stencils with normal fingers and no ornaments. In general, the drawing technique applied was the line brush technique to create the images of man and animal, while the images of the speared deer and boat used the outline and solid infill. The dominant colors of the drawings are brown, with shades of black and red, but the drawings have mostly faded away and some drawings were vandalized with graffiti on the wall. | Alternative_Name: Liang Kabori
IPAD_427;Sugi Patani Rockshelter;Muna | Kabori | Southeast Sulawesi;;4326;122.668361;-4.908333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: This niche was found in 1996 by La Hada, the caretaker of the Kabori Cave Complex, along with the other 18 rock art images on the cave wall. The rock art images were generally drawn using the fingers to form lines or outlines with brown coloring that were positioned at 30 cm to 150 cm above the niche floor. The dominant images that were depicted included human figures, followed by geometrical shapes. In this site there were 10 images of human figures, which among them showed two images that were identified as soldiers similar to the figures of soldiers in the cave of Metanduno and Kabori. Another famous drawing from this site is the image of a human figure playing a kite that was drawn 120 cm from the niche floor and was visible from the niche opening. The drawing of this kite is now used as an icon for the annual kite festival in Muna District.
IPAD_428;Lakan Taghu Rockshelter;Muna | Kabori | Southeast Sulawesi;;4326;122.670167;-4.909972;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: Visible from the footpath heading to Pominsa Cave, there were five rock art images on the first chamber wall consisting of cow-horn shaped boats with a mast on the left, two human figures facing each other, and one human figure facing the right on the lower part of the image. Below the human figures there was one geometric motif of a comb or animal figure. On the exterior wall, there were human figures facing to their right side, drawn on the lower part of the wall. On the exterior walls, there were images of human figures standing akimbo facing the left with both legs slightly curved. Inside the niche, there were at least another 27 images on the cave wall, including images of humans riding some kind of animal, figures of soldiers also showing akimbo position with their hands on their hips facing the right and several triangular shapes facing opposite of each other but there were also several unfinished drawings of the body parts of soldiers. In addition to these drawings, there were several images of soldiers facing one another or some were standing individually with arms akimbo and one arm stretched to the front. There were also figures of some kind of four-legged animal. Still inside the chamber which leads to the second chamber, there is a drawing of a flying human figure with the head facing downwards on the left side, while on the right side, there is a drawing of a human figure riding a horse facing the right. On another rock boulder, there are images of two boats each with a single mast, with a figure of a soldier holding the right side of one of the boats. The images were painted in brown using the finger painting technique. Unfortunately, this rock art site has been spoiled by vandalistic graffiti found in the chambers, as well as some charcoal sketches of human figures.
IPAD_429;Pominsa Cave;Muna | Kabori | Southeast Sulawesi;;4326;122.670528;-4.910556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: Pominsa Cave was first observed by the Makassar Archeology Office in 2005 and was then documented by the Makassar Preservation of Cultural Heritage Office (BPCB) in 2014. On the cave exterior, there were imprinted rock art images that consisted of negative handprints, human figures, animal figures, kites and geometric shapes. Upon the discovery of these handprints in this site in 2005 by the Makassar Archeology Office, the opinion that there were no negative handprint images on Muna Island was rebuffed. Inside the cave, various images of human figures in a standing position, riding animals, or on a boat, holding weapons, and other geometric images were also found. Most of these images were printed on the wall at a height of 30 cm up to 200 cm from the cave floor using the brush technique and brown coloring. In addition to these images, there were other images that were drawn with black charcoal sketches. | Alternative_Name: Gua Pominsa
IPAD_430;La Kolumbu Cave;Southeast Sulawesi | Muna Island;;4326;122.665889;-4.89725;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;http://repositori.kemdikbud.go.id/id/eprint/10196;Description: Most of the rock artworks discovered in this cave are brown in color, using a brush technique that created images of man, horseback riders, soldiers, horses, deer, boats, the sun and other abstract objects, however, the drawings have been tampered and vandalized with graffiti by visitors. | Alternative_Name: Gua La Kolumbu
