SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_194;Leang Sarru Rockshelter;Talaud | Sulawesi;;4326;119° to 127°E;4°30' to 21°12' N;;No;Documented;Not specified;-35000;-1000;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;Fuentes, R., Ono, R., Sofian, H. O., & Miranda, T. (2019). Technological and behavioural complexity in expedient industries: The importance of use-wear analysis for understanding flake assemblages. Journal of Archaeological Science: Reports, 28, 102012. https://doi.org/10.1016/j.jasrep.2019.102012;Four units located inside the rockshelter (C3, C4, D2, and D3) were excavated to a depth of 70 cm before reaching bedrock. Shells, lithic flakes, potsherds, hammerstones, ochre, and a stone anvil were recovered from four stratigraphic layers. Leang Sarru has four main occupation phases: c. 35,000-31,000 BP (1st phase, Layer 3) with stone tools and shells, c. 22,000-17,000 BP (2nd phase, Layer 2B) with more intensive habitation and the bulk of lithic production, c. 10,000-8,000 BP (3rd phase, Layer 2A), and no habitation after 8,000 BP until reoccupation during c. 2,000-1,000 BP (Metal Age). Layer 1 (Metal Age) contains potsherds similar to jars associated with the Metal Phase (Bellwood, 1976), also found in Leang Buiduane, about 20 km north of Leang Sarru (Tanudirjo, 2001, 2005, Ono et al., 2010).
IPAD_787;Leang Tahuna;Merampit (Talauds);;4326;126.800;4.200;;No;Documented;Not specified;-12117;-11340;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_788;Leang Tuwo Mane'e;Karakelong (Talauds);;4326;126.820;4.210;;No;Documented;Not specified;-5112;-4355;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_789;Leang Balangingi;Karakelong (Talauds);;4326;126.810;4.200;;No;Documented;Not specified;-1176;-663;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_790;Leang Buidane;Salebabu (Talauds);;4326;126.750;4.180;;No;Documented;Not specified;-662;-327;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_791;Leang Sarru;Salebabu (Talauds);;4326;126.760;4.185;;No;Documented;Not specified;-36085;-32960;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_793;Leang Buida;Kabaruan (Talauds);;4326;126.800;4.200;;No;Documented;Not specified;-893;-631;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;No;;
IPAD_156;Bukit Tiwing Leang Buida;Sulawesi;;;;;;No;Excavated;Not specified;;;Archaeological Sites;Quarry / Raw material source / Obsidian source / Chert source;;;;No;https://doi.org/10.3406/arch.1976.1271 | https://doi.org/10.1016/j.jasrep.2023.103871 | https://doi.org/10.1016/j.jasrep.2023.103871;Description: ae 0 0 4 (1) 0 0 0 0 0 4 (1) 8 Muraenidae 0 0 0 0 1 0 0 0 1 8 Holocentridae 0 0 0 1 0 0 0 0 1 8 Labridae 0 0 0 0 0 1 0 0 1 Total 1 2 21 6 6 3 0 0 39 (25) Source: Rintaro Ono. T errestrial resource use at Leang Buida and Bukit Tiwing Leang Buida produced 409 NISP of mammal, bird and sea turtle remains, and over 80% of them were unearthed from Layers 2 and 3 (Table 15.11). Although the total number and volume of animal remains is limited, the available identific unger, but it is so far the first excavated case of a clay spindle whorl in the Sangihe-Talaud Islands. Marine resource use in Leang Buida and Bukit Tiwing Fish and shell remains were excavated from both Leang Buida and Bukit Tiwing. Leang Buida produced the larger Numbers of Individual Specimens (NISP): 21,487 NISP of shell remains (about 50 kg) and 356 NISP of fish remains. Bukit Tiwing produced only 3,301 NISP of shell remains a | Keywords: Excavated site
IPAD_182;Leang Cadang;Sulawesi;;;;;;No;Documented;Not specified;-550;400;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.3406/arch.1976.1271 | https://doi.org/10.1016/j.jasrep.2023.103871 | https://doi.org/10.1016/j.jasrep.2023.103871;Description: of the Gunung Sewu caves, is stratigraphically dated to after 1000 bce (Widianto 2006:178). Other examples associated with either jar or supine inhumation burial come from Anyer and Plawangan in Java, Gilimanuk in Bali, Leang Cadang in southern Sulawesi, Melolo in Sumba, and Leang Buidane in the Talaud Islands. 15 These are all Early Metal Age, dating after 500 bce , and some of the Anyer and Melolo crania are stated to have continuing AustraloâPap lle de l'archipel indonÃ©sien. Son travail typologique s'est effectuÃ© sur la base du matÃ©riel des grottes situÃ©es principalement Ã  l'Ouest du pays comme : Leang Panameanreanga, Leang Saripa, Leang Uleleba, Leang Balisao, Leang Cadang, Panganreang Tudea, Leang Pattae, Leang Tomatua Kacicang, Leang Cakondo, etc. (van Heekereen, 1972) (fig. 3). PrÃ¨s d'une vingtaine de sites rÃ©pertoriÃ©s ont permis, par des ramassages de surface, de constituer la pr | Keywords: Burial site
IPAD_187;Leang Mandeâet;Sulawesi;;;;;;No;Documented;Not specified;-2580000;1950;Archaeological Sites;Rockshelter / Rock shelter / Ceruk;;;;No;https://doi.org/10.3406/arch.1976.1271 | https://doi.org/10.1016/j.jasrep.2023.103871 | https://doi.org/10.1016/j.jasrep.2023.103871;Description: caled to each other based on their average recorded diameters. 218 Figure 14.1: Location of the Sangihe-Talaud Archipelago, the major Talaud Islands, and the sites discussed in the text. 225 Figure 14.2: Stratigraphy of Leang Mandeâet showing the location of the two dates recovered (black squares). Layers are indicated by numbers on the section
