SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_056;Pawon Cave;West Java;;4326;107.43713330939137;-6.822980888999699;;No;Excavated;Not specified;-2580000;1950;Archaeological Sites;Cave / Gua / Liang / Ceruk;;;;Yes;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: was vegetation dynamic in this region, but since 8000 BP, the climate is similar to the present condition. A slightly drier condition and human impact were recor ded around 5000 BP (Stuijts, 1993), but according to the Pawon Cave, the highland of West Java was already occupied by the Preneolithic population at least since the boundary of Pleistocen e Holocene around 10 Ka BP. Fig. 2. B.13. Stratigraphy of Pawon Cave (Yondri 2005). Human Remains are still in t he conservation process and could not be analyzed. Fig. 2. B.14 . Flaxed burial of Pawon 3 individual (Yondri 2005) and obsidian arti facts of Gua Pawon (Ferdianto 2008). The Significance Until recently, Pawon Cave is considered to be the oldest cave habita tion in the western part of Java, which occupied at least since the transition o f Pleistocene and Holocene around 10 Kya. Pawon Cave habitant also represents the human pop ula | Keywords: Burial site
IPAD_061;Wajak Cave;East Java;;4326;111.84610502252421;-8.183778167570502;;No;Documented;Not specified;-2580000;-11700;Archaeological Sites;Cave / Gua / Liang / Ceruk;Human fossils from Wajak, or better known as Wajak Man which is noted as Wajak 1, have been discovered by von Rietschoten in 1888 during exploration prospecting activities at the marble mine area in Tulungagung. The Wajak 1 found in cave sediments during disorganized excavation, therefore the stratigraphic position of the fossil was uncertain.;;;Yes;https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1080/15564894.2020.1868631 | https://doi.org/10.1088/1742-6596/1341/3/032047 | https://doi.org/10.1088/1742-6596/1341/3/032047;Description: 200 P. STORM Van den BRINK, L.M., 1982: On the mammal fauna of the Wajak Cave, Java (Indonesia). Mod. Quatern. Res. SE Asia, 7: 177-193. Van den BRINK, L.M., 1983: On the vertebrate fauna of the Goea Djimbe Cave, West Java (Indonesia). (Internal report, not intended for publication). Van ES, L.J. Java, Indonesia): A Palaeopedological Approach for Reconstructing â (Javanese Homo erectus) Palaeoenvironment.â100. Van den Brink, L. M. 1982. âOn the Mammal Fauna of the Wajak Cave, Java (Indonesia).â93. Brongersma, L. D. 1935. âNotes on Some Recent and Fossil Cats, Chiefly from the Malay Archipelago.â89. | Keywords: Cave
IPAD_217;Semedo;West Java;;4326;109.279583;-6.965333;;No;Documented;Not specified;-1800000;-1700000;Archaeological Sites;Settlement / Habitation / Permukiman / Kampung;;;;No;https://doi.org/10.55981/jba.202 | https://doi.org/10.24832/papua.v7i2.22;Description: and with the Bandung Geological Museum and the Sangiran Early Human Site Conservation Center. ACKNOWLEDGEMENTS The authors would like to thank the parties either involved in drafting the manuscript or in research on the Semedo Site since 2005 by the Regional Agency for Archaeological Research in D.I. Yogyakarta Province and BPSMP Sangiran and the 2019 Bumiayu Site by the Regional Agency for Archaeological Research in D.I. Yogyakarta Province. the West: A New Interpretation 161on Homo Erectus Findings Distribution of Java
IPAD_956;Batujaya - Situs Segaran II (Unur Lémpéng);West Java;;4326;107.152671;-6.056824;;No;Excavated;Not specified;-2000;-1900;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;https://doi.org/10.3406/befeo.2015.6212;All known traces of textiles at Batujaya come from three graves belonging to the same group of twenty-three burials brought to light in sector A of the Segaran II mound (locally known as Unur Lempeng), during excavations carried out in 2005 (grave 4/Stratigraphic unit 109) and 2006 (grave 13/SU 186 and 18/SU 304). All three burials were excavated between 1.20 m and 1.65 m under the surface and are associated with early to mid-Buni phases of occupation of Batujaya, that is between the first century BCE and the second century CE. No collagen at all remained in bones or teeth, preventing a direct dating of the skeletons (probably due to the waterlogged environment, the burial layers having remained under the water table for centuries). Their age, however, can be deduced from the stratigraphic sequence and a series of radiocarbon dates obtained from organic material samples collected in corresponding stratigraphic units. Most bodies were buried in an extended position, lying on their backs (but disturbances brought about by successive burials often render their analysis difficult). None of the burials show traces of planks or biers having been used. Grave goods associated with skeletons comprised Buni ceramic ware, dishes of what appear to be, based on microscopy, coarse-fabric imitations of rouletted ware, gold, ivory and horn jewellery, iron tools, net sinkers and fish bones.
IPAD_957;Pasir Angin;West Java;;4326;106.63986782206504;-6.5753811896745455;;No;Excavated;Not specified;;;Archaeological Sites;Ceremonial site / Burial site / Habitation site;;;;No;Anggreani, 1999, The introduction of metallurgy into Indonesia: a comparative study with special reference to Gilimanuk, Unpublished M.A. dissertation, Australian National University, Canberra. Bali;This site has been claimed as a ceremonial site because of the presence of a large natural boulder at the top of the hill, surrounded by a number of artefacts that upon excavation were seemingly oriented in lines towards it, i.e. east-west. Some of those artefacts, found in square LP VIII, are composed of intact vessels and sherds, an iron spear-head, a gold foil mask above three Soejono II-B type bronze axes, an iron fragment and a bead. There is no information about the material of this bead, but until 1972, nineteen stone beads and forty-nine glass beads have been found, from 15 to 65 cm depth. In addition, a bronze bell, a bronze bowl, sticks of bronze with geometric ornamentation (and one with a human figure at the pointed end), gold ornaments and a number of earthenware pots, footed vessels and several ceremonial lamps were also found close to the large stone. The site was probably used in several successive periods, from late Neolithic, through protohistoric, historic and even into the period of Japanese colonisation (1942-1945), the latter represented by remains of fortifications. Pieces of obsidian and stone adzes have also been recovered from this site. The pottery from this site is fragile and rough, consisting of jars, small bowls on pedestals, and cooking pots. Decoration includes impression, circle stamping and incised lines. Bronze artefacts were found in thirteen squares, from 15 to 95 cm in depth. They comprise Soejono type II-A, II-B and VII axes, a pendant, a rod, and probably a buckle. Iron objects, scattered in twenty-two squares from 15 to 85 cm depth, consist of daggers and knives, rods, spearheads, wire and other unidentified fragments. Iron slag appeared in six squares, from 15 to 95 cm depth. In addition to these objects, two bronze axes, one anthropomorphic bronze figurine, one bronze rod, a fragment of a (possibly Heger I type) bronze drum, two bronze pendants, two iron hoes, one fragment of an iron tool and three iron spearheads, were found by a villager approximately 40 to 50 cm under the surface. Interestingly, remains of woven Pandanus fiber wrapping were still retained on one iron hoe and one bronze axe, and remains of similar wrapping overlain by textile were found on both surfaces of an iron spearhead with a bronze ring at its end. Another iron spearhead examined retained remains of a wooden scabbard on its surface. Chemical compositions of two bronze axes from Pasir Angin have been reported. More recent analyses have been done on the 1992 finds. These include a sheet bronze fragment, part of an axe blade, part of an axe shaft, and a rod-shaped bronze fragment. Pieces of obsidian were found in almost all of the squares, from 15 to 95 cm depth, including cores, debitage, and pieces with use-wear. The other stone tools are stone adzes and an adze blank, found in seven squares from 15 to 65 cm depth. While the majority of adzes are of silicified limestone, one is a well-polished chalcedony rectangular-sectioned adze, 18 cm long, found approximately 95 cm from the surface in square LP III. Remains of bovids were reported, but only in small amounts. Although not clearly stated, there is an indication that a small amount of human bone was also present in this site. Some questions emerge from the finding of iron slag and obsidian in Pasir Angin in subsurface levels. Were these associated, and how far was the site disturbed? Although Pasir Angin is normally claimed to be site of ceremonial depositions, it is more likely that it is a burial and habitation site from which all or most human bones has disappeared because the soil is acid.
IPAD_562;Gunung Padang Megalithic Site;West Java;;4326;107.05627917447627;-6.99144766091731;;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;;The terraced structure is located on a hill that stretches southeast-northwest at an altitude of 885 m above sea level, as measured by an altimeter. The site is surrounded by very deep valleys and hills.
IPAD_818;Anyer Lor;West Java | Java;;4326;105.921000;-6.052361;;No;Documented;Not specified;;;Archaeological Sites;Burial / Cemetery / Kubur / Makam;;;;No;Bulbeck, D. (2017). Traditions of jars as mortuary containers in the Indo-Malaysian Archipelago. In S. O'Connor, D. Bulbeck, & J. Meyer (Eds.), The archaeology of Sulawesi: Current research on the Pleistocene to the historic period (pp. 145-162). ANU Press. https://doi.org/10.22459/TA48.11.2018.08;Description: According to information from Chalwany Mighrob of the Museum, History, and Archaeology Division of the West Java Province Department of Education and Culture, a survey was conducted at Anyer Lor at the excavation site of H.R. van Heekeren and Basuki in 1988. Not far from the excavation site, a small bowl, pottery fragments, and human bones - including fragments of a skull cap, finger bones, and ribs - were found adjacent to the house of a local resident, Mr Achmad Djunaedi.
IPAD_820;Ciijuk;Banten | West Java;;4326;106.132667;-6.272278;225;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;;Description: A megalithic site featuring a dolmen measuring 75 cm in length.
IPAD_821;Kaungcaang;Banten | West Java;;4326;106.246944;-6.354167;236;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;;Description: Temporary observations indicate that this site is a terraced punden (stepped pyramid mound) consisting of eleven terraces. On the top terrace, three large andesite stones were found grouped together, one bears a carving of a left foot with the toe tip facing northeast. On one side of the stone group there were traces of standing stones estimated to have been menhirs, which are now lost.
IPAD_822;Cikentrung;Banten | West Java;;4326;106.145667;-6.265583;190;No;Documented;Not specified;;;Stationary Structures;Megalithic site / Menhir / Dolmen / Sarcophagus / Waruga;;;;No;;Description: Located approximately 300 metres north behind Cikentrung State Elementary School No. 2, Cikentrung Village. Two pairs of footprint carvings were found on two separate stones, each stone bearing one pair. Only one carving of a right footprint is clearly visible, the other is heavily worn.
