IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
252;Landscape;Negative diagnosis;;;;;;
302;Landscape;Surface formation;;;;;;
328;Landscape;Surface formation;Dated palaeochannel;;;http://ark.frantiq.fr/ark:/26678/pcrtiMWSFc5fJ2;155863;
329;Landscape;Surface formation;Dated palaeochannel;Not specified;;;;
330;Landscape;Surface formation;Dated palaeochannel;Extrasite;;;;
331;Landscape;Surface formation;Dated palaeochannel;Intrasite;;;;
332;Landscape;Surface formation;Paleosol;;;http://ark.frantiq.fr/ark:/26678/pcrtYEBzGKTPit;21803;
333;Landscape;Surface formation;Paleosol;Not specified;;;;
334;Landscape;Surface formation;Paleosol;Extrasite;;;;
335;Landscape;Surface formation;Paleosol;Intrasite;;;;
336;Landscape;Surface formation;Petrology;;;http://ark.frantiq.fr/ark:/26678/pcrtiiGa8GYBlS;16525;
337;Landscape;Surface formation;Petrology;Not specified;;;;
338;Landscape;Surface formation;Petrology;Extrasite;;;;
339;Landscape;Surface formation;Petrology;Intrasite;;;;
344;Landscape;Agrarian structure;;;;http://ark.frantiq.fr/ark:/26678/pcrtHBU3mnn3DF;17056;
345;Landscape;Agrarian structure;Undetermined;;;;;
346;Landscape;Agrarian structure;Plough ridges;;;;;
347;Landscape;Agrarian structure;Raised field;;;;;
348;Landscape;Agrarian structure;Enclosure;;;http://ark.frantiq.fr/ark:/26678/pcrtKei7jxhn32;14599;
349;Landscape;Agrarian structure;Low wall;;;;;
350;Landscape;Agrarian structure;Stone mound;;;;;
351;Landscape;Agrarian structure;Stone mound;Not specified;;;;
352;Landscape;Agrarian structure;Stone mound;Others;;;;
353;Landscape;Agrarian structure;Stone mound;Limestone;;;;
354;Landscape;Agrarian structure;Stone mound;Gneiss;;;;
355;Landscape;Agrarian structure;Stone mound;Granite;;;;
356;Landscape;Agrarian structure;Stone mound;Sandstone;;;;
357;Landscape;Agrarian structure;Fossil parcel;;;;;
358;Landscape;Agrarian structure;Cultivation curtain;;;;;
359;Landscape;Agrarian structure;Agricultural terrace;;;http://ark.frantiq.fr/ark:/26678/pcrtbtmRT7kK6M;155823;
