IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
252;Paysage;Diagnostic négatif;;;;;;
302;Paysage;Formation superficielle;;;;;;
328;Paysage;Formation superficielle;Paléochenal daté;;;http://ark.frantiq.fr/ark:/26678/pcrtiMWSFc5fJ2;155863;
329;Paysage;Formation superficielle;Paléochenal daté;Non renseigné;;;;
330;Paysage;Formation superficielle;Paléochenal daté;Extrasite;;;;
331;Paysage;Formation superficielle;Paléochenal daté;Intrasite;;;;
332;Paysage;Formation superficielle;Paléosol;;;http://ark.frantiq.fr/ark:/26678/pcrtYEBzGKTPit;21803;
333;Paysage;Formation superficielle;Paléosol;Non renseigné;;;;
334;Paysage;Formation superficielle;Paléosol;Extrasite;;;;
335;Paysage;Formation superficielle;Paléosol;Intrasite;;;;
336;Paysage;Formation superficielle;Petrologie;;;http://ark.frantiq.fr/ark:/26678/pcrtiiGa8GYBlS;16525;
337;Paysage;Formation superficielle;Petrologie;Non renseigné;;;;
338;Paysage;Formation superficielle;Petrologie;Extrasite;;;;
339;Paysage;Formation superficielle;Petrologie;Intrasite;;;;
344;Paysage;Structure agraire;;;;http://ark.frantiq.fr/ark:/26678/pcrtHBU3mnn3DF;17056;
345;Paysage;Structure agraire;Indéterminé;;;;;
346;Paysage;Structure agraire;Crêtes de labours_Ackerberg;;;;;
347;Paysage;Structure agraire;Champ bombé;;;;;
348;Paysage;Structure agraire;Enclos;;;http://ark.frantiq.fr/ark:/26678/pcrtKei7jxhn32;14599;
349;Paysage;Structure agraire;Muret;;;;;
350;Paysage;Structure agraire;Murger_Steinrudel;;;;;
351;Paysage;Structure agraire;Murger_Steinrudel;Non renseigné;;;;
352;Paysage;Structure agraire;Murger_Steinrudel;Autres;;;;
353;Paysage;Structure agraire;Murger_Steinrudel;Calcaire;;;;
354;Paysage;Structure agraire;Murger_Steinrudel;Gneiss;;;;
355;Paysage;Structure agraire;Murger_Steinrudel;Granite;;;;
356;Paysage;Structure agraire;Murger_Steinrudel;Grès;;;;
357;Paysage;Structure agraire;Parcellaire fossile;;;;;
358;Paysage;Structure agraire;Rideau de culture;;;;;
359;Paysage;Structure agraire;Terrasse agricole;;;http://ark.frantiq.fr/ark:/26678/pcrtbtmRT7kK6M;155823;
