IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
252;Lanskap;Diagnostik negatif;;;;;;
302;Lanskap;Formasi permukaan;;;;;;
328;Lanskap;Formasi permukaan;Palaeochannel terkait;;;http://ark.frantiq.fr/ark:/26678/pcrtiMWSFc5fJ2;155863;
329;Lanskap;Formasi permukaan;Palaeochannel terkait;Tidak tercatat;;;;
330;Lanskap;Formasi permukaan;Palaeochannel terkait;Ekstrasitus;;;;
331;Lanskap;Formasi permukaan;Palaeochannel terkait;Intrasitus;;;;
332;Lanskap;Formasi permukaan;Paleosol;;;http://ark.frantiq.fr/ark:/26678/pcrtYEBzGKTPit;21803;
333;Lanskap;Formasi permukaan;Paleosol;Tidak tercatat;;;;
334;Lanskap;Formasi permukaan;Paleosol;Ekstrasitus;;;;
335;Lanskap;Formasi permukaan;Paleosol;Intrasitus;;;;
336;Lanskap;Formasi permukaan;Petrologi;;;http://ark.frantiq.fr/ark:/26678/pcrtiiGa8GYBlS;16525;
337;Lanskap;Formasi permukaan;Petrologi;Tidak tercatat;;;;
338;Lanskap;Formasi permukaan;Petrologi;Ekstrasitus;;;;
339;Lanskap;Formasi permukaan;Petrologi;Intrasitus;;;;
344;Lanskap;Struktur agraria;;;;http://ark.frantiq.fr/ark:/26678/pcrtHBU3mnn3DF;17056;
345;Lanskap;Struktur agraria;Tidak ditentukan;;;;;
346;Lanskap;Struktur agraria;Punggungan bajak;;;;;
347;Lanskap;Struktur agraria;Lahan menonjol;;;;;
348;Lanskap;Struktur agraria;Pagar;;;http://ark.frantiq.fr/ark:/26678/pcrtKei7jxhn32;14599;
349;Lanskap;Struktur agraria;Tembok kecil;;;;;
350;Lanskap;Struktur agraria;Tumpukan batu;;;;;
351;Lanskap;Struktur agraria;Tumpukan batu;Tidak tercatat;;;;
352;Lanskap;Struktur agraria;Tumpukan batu;Lainnya;;;;
353;Lanskap;Struktur agraria;Tumpukan batu;Batu kapur;;;;
354;Lanskap;Struktur agraria;Tumpukan batu;Gneiss;;;;
355;Lanskap;Struktur agraria;Tumpukan batu;Granit;;;;
356;Lanskap;Struktur agraria;Tumpukan batu;Batu pasir;;;;
357;Lanskap;Struktur agraria;Parcell fosil;;;;;
358;Lanskap;Struktur agraria;Gordyn budidaya;;;;;
359;Lanskap;Struktur agraria;Teras pertanian;;;http://ark.frantiq.fr/ark:/26678/pcrtbtmRT7kK6M;155823;
