IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
;Human remains;Homo erectus;Complete skeleton;;;;;
;Human remains;Homo erectus;Partial skeleton;;;;;
;Human remains;Homo erectus;Cranial;Skull;;;;
;Human remains;Homo erectus;Cranial;Cranium;;;;
;Human remains;Homo erectus;Cranial;Calvarium;;;;
;Human remains;Homo erectus;Cranial;Mandible;;;;
;Human remains;Homo erectus;Cranial;Maxilla;;;;
;Human remains;Homo erectus;Cranial;Zygomatic;;;;
;Human remains;Homo erectus;Cranial;Frontal;;;;
;Human remains;Homo erectus;Cranial;Parietal;;;;
;Human remains;Homo erectus;Cranial;Temporal;;;;
;Human remains;Homo erectus;Cranial;Occipital;;;;
;Human remains;Homo erectus;Cranial;Teeth;Incisor;;;
;Human remains;Homo erectus;Cranial;Teeth;Canine;;;
;Human remains;Homo erectus;Cranial;Teeth;Premolar;;;
;Human remains;Homo erectus;Cranial;Teeth;Molar;;;
;Human remains;Homo erectus;Postcranial;Axial;Vertebrae;;;
;Human remains;Homo erectus;Postcranial;Axial;Ribs;;;
;Human remains;Homo erectus;Postcranial;Axial;Sternum;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Clavicle;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Scapula;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Humerus;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Radius;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Ulna;;;
;Human remains;Homo erectus;Postcranial;Upper limb;Hand bones;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Pelvis;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Femur;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Patella;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Tibia;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Fibula;;;
;Human remains;Homo erectus;Postcranial;Lower limb;Foot bones;;;
;Human remains;Homo sapiens;Complete skeleton;;;;;
;Human remains;Homo sapiens;Partial skeleton;;;;;
;Human remains;Homo sapiens;Cranial;Skull;;;;
;Human remains;Homo sapiens;Cranial;Cranium;;;;
;Human remains;Homo sapiens;Cranial;Calvarium;;;;
;Human remains;Homo sapiens;Cranial;Mandible;;;;
;Human remains;Homo sapiens;Cranial;Maxilla;;;;
;Human remains;Homo sapiens;Cranial;Zygomatic;;;;
;Human remains;Homo sapiens;Cranial;Frontal;;;;
;Human remains;Homo sapiens;Cranial;Parietal;;;;
;Human remains;Homo sapiens;Cranial;Temporal;;;;
;Human remains;Homo sapiens;Cranial;Occipital;;;;
;Human remains;Homo sapiens;Cranial;Teeth;Incisor;;;
;Human remains;Homo sapiens;Cranial;Teeth;Canine;;;
;Human remains;Homo sapiens;Cranial;Teeth;Premolar;;;
;Human remains;Homo sapiens;Cranial;Teeth;Molar;;;
;Human remains;Homo sapiens;Postcranial;Axial;Vertebrae;;;
;Human remains;Homo sapiens;Postcranial;Axial;Ribs;;;
;Human remains;Homo sapiens;Postcranial;Axial;Sternum;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Clavicle;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Scapula;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Humerus;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Radius;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Ulna;;;
;Human remains;Homo sapiens;Postcranial;Upper limb;Hand bones;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Pelvis;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Femur;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Patella;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Tibia;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Fibula;;;
;Human remains;Homo sapiens;Postcranial;Lower limb;Foot bones;;;
;Human remains;Homo floresiensis;Complete skeleton;;;;;
;Human remains;Homo floresiensis;Partial skeleton;;;;;
;Human remains;Homo floresiensis;Cranial;Skull;;;;
;Human remains;Homo floresiensis;Cranial;Cranium;;;;
;Human remains;Homo floresiensis;Cranial;Calvarium;;;;
