IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
;Portable Objects / Artefacts;Vegetal - organic materials;;;;;;
;Portable Objects / Artefacts;Glass;;;;;;
;Portable Objects / Artefacts;Bone;;;;;;
;Portable Objects / Artefacts;Others;;;;;;
;Portable Objects / Artefacts;Ceramic;;;;;;
;Portable Objects / Artefacts;Metal;;;;;;
;Portable Objects / Artefacts;Stone;;;;;;
;Portable Objects / Artefacts;Ceramic;Container;;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;;;;;
;Portable Objects / Artefacts;Ceramic;Funerary Urn;;;;;
;Portable Objects / Artefacts;Ceramic;Architectural Terra-cotta;;;;;
;Portable Objects / Artefacts;Ceramic;Others;;;;;
;Portable Objects / Artefacts;Ceramic;Container;Amphora;;;;
;Portable Objects / Artefacts;Ceramic;Container;Dolium;;;;
;Portable Objects / Artefacts;Ceramic;Container;Others;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Jar;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Goblet;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Urn;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Bottle;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Lid;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Sieve;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Funnel;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Mortar;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Cup;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Plate;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Miniature pot;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Others;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Undocumented;;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Jar;Import;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Jar;Local;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Jar;Both;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Goblet;Import;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Goblet;Local;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Goblet;Both;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Urn;Import;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Urn;Local;;;
;Portable Objects / Artefacts;Ceramic;Cockery;Urn;Both;;;
