IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
;Artefak / Benda Bergerak;Bahan nabati - organik;;;;;;
;Artefak / Benda Bergerak;Kaca;;;;;;
;Artefak / Benda Bergerak;Tulang;;;;;;
;Artefak / Benda Bergerak;Lainnya;;;;;;
;Artefak / Benda Bergerak;Keramik;;;;;;
;Artefak / Benda Bergerak;Logam;;;;;;
;Artefak / Benda Bergerak;Batu;;;;;;
;Artefak / Benda Bergerak;Keramik;Wadah;;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;;;;;
;Artefak / Benda Bergerak;Keramik;Guci jenazah;;;;;
;Artefak / Benda Bergerak;Keramik;Terakota arsitektural;;;;;
;Artefak / Benda Bergerak;Keramik;Lainnya;;;;;
;Artefak / Benda Bergerak;Keramik;Wadah;Amfora;;;;
;Artefak / Benda Bergerak;Keramik;Wadah;Dolium;;;;
;Artefak / Benda Bergerak;Keramik;Wadah;Lainnya;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tempayan;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Piala;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Guci;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Botol;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tutup;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Saringan;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Corong;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Lesung;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Cangkir;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Piring;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Pot mini;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Lainnya;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tidak terdokumentasi;;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tempayan;Import;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tempayan;Local;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tempayan;Both;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Piala;Import;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Piala;Local;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Piala;Both;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Guci;Import;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Guci;Local;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Guci;Both;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Botol;Import;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Botol;Local;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Botol;Both;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tutup;Import;;;
;Artefak / Benda Bergerak;Keramik;Peralatan masak;Tutup;Local;;;
