IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
361;Production;Agricultural;;;;http://ark.frantiq.fr/ark:/26678/pcrtIdEjFMFAod;13681;http://vocab.getty.edu/page/aat/300004895
362;Production;Agricultural;Granary;;;http://ark.frantiq.fr/ark:/26678/pcrtGBctSVZOBy;14923;http://vocab.getty.edu/page/aat/300004929
363;Production;Agricultural;Silo;;;http://ark.frantiq.fr/ark:/26678/pcrtdgALrHBSlv;16944;http://vocab.getty.edu/page/aat/300005024
364;Production;Ceramic;;;;https://ark.frantiq.fr/ark:/26678/pcrtYPpmkDk2rS;17239;http://vocab.getty.edu/page/aat/300386308
365;Production;Ceramic;Extraction;;;http://ark.frantiq.fr/ark:/26678/pcrtpZqoqAbrdg;21835;http://vocab.getty.edu/page/aat/300000388
366;Production;Ceramic;Workshop;;;http://ark.frantiq.fr/ark:/26678/pcrtfUZSMbifle;15962;http://vocab.getty.edu/page/aat/300004531
367;Production;Ceramic;Workshop;Local;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
368;Production;Ceramic;Workshop;Regional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
369;Production;Ceramic;Workshop;Supraregional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
370;Production;Ceramic;TCA Workshop;;;https://ark.frantiq.fr/ark:/26678/pcrtbAJrlqK7Lc;35611;http://vocab.getty.edu/page/aat/300010670
371;Production;Ceramic;TCA Workshop;Local;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
372;Production;Ceramic;TCA Workshop;Regional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
373;Production;Ceramic;TCA Workshop;Supraregional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
374;Production;Metal;;;;https://ark.frantiq.fr/ark:/26678/pcrtuf9JSs9vo6;15846;http://vocab.getty.edu/page/aat/300054499
375;Production;Metal;Extraction;;;https://ark.frantiq.fr/ark:/26678/pcrtuVBFofOdjD;15665;http://vocab.getty.edu/page/aat/300000390
376;Production;Metal;Extraction;Iron;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
377;Production;Metal;Extraction;Iron;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
378;Production;Metal;Extraction;Iron;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
379;Production;Metal;Extraction;Silver;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
380;Production;Metal;Extraction;Silver;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
381;Production;Metal;Extraction;Silver;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
382;Production;Metal;Extraction;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
383;Production;Metal;Extraction;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
384;Production;Metal;Extraction;Bronze;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
385;Production;Metal;Extraction;Gold;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
386;Production;Metal;Extraction;Gold;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
387;Production;Metal;Extraction;Gold;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
388;Production;Metal;Extraction;Copper;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
389;Production;Metal;Extraction;Copper;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
390;Production;Metal;Extraction;Copper;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
1892;Production;Metal;Extraction;Lead;;https://ark.frantiq.fr/ark:/26678/pcrtEpGlZykUTy;16297;http://vocab.getty.edu/page/aat/300343378
1893;Production;Metal;Extraction;Lead;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
1894;Production;Metal;Extraction;Lead;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
391;Production;Metal;Extraction;Others;;;;
392;Production;Metal;Extraction;Others;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
393;Production;Metal;Extraction;Others;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
394;Production;Metal;Reduction;;;http://ark.frantiq.fr/ark:/26678/pcrtuF8OFfOOwQ;155878;http://vocab.getty.edu/page/aat/300103997
395;Production;Metal;Reduction;Iron;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
396;Production;Metal;Reduction;Iron;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
397;Production;Metal;Reduction;Iron;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
398;Production;Metal;Reduction;Silver;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
399;Production;Metal;Reduction;Silver;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
400;Production;Metal;Reduction;Silver;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
401;Production;Metal;Reduction;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
402;Production;Metal;Reduction;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
403;Production;Metal;Reduction;Bronze;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
404;Production;Metal;Reduction;Gold;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
405;Production;Metal;Reduction;Gold;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
406;Production;Metal;Reduction;Gold;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
407;Production;Metal;Reduction;Copper;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
408;Production;Metal;Reduction;Copper;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
409;Production;Metal;Reduction;Copper;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
410;Production;Metal;Reduction;Others;;;;
411;Production;Metal;Reduction;Others;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
412;Production;Metal;Reduction;Others;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
413;Production;Metal;Forge;;;http://ark.frantiq.fr/ark:/26678/pcrt3uOj7GEVaE;14795;http://vocab.getty.edu/page/aat/300007734
414;Production;Metal;Forge;Iron;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
415;Production;Metal;Forge;Iron;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
416;Production;Metal;Forge;Iron;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
417;Production;Metal;Forge;Silver;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
418;Production;Metal;Forge;Silver;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
419;Production;Metal;Forge;Silver;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
420;Production;Metal;Forge;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
421;Production;Metal;Forge;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
422;Production;Metal;Forge;Bronze;Regional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
423;Production;Metal;Forge;Gold;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
424;Production;Metal;Forge;Gold;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
