IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
361;Production;Agricole;;;;http://ark.frantiq.fr/ark:/26678/pcrtIdEjFMFAod;13681;http://vocab.getty.edu/page/aat/300004895
362;Production;Agricole;Grenier;;;http://ark.frantiq.fr/ark:/26678/pcrtGBctSVZOBy;14923;http://vocab.getty.edu/page/aat/300004929
363;Production;Agricole;Silo;;;http://ark.frantiq.fr/ark:/26678/pcrtdgALrHBSlv;16944;http://vocab.getty.edu/page/aat/300005024
364;Production;Céramique;;;;https://ark.frantiq.fr/ark:/26678/pcrtYPpmkDk2rS;17239;http://vocab.getty.edu/page/aat/300386308
365;Production;Céramique;Extraction;;;http://ark.frantiq.fr/ark:/26678/pcrtpZqoqAbrdg;21835;http://vocab.getty.edu/page/aat/300000388
366;Production;Céramique;Atelier;;;http://ark.frantiq.fr/ark:/26678/pcrtfUZSMbifle;15962;http://vocab.getty.edu/page/aat/300004531
367;Production;Céramique;Atelier;Local;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
368;Production;Céramique;Atelier;Régional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
369;Production;Céramique;Atelier;Suprarégional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
370;Production;Céramique;Atelier de TCA;;;https://ark.frantiq.fr/ark:/26678/pcrtbAJrlqK7Lc;35611;http://vocab.getty.edu/page/aat/300010670
371;Production;Céramique;Atelier de TCA;Local;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
372;Production;Céramique;Atelier de TCA;Régional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
373;Production;Céramique;Atelier de TCA;Suprarégional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
374;Production;Métal;;;;https://ark.frantiq.fr/ark:/26678/pcrtuf9JSs9vo6;15846;http://vocab.getty.edu/page/aat/300054499
375;Production;Métal;Extraction;;;https://ark.frantiq.fr/ark:/26678/pcrtuVBFofOdjD;15665;http://vocab.getty.edu/page/aat/300000390
376;Production;Métal;Extraction;Fer;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
377;Production;Métal;Extraction;Fer;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
378;Production;Métal;Extraction;Fer;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
379;Production;Métal;Extraction;Argent;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
380;Production;Métal;Extraction;Argent;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
