IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
361;Produksi;Agricole;;;;http://ark.frantiq.fr/ark:/26678/pcrtIdEjFMFAod;13681;http://vocab.getty.edu/page/aat/300004895
362;Produksi;Agricole;Grenier;;;http://ark.frantiq.fr/ark:/26678/pcrtGBctSVZOBy;14923;http://vocab.getty.edu/page/aat/300004929
363;Produksi;Agricole;Silo;;;http://ark.frantiq.fr/ark:/26678/pcrtdgALrHBSlv;16944;http://vocab.getty.edu/page/aat/300005024
364;Produksi;Céramique;;;;https://ark.frantiq.fr/ark:/26678/pcrtYPpmkDk2rS;17239;http://vocab.getty.edu/page/aat/300386308
365;Produksi;Céramique;Ekstraksi;;;http://ark.frantiq.fr/ark:/26678/pcrtpZqoqAbrdg;21835;http://vocab.getty.edu/page/aat/300000388
366;Produksi;Céramique;Atelier;;;http://ark.frantiq.fr/ark:/26678/pcrtfUZSMbifle;15962;http://vocab.getty.edu/page/aat/300004531
367;Produksi;Céramique;Atelier;Lokal;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
368;Produksi;Céramique;Atelier;Régional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
369;Produksi;Céramique;Atelier;Suprarégional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
370;Produksi;Céramique;Atelier de TCA;;;https://ark.frantiq.fr/ark:/26678/pcrtbAJrlqK7Lc;35611;http://vocab.getty.edu/page/aat/300010670
371;Produksi;Céramique;Atelier de TCA;Lokal;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
372;Produksi;Céramique;Atelier de TCA;Régional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
373;Produksi;Céramique;Atelier de TCA;Suprarégional;;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300435609
374;Produksi;Métal;;;;https://ark.frantiq.fr/ark:/26678/pcrtuf9JSs9vo6;15846;http://vocab.getty.edu/page/aat/300054499
375;Produksi;Métal;Ekstraksi;;;https://ark.frantiq.fr/ark:/26678/pcrtuVBFofOdjD;15665;http://vocab.getty.edu/page/aat/300000390
376;Produksi;Métal;Ekstraksi;Fer;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
377;Produksi;Métal;Ekstraksi;Fer;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
378;Produksi;Métal;Ekstraksi;Fer;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
379;Produksi;Métal;Ekstraksi;Argent;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
380;Produksi;Métal;Ekstraksi;Argent;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
381;Produksi;Métal;Ekstraksi;Argent;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
382;Produksi;Métal;Ekstraksi;Perunggu;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
383;Produksi;Métal;Ekstraksi;Perunggu;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
384;Produksi;Métal;Ekstraksi;Perunggu;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
385;Produksi;Métal;Ekstraksi;Or;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
386;Produksi;Métal;Ekstraksi;Or;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
387;Produksi;Métal;Ekstraksi;Or;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
388;Produksi;Métal;Ekstraksi;Cuivre;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
389;Produksi;Métal;Ekstraksi;Cuivre;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
390;Produksi;Métal;Ekstraksi;Cuivre;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
1892;Produksi;Métal;Ekstraksi;Plomb;;https://ark.frantiq.fr/ark:/26678/pcrtEpGlZykUTy;16297;http://vocab.getty.edu/page/aat/300343378
1893;Produksi;Métal;Ekstraksi;Plomb;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
1894;Produksi;Métal;Ekstraksi;Plomb;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
391;Produksi;Métal;Ekstraksi;Autres;;;;
392;Produksi;Métal;Ekstraksi;Autres;Lokal;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
393;Produksi;Métal;Ekstraksi;Autres;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
394;Produksi;Métal;Réduction;;;http://ark.frantiq.fr/ark:/26678/pcrtuF8OFfOOwQ;155878;http://vocab.getty.edu/page/aat/300103997
