site_name,doi,source_url
Gua Andomo,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Babi,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Braholo,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Bukit Chawas,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Cha,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Cha Malaysia Hoabinhian,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Gunung Runtuh,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Lampetia,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Lampetia Certainly,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Lawa,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Pawon,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Peraling,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Sambagowala,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Sireh,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Leang Balangingi,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Leang Buidane,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Leang Codong,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Leang Paja,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Liang Abu,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Liang Bua,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Liang Bua Cave,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Liang Gobel,https://doi.org/10.1002/(SICI)1096,https://doi.org/10.1002/(SICI)1096
Gua Andomo,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Babi,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Braholo,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Bukit Chawas,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Cha,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Cha Malaysia Hoabinhian,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Gunung Runtuh,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Lampetia,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Lampetia Certainly,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Lawa,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Pawon,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Peraling,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Sambagowala,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Sireh,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Leang Balangingi,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Leang Buidane,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Leang Codong,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Leang Paja,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Liang Abu,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Liang Bua,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Liang Bua Cave,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Liang Gobel,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3,https://doi.org/10.1002/(SICI)1096-8644(199907)109:3
Gua Andomo,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Babi,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Braholo,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Bukit Chawas,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Cha,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Cha Malaysia Hoabinhian,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Gunung Runtuh,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Lampetia,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Lampetia Certainly,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Lawa,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Pawon,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Peraling,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Sambagowala,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Sireh,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Leang Balangingi,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Leang Buidane,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Leang Codong,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Leang Paja,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Liang Abu,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Liang Bua,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Liang Bua Cave,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Liang Gobel,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1,https://doi.org/10.1002/(SICI)1096-8644(200001)111:1
Gua Putra Termenung,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5
Gua Putri T,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5
Liang Bua,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5
Liang Farlon,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5,https://doi.org/10.1002/(SICI)1099-1417(199908)14:5
Ceruk Pajangan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Ceruk Pajangan Sumbersoko,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Ceruk Poko,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Ceruk Poko Kedungwinong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Ceruk Sumber,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Ceruk Watu Gong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Banyu Prawata Sukolilo Pati,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Besar Kelerengan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Celeng Selokaton Kedungwinong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Celeng Wegil Wegil,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Codot Terkesi Klambu Grobogan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Desa Kecamatan Kabupaten,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Gajah Kemadohbatur,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Gedeh,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Gogor,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Gogor Brati,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Jumlah,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Keongan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Keongan Jimbaran,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Ketinggian Situs,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Kidang,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Kriteria,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Lebar,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Letak Administratif Keterangan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Letak Administratif Tipe Gua,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Macan Sedayu Grobogan Grobogan,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Pacul Kedungwinong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Pawon Beran Terkesi,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Pawon Selokaton Kedungwinong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Rodipo Prawata Sukolilo Pati,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Suru Kedumulyo Sukolilo Pati,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Watu Gong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Gua Watu Gong Kedungwinong,https://doi.org/10.1002/(SICI)1520,https://doi.org/10.1002/(SICI)1520
Lene Hara Cave,https://doi.org/10.1002/(sici)1096-8644(199711)104:3,https://doi.org/10.1002/(sici)1096-8644(199711)104:3
Gua Putra Termenung,https://doi.org/10.1002/2014gc005550,https://doi.org/10.1002/2014gc005550
Gua Putri T,https://doi.org/10.1002/2014gc005550,https://doi.org/10.1002/2014gc005550
Liang Bua,https://doi.org/10.1002/2014gc005550,https://doi.org/10.1002/2014gc005550
Liang Farlon,https://doi.org/10.1002/2014gc005550,https://doi.org/10.1002/2014gc005550
Ceruk Ida Malangi,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk La Nsafora,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk La Podo,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lakan Taghu,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lakan Taghu Ceruk La Podo Gua,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lakan Taghu Ceruk Lakan Taghu,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lasabo,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lasabo A,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Lasabo B,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Sugi Patani,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
Ceruk Tangga Ara,https://doi.org/10.1002/9780470691854.ch2,https://doi.org/10.1002/9780470691854.ch2
