site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,rejection_reason
Ceruk Pampini. Meanwhile,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,5,"elters, also the open site, it is known that 9 sites indicated functioning as residential location, namely Ceruk Moong, Ceruk Kucing 1 and 2, Gua Wointumbu, Ceruk Raranganusa 2, Ceruk Antil, Ceruk Mendeet, Gua Wurro and Ceruk Pampini. Meanwhile, the site dispersion of burial activity was found in 5 locations namely Ceruk Raranganusa 1, Ceruk Masare, Ceruk Ttombatu, Gua Totombatu, Gua Wuida and Makatara site. The result of data entry in the other cave/rockshelt",bad_keyword
Ceruk Antil East Coast No Sites Astronomical,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"are 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mandeet (attached) 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 17 Ceruk Antil East Coast No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wurro, Desa Tuabatu 04º18’34.9” 126º53’31.6” 1 East Coast 2 Wuida, Desa Rusoh 04º04’28.7” 126º43’19.6” 243 West Coast 3 Ceruk Pampini, Desa",bad_keyword
Rockshelter Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"n the potsherds Karakelang as follows: a) Cup/Bowl: has a wide surface with a fold out edge, the body part is round, the fragments are found generally in medium size and quite thick (Figure 2). Table 1. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2018 Table 2. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2019 Source: Research Report, 2018 Source: Research Report, 2019 No Site",bad_keyword
No Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"r Sites in Karakelang Island based on Research Report in 2018 Table 2. Location of Cave/Rockshelter Sites in Karakelang Island based on Research Report in 2019 Source: Research Report, 2018 Source: Research Report, 2019 No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wetta 04⁰13'20,7"" 126⁰49'52,5"" 130 Center of the island 2 Marat 04⁰13'21,9"" 126⁰49'38,0"" 83 Center of the island 3 Moong 04⁰13'",bad_keyword
Ceruk Antil East Coast No Sites,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,"are 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mandeet (attached) 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 17 Ceruk Antil East Coast No Sites Astronomical Latitude (N) Astronomical Longitude (E) Height (mapl) Location on the island 1 Wurro, Desa Tuabatu 04º18’34.9” 126º53’31.6” 1 East Coast 2 Wuida, Desa Rusoh 04º04’28.7” 126º43’19.6” 243 West Coast 3 Ceruk P",bad_keyword
Taiwan-Fujian Archaeological Site,,,,,data/google-drive-pdfs/1-2.pdf,13,"ly very different from the culture produced by the inhabitants of the ocean islands, especially the cultures of the prehistoric era. In February 2001, I was commissioned by the Ministry of the Interior, ROC, to run the “Taiwan-Fujian Archaeological Site Survey and Research Project” and survey areas of Kinmen and Lianjiang, two countiesin Taiwan’s Fuchien (Fujian) Province (which is distinct from the mainland Fujian Province). After a year of conducting survey and resea",bad_keyword
Liangdao Prehistoric Sites,,,,,data/google-drive-pdfs/1-2.pdf,18,. . . . . . . . . . . . . . . . . . . . . . . . 25 3 The Archaeology of Liangdao Island ............................. 2 9 3.1 The Prehistoric Liangdao Culture of the Matsu Archipelago . . . . . . 29 3.2 Discovery of the Liangdao Prehistoric Sites . . . . . . . . . . . . . . . . . . . . 30 3.3 Excavations of Trenches TP1 and TP3 at the Liangdao-Daowei-I Site . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 31 3 . 3 . 1 E x c a v a t i o nM e t h o,bad_keyword
Matsu Archipelago Sites,,,,,data/google-drive-pdfs/1-2.pdf,21,xxiv Contents Attachment 1: Radiocarbon Dates from the Matsu Archipelago Sites .............................................................. 1 5 9 Attachment 2: Liangdao Man Ancient DNA Experimental Report ..... 1 6 1 Appendix A: Liangdao Man mtDNA Haplogroup .................... 1 6 5 Appendix B,bad_keyword
At Sites,,,,,data/google-drive-pdfs/1-s2.0-S0047248499903445-main.pdf,23,"imentological/ depositional equivalence among the sites and the relatively uniform ecological picture, neither taphonomic nor environmental fac- tors appear to explain the strong correlation between artefacts and bones. At Sites 2, 15, and I3, hominids were very active and were apparently the main agent of stone- and-bone accumulation. The correlation 769   ",bad_keyword
Oldest Sites,,,,,data/google-drive-pdfs/1-s2.0-S0277379123004663-main.pdf,13,"OAPEN_459360 . Clarkson, C., et al., 2017. Human occupation of northern Australia by 65,000 years ago. Nature 547, 306 – 310. https://doi.org/10.1038/nature22968 . Clarkson, C., et al., 2022. Australia ’ s First People: Oldest Sites and Early Culture. In: McNiven, Ian, J., Bruno, David (Eds.), The Oxford Handbook of the Archaeology of Indigenous Australia and New Guinea. Oxford University Press, pp. 241 – 272. htt ps://doi.org/10.1093/oxfordhb/9780",bad_keyword
