site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,duplicate_of,status,similar_names
Ceruk Masare,,,,,data/google-drive-pdfs/05+Kalpataru+2023+Ipak+hal+149-162.pdf,6,",4"" 126⁰51'11,7"" 20 East Coast 9 Gua Rarangunusa 04⁰27'32,6"" 126⁰51'58,8"" 17 East Coast 10 Ceruk Rarangunusa 2 (occupancy) 04⁰27'32,6"" 126⁰51'58,8"" 17 East Coast 11 Ceruk Gamalo 04⁰26'02,6"" 126⁰52'03,3"" 13 East Coast 12 Ceruk Masare 2 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 13 Ceruk Masare 04⁰32'01,2"" 126⁰48'27,8"" 22 North Coast 14 Toton Batu 04⁰07'36,3"" 126⁰44'11,9"" 7 West Coast 15 Leang Matahit 04⁰10'22,8"" 126⁰45'34,7"" 7 West Coast 16 Liang Mande",Ceruk Masare,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0047248422001397-main.pdf,6,"could potentially also represent Denisovan groups. Thus far, however, fossil-rich Middle Pleistocene sites are limited to Indonesia and are assigned to the H. erectus hypodigm, with the exception of the assemblage from Liang Bua, Flores, attributed to H. ﬂoresiensis (Brown et al., 2004 ) and the possibly related, much older fragmentary remains from Mata Menge ( van den Bergh et al., 2016), as well as those from Callao Cave, the Philippines, att",Liang Bua,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0277379124001707-main.pdf,10,"from the late pleistocene of Flores, Indonesia. Nature 437, 1012 – 1017. https://doi.org/10.1038/nature04022 . Morwood, M.J., Sutikna, T., Saptomo, E.W., Jatmiko, Hobbs, D.R., Westaway, K.E., 2009. Preface: research at Liang Bua, Flores, Indonesia. J. Hum. Evol. 57, 437 – 449. https://doi.org/10.1016/j.jhevol.2009.07.003 . Mussi, M., Skinner, M.M., Melis, R.T., Panera, J., Rubio-Jara, S., Davies, T.W., et al., 2023. Early Homo erectus lived at",Liang Bua,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S0277379124001707-main.pdf,11,"genetic records. Pa 2022. https://doi.org/10.48738/2022. iss2.130 . Sutikna, T., Tocheri, M.W., Morwood, M.J., Saptomo, E.W., Jatmiko, Awe RD., et al., 2016. Revised stratigraphy and chronology for Homo floresiensis at Liang Bua in Indonesia. Nature 532, 366 – 369. https://doi.org/10.1038/nature17179 . Tattersall, I., 2015. Homo ergaster and its Contemporaries. In: Henke, W., Tattersall, I. (Eds.), Handbook of Paleoanthropology. Springer Berlin",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,3,"tion. For example, the Talaud Islands (Indonesia) are in more than 150 km straight distance from Mindanao (Philippines), Sulawesi (Indonesia), and the Northern Maluku Islands. Its currently oldest archaeological site is Leang Sarru which dates to 35kya, providing evidence that those early seafarers possessed the technology and navi - gating skills to cross over 100 km distance of open sea during the Late Pleistocene ( Ono et al., 2019, 2024 ). Ano",Leang Sarru,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,3,"s Tabon Cave, Palawan ( Xhauflair et al., 2020, 2023 ), Leang Sarru, Talaud Islands ( Fuentes et al., 2019, 2020; Ono et al., 2020 ), Topogaro, Central Sulawesi ( Fuentes et al., 2021; Ono et al., 2020,2021,2023b ), and Liang Bua, Flores ( Hayes et al., 2021 ). The use of fibres as binding for bone tools together with tree resin as adhesive was identified as early as the Early Holocene in Niah Cave R. Fuentes and A. Pawlik Journal of Archaeologi",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,4,"< 1 35 cave Palawan, Philippines/ Sunda x x x ​ ​ ​ ​ Xhauflair et al., 2023; Robles et al., 2015 Bubog 1 35 < 1 < 2 rockshelter Mindoro, Philippines/ Wallacea ​ ​ x x ​ x x Pawlik et al., 2015 , Boulanger et al., 2023a Leang Sarru 35 < 1 2 rockshelter Talaud, Indonesia/ Wallacea x x x ​ x x x Ono et al., 2009; Fuentes et al., 2019 Bilat 22 < 1 10 cave Mindoro, Philippines/ Wallacea ​ ​ ​ x ​ x ​ Pawlik 2021; Boulanger et al., 2023a Tron Bon Lei 2",Leang Sarru,duplicate,
Liang Bua,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,4,"009; Fuentes et al., 2019 Bilat 22 < 1 10 cave Mindoro, Philippines/ Wallacea ​ ​ ​ x ​ x ​ Pawlik 2021; Boulanger et al., 2023a Tron Bon Lei 21 < 1 3 cave Alor, Indonesia/ Wallacea ​ ​ ​ ​ ​ x ​ O ’ Connor et al., 2017 Liang Bua 18 27 30 cave Flores, Indonesia/ Wallacea x ​ x ​ ​ ​ ​ Hayes et al., 2021 Here Sorot Entapa 15 < 1 1 rockshelter Kisar, Indonesia/ Wallacea ​ ​ ​ ​ ​ x x O ’ Connor et al., 2019 Bubog 2 12 < 1 < 2 rockshelter Mindoro,",Liang Bua,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,5,"09; Barton, 2016 ; Rabett and Piper, 2012 ), while resinous residues on hafted lithic tools of similar age have been identi - fied through use-wear analysis for Ille Cave in Palawan ( Pawlik, 2012 ) and even earlier for Leang Sarru in North Sulawesi ( Fuentes et al., 2019 ). It has been labelled as invisible technology due to the nature of organic materials and their rapid decomposition in tropical environments, wherein remnants of artefacts made",Leang Sarru,duplicate,
Leang Sarru,,,,,data/google-drive-pdfs/1-s2.0-S2352409X25000525-main.pdf,7,"’Connor et al., 2011 Topogaro 2 42 Seafaring Boats Bone points Composite technology Cords Fibrecraft Nets Open sea fishing Fuentes et al., 2020; Ono et al., 2021,2023b Tabon 39 Boats Ropes Sailing Xhauflair et al., 2023 Leang Sarru 35 open water crossingmaritime migration Bindings Cords Fibres Fish traps Fishing nets Open sea fishing Ropes Ono et al., 2009, 2023a; Fuentes et al., 2019 Bubog 1 35 Seafaringvoyagingboats Bone fishing gorge Inshore fi",Leang Sarru,duplicate,
